Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,9e-06,19.633848,[118  34] ; [15 22],[106.96296296  45.03703704] ; [26.03703704 10.96296296],1
s3,1,2.6e-05,17.682751,[118  33] ; [16 21],[107.62765957  43.37234043] ; [26.37234043 10.62765957],1
s5,1,0.000237,13.510221,[68 80] ; [ 4 30],[58.54945055 89.45054945] ; [13.45054945 20.54945055],1
v4,1,0.000363,12.712249,[147   5] ; [29  7],[142.29787234   9.70212766] ; [33.70212766  2.29787234],1
s8,1,0.000817,11.202072,[107  46] ; [15 22],[98.24210526 54.75789474] ; [23.75789474 13.24210526],1
r4,1,0.00089,11.043032,[139  14] ; [26 11],[132.86842105  20.13157895] ; [32.13157895  4.86842105],1
b5,1,0.003935,8.313721,[112  41] ; [18 19],[104.68421053  48.31578947] ; [25.31578947 11.68421053],0
a2,1,0.004677,8.00025,[58 95] ; [ 5 32],[ 50.73157895 102.26842105] ; [12.26842105 24.73157895],0
p9,1,0.005187,7.812977,[134  18] ; [25 11],[128.55319149  23.44680851] ; [30.44680851  5.55319149],0
b3,1,0.009937,6.646154,[46 71] ; [18  9],[52. 65.] ; [12. 15.],0
b2,1,0.009937,6.646154,[46 71] ; [18  9],[52. 65.] ; [12. 15.],0
d1,1,0.013299,6.128856,[100  53] ; [16 21],[93.41052632 59.58947368] ; [22.58947368 14.41052632],0
n5,1,0.020756,5.347162,[117  33] ; [22 15],[111.4973262  38.5026738] ; [27.5026738  9.4973262],0
b1,1,0.030085,4.70441,[67 86] ; [ 9 28],[61.2 91.8] ; [14.8 22.2],0
r1,1,0.03697,4.351816,[126  26] ; [25 12],[121.43915344  30.56084656] ; [29.56084656  7.43915344],0
d5,1,0.037434,4.330564,[135  17] ; [28  9],[131.08994709  20.91005291] ; [31.91005291  5.08994709],0
d2,1,0.03839,4.28768,[98 54] ; [17 20],[92.48677249 59.51322751] ; [22.51322751 14.48677249],0
d3,1,0.093874,2.806646,[108  44] ; [21 16],[103.74603175  48.25396825] ; [25.25396825 11.74603175],0
r3,1,0.094424,2.797294,[146   6] ; [33  4],[143.95767196   8.04232804] ; [35.04232804  1.95767196],0
a7,1,0.10586,2.614956,[108  45] ; [21 16],[103.87894737  49.12105263] ; [25.12105263 11.87894737],0
b4,1,0.156429,2.008416,[90 63] ; [17 20],[86.16315789 66.83684211] ; [20.83684211 16.16315789],0
p4,1,0.17804,1.813905,[85 68] ; [16 21],[81.33157895 71.66842105] ; [19.66842105 17.33157895],0
v1,1,0.233972,1.416549,[77 69] ; [15 21],[73.8021978 72.1978022] ; [18.1978022 17.8021978],0
r2,1,0.253382,1.304562,[145   6] ; [32  3],[143.69354839   7.30645161] ; [33.30645161  1.69354839],0
u1,1,0.273544,1.198888,[ 47 106] ; [ 8 29],[ 44.28947368 108.71052632] ; [10.71052632 26.28947368],0
a6,1,0.293008,1.105751,[108  44] ; [23 14],[105.35449735  46.64550265] ; [25.64550265 11.35449735],0
v2,1,0.302988,1.060997,[88 60] ; [18 18],[85.26086957 62.73913043] ; [20.73913043 15.26086957],0
n6,1,0.310824,1.027172,[128  23] ; [28  8],[125.96791444  25.03208556] ; [30.03208556  5.96791444],0
a5,1,0.320538,0.986751,[123  30] ; [27 10],[120.78947368  32.21052632] ; [29.21052632  7.78947368],0
p1,1,0.370298,0.802665,[ 10 143] ; [ 1 36],[  8.85789474 144.14210526] ; [ 2.14210526 34.85789474],0
n3,1,0.371861,0.797438,[31 13] ; [10  2],[32.21428571 11.78571429] ; [8.78571429 3.21428571],0
