Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.016838,5.7132,[ 1 24] ; [1 1],[ 1.85185185 23.14814815] ; [0.14814815 1.85185185],0
s5,1,0.233613,1.418727,[ 4 21] ; [1 1],[ 4.62962963 20.37037037] ; [0.37037037 1.62962963],0
p10,1,0.486339,0.484615,[ 7 19] ; [1 1],[ 7.42857143 18.57142857] ; [0.57142857 1.42857143],0
s7,1,0.569399,0.323689,[ 7 16] ; [1 1],[ 7.36 15.64] ; [0.64 1.36],0
b4,1,0.574695,0.31489,[18  8] ; [1 1],[17.64285714  8.35714286] ; [1.35714286 0.64285714],0
a6,1,0.574695,0.31489,[ 8 18] ; [1 1],[ 8.35714286 17.64285714] ; [0.64285714 1.35714286],0
p7,1,0.574695,0.31489,[ 8 18] ; [1 1],[ 8.35714286 17.64285714] ; [0.64285714 1.35714286],0
n4,1,0.66171,0.191453,[ 9 17] ; [1 1],[ 9.28571429 16.71428571] ; [0.71428571 1.28571429],0
s3,1,0.693196,0.155647,[ 9 16] ; [1 1],[ 9.25925926 15.74074074] ; [0.74074074 1.25925926],0
r2,1,0.818726,0.052525,[14 10] ; [1 1],[13.84615385 10.15384615] ; [1.15384615 0.84615385],0
a5,1,0.83224,0.044872,[15 11] ; [1 1],[14.85714286 11.14285714] ; [1.14285714 0.85714286],0
d3,1,0.83224,0.044872,[15 11] ; [1 1],[14.85714286 11.14285714] ; [1.14285714 0.85714286],0
a4,1,0.916299,0.011045,[12 14] ; [1 1],[12.07142857 13.92857143] ; [0.92857143 1.07142857],0
d2,1,0.916299,0.011045,[14 12] ; [1 1],[13.92857143 12.07142857] ; [1.07142857 0.92857143],0
