Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.668056,[49 10] ; [15 26],[37.76 21.24] ; [26.24 14.76],1
s7,1,0.001216,10.466008,[35 21] ; [12 29],[27.13402062 28.86597938] ; [19.86597938 21.13402062],0
a3,1,0.012348,6.260232,[45 15] ; [22 21],[39.02912621 20.97087379] ; [27.97087379 15.02912621],0
s5,1,0.016581,5.740195,[28 29] ; [10 30],[22.32989691 34.67010309] ; [15.67010309 24.32989691],0
s2,1,0.016955,5.700991,[38 22] ; [17 26],[32.03883495 27.96116505] ; [22.96116505 20.03883495],0
s6,1,0.030293,4.692611,[42 17] ; [21 21],[36.8019802 22.1980198] ; [26.1980198 15.8019802],0
n5,1,0.047872,3.914461,[39 20] ; [20 23],[34.12745098 24.87254902] ; [24.87254902 18.12745098],0
a7,1,0.080205,3.060747,[39 20] ; [21 22],[34.70588235 24.29411765] ; [25.29411765 17.70588235],0
s8,1,0.094393,2.797806,[30 30] ; [14 28],[25.88235294 34.11764706] ; [18.11764706 23.88235294],0
s3,1,0.099028,2.721131,[35 25] ; [18 25],[30.87378641 29.12621359] ; [22.12621359 20.87378641],0
d2,1,0.099028,2.721131,[35 25] ; [18 25],[30.87378641 29.12621359] ; [22.12621359 20.87378641],0
d5,1,0.140078,2.177099,[45 14] ; [27 16],[41.64705882 17.35294118] ; [30.35294118 12.64705882],0
p2,1,0.150995,2.062173,[46 13] ; [28 15],[42.80392157 16.19607843] ; [31.19607843 11.80392157],0
b5,1,0.176449,1.827285,[34 26] ; [30 13],[37.2815534 22.7184466] ; [26.7184466 16.2815534],0
s4,1,0.216322,1.528604,[11 49] ; [ 4 38],[ 8.82352941 51.17647059] ; [ 6.17647059 35.82352941],0
p1,1,0.216893,1.524808,[ 7 52] ; [ 2 40],[ 5.25742574 53.74257426] ; [ 3.74257426 38.25742574],0
n6,1,0.221497,1.494645,[43 15] ; [27 16],[40.1980198 17.8019802] ; [29.8019802 13.1980198],0
p8,1,0.223361,1.482644,[20 40] ; [19 23],[22.94117647 37.05882353] ; [16.05882353 25.94117647],0
r3,1,0.259013,1.274024,[48 12] ; [38  5],[50.09708738  9.90291262] ; [35.90291262  7.09708738],0
p4,1,0.279032,1.171797,[33 27] ; [19 24],[30.29126214 29.70873786] ; [21.70873786 21.29126214],0
a5,1,0.376443,0.782287,[40 20] ; [25 18],[37.86407767 22.13592233] ; [27.13592233 15.86407767],0
a8,1,0.388267,0.744361,[ 5 52] ; [ 6 36],[ 6.33333333 50.66666667] ; [ 4.66666667 37.33333333],0
p3,1,0.426161,0.633263,[28 31] ; [17 26],[26.02941176 32.97058824] ; [18.97058824 24.02941176],0
v2,1,0.48096,0.496687,[26 33] ; [21 20],[27.73 31.27] ; [19.27 21.73],0
p12,1,0.488433,0.479977,[ 3 57] ; [ 1 42],[ 2.33009709 57.66990291] ; [ 1.66990291 41.33009709],0
r2,1,0.500571,0.453726,[53  7] ; [36  7],[51.84466019  8.15533981] ; [37.15533981  5.84466019],0
d3,1,0.526766,0.400626,[36 22] ; [24 19],[34.45544554 23.54455446] ; [25.54455446 17.45544554],0
u1,1,0.529463,0.395423,[ 8 52] ; [ 4 39],[ 6.99029126 53.00970874] ; [ 5.00970874 37.99029126],0
d1,1,0.560131,0.339477,[30 30] ; [19 24],[28.54368932 31.45631068] ; [20.45631068 22.54368932],0
a4,1,0.580307,0.305739,[27 33] ; [17 26],[25.63106796 34.36893204] ; [18.36893204 24.63106796],0
a1,1,0.592084,0.287102,[ 6 54] ; [ 3 40],[ 5.24271845 54.75728155] ; [ 3.75728155 39.24271845],0
r1,1,0.598237,0.277663,[46 14] ; [31 12],[44.85436893 15.14563107] ; [32.14563107 10.85436893],0
v1,1,0.605835,0.266285,[31 29] ; [20 23],[29.70873786 30.29126214] ; [21.29126214 21.70873786],0
a2,1,0.631131,0.23053,[12 48] ; [ 7 36],[11.06796117 48.93203883] ; [ 7.93203883 35.06796117],0
n1,1,0.637809,0.22162,[10 12] ; [8 7],[10.7027027 11.2972973] ; [7.2972973 7.7027027],0
b3,1,0.66519,0.18728,[ 7 21] ; [ 7 16],[ 7.68627451 20.31372549] ; [ 6.31372549 16.68627451],0
b2,1,0.66519,0.18728,[ 7 21] ; [ 7 16],[ 7.68627451 20.31372549] ; [ 6.31372549 16.68627451],0
u2,1,0.681314,0.168651,[8 6] ; [10 10],[7.41176471 6.58823529] ; [10.58823529  9.41176471],0
p5,1,0.688403,0.16082,[ 3 56] ; [ 3 40],[ 3.47058824 55.52941176] ; [ 2.52941176 40.47058824],0
b4,1,0.699867,0.148611,[34 26] ; [26 17],[34.95145631 25.04854369] ; [25.04854369 17.95145631],0
v3,1,0.739453,0.110608,[20 40] ; [13 30],[19.22330097 40.77669903] ; [13.77669903 29.22330097],0
u3,1,0.766242,0.088384,[10  4] ; [14  7],[9.6 4.4] ; [14.4  6.6],0
n4,1,0.796388,0.066577,[39 21] ; [29 14],[39.61165049 20.38834951] ; [28.38834951 14.61165049],0
a6,1,0.855141,0.033329,[31 29] ; [23 20],[31.45631068 28.54368932] ; [22.54368932 20.45631068],0
d4,1,0.889036,0.019467,[44 16] ; [31 12],[43.68932039 16.31067961] ; [31.31067961 11.68932039],0
r4,1,0.901709,0.015253,[44 16] ; [32 11],[44.27184466 15.72815534] ; [31.72815534 11.27184466],0
v4,1,0.90612,0.013908,[54  6] ; [39  4],[54.17475728  5.82524272] ; [38.82524272  4.17475728],0
s1,1,0.920223,0.010031,[ 3 56] ; [ 2 41],[ 2.89215686 56.10784314] ; [ 2.10784314 40.89215686],0
p7,1,0.961309,0.002353,[34 25] ; [24 18],[33.88118812 25.11881188] ; [24.11881188 17.88118812],0
p6,1,0.961497,0.00233,[24 36] ; [17 25],[24.11764706 35.88235294] ; [16.88235294 25.11764706],0
n3,1,0.96749,0.001661,[16  6] ; [11  4],[16.05405405  5.94594595] ; [10.94594595  4.05405405],0
n2,1,0.96749,0.001661,[16  6] ; [11  4],[16.05405405  5.94594595] ; [10.94594595  4.05405405],0
