Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,7e-06,20.220794,[19  7] ; [ 5 28],[10.57627119 15.42372881] ; [13.42372881 19.57627119],1
p2,1,0.000123,14.75237,[17  8] ; [ 6 27],[ 9.9137931 15.0862069] ; [13.0862069 19.9137931],1
v1,1,0.001588,9.973034,[14 12] ; [ 5 28],[ 8.37288136 17.62711864] ; [10.62711864 22.37288136],0
s8,1,0.00326,8.655778,[ 8 18] ; [ 1 32],[ 3.96610169 22.03389831] ; [ 5.03389831 27.96610169],0
p3,1,0.006495,7.40764,[12 13] ; [ 5 28],[ 7.32758621 17.67241379] ; [ 9.67241379 23.32758621],0
p8,1,0.00993,6.647346,[11 15] ; [ 4 28],[ 6.72413793 19.27586207] ; [ 8.27586207 23.72413793],0
v4,1,0.009931,6.647321,[19  7] ; [13 20],[14.10169492 11.89830508] ; [17.89830508 15.10169492],0
p11,1,0.020521,5.366991,[12 14] ; [ 6 27],[ 7.93220339 18.06779661] ; [10.06779661 22.93220339],0
p4,1,0.023753,5.112594,[11 15] ; [ 5 27],[ 7.17241379 18.82758621] ; [ 8.82758621 23.17241379],0
r4,1,0.026916,4.89619,[ 7 19] ; [ 2 31],[ 3.96610169 22.03389831] ; [ 5.03389831 27.96610169],0
s4,1,0.030519,4.679811,[ 1 25] ; [ 8 25],[ 3.96610169 22.03389831] ; [ 5.03389831 27.96610169],0
s6,1,0.041792,4.143608,[12 14] ; [ 7 26],[ 8.37288136 17.62711864] ; [10.62711864 22.37288136],0
r2,1,0.066245,3.373688,[21  5] ; [18 13],[17.78947368  8.21052632] ; [21.21052632  9.78947368],0
b4,1,0.074699,3.176613,[20  6] ; [18 15],[16.74576271  9.25423729] ; [21.25423729 11.74576271],0
p5,1,0.088181,2.907274,[ 4 21] ; [ 1 31],[ 2.19298246 22.80701754] ; [ 2.80701754 29.19298246],0
b5,1,0.091185,2.853334,[16 10] ; [13 20],[12.77966102 13.22033898] ; [16.22033898 16.77966102],0
s7,1,0.120296,2.413468,[ 7 17] ; [ 4 28],[ 4.71428571 19.28571429] ; [ 6.28571429 25.71428571],0
b3,1,0.129524,2.298196,[ 3 13] ; [10 14],[ 5.2 10.8] ; [ 7.8 16.2],0
b2,1,0.129524,2.298196,[ 3 13] ; [10 14],[ 5.2 10.8] ; [ 7.8 16.2],0
s1,1,0.153754,2.03461,[ 1 25] ; [ 5 28],[ 2.6440678 23.3559322] ; [ 3.3559322 29.6440678],0
d2,1,0.158643,1.987114,[ 9 17] ; [17 15],[11.65517241 14.34482759] ; [14.34482759 17.65517241],0
d3,1,0.162292,1.952739,[15 11] ; [13 20],[12.33898305 13.66101695] ; [15.66101695 17.33898305],0
r1,1,0.179318,1.803267,[14 12] ; [12 21],[11.45762712 14.54237288] ; [14.54237288 18.45762712],0
a7,1,0.179318,1.803267,[14 12] ; [12 21],[11.45762712 14.54237288] ; [14.54237288 18.45762712],0
a4,1,0.221249,1.49625,[ 7 18] ; [14 18],[ 9.21052632 15.78947368] ; [11.78947368 20.21052632],0
s5,1,0.26547,1.240008,[ 6 20] ; [ 4 29],[ 4.40677966 21.59322034] ; [ 5.59322034 27.40677966],0
b1,1,0.284468,1.145618,[17  9] ; [17 16],[14.98305085 11.01694915] ; [19.01694915 13.98305085],0
s3,1,0.314048,1.013575,[ 9 15] ; [ 8 24],[ 7.28571429 16.71428571] ; [ 9.71428571 22.28571429],0
n2,1,0.314355,1.012288,[7 5] ; [ 8 12],[5.625 6.375] ; [ 9.375 10.625],0
n6,1,0.315436,1.007777,[14 12] ; [13 19],[12.10344828 13.89655172] ; [14.89655172 17.10344828],0
p7,1,0.337959,0.918157,[ 8 16] ; [ 7 25],[ 6.42857143 17.57142857] ; [ 8.57142857 23.42857143],0
p1,1,0.450813,0.568607,[ 5 21] ; [ 4 29],[ 3.96610169 22.03389831] ; [ 5.03389831 27.96610169],0
n3,1,0.469589,0.522942,[6 6] ; [ 7 12],[5.03225806 6.96774194] ; [ 7.96774194 11.03225806],0
a5,1,0.481961,0.494424,[15 11] ; [16 17],[13.66101695 12.33898305] ; [17.33898305 15.66101695],0
a3,1,0.50295,0.448705,[17  8] ; [19 13],[15.78947368  9.21052632] ; [20.21052632 11.78947368],0
a6,1,0.5221,0.409742,[14 12] ; [15 18],[12.77966102 13.22033898] ; [16.22033898 16.77966102],0
d4,1,0.541478,0.372807,[17  9] ; [19 14],[15.86440678 10.13559322] ; [20.13559322 12.86440678],0
n1,1,0.580912,0.304762,[6 6] ; [ 8 12],[5.25 6.75] ; [ 8.75 11.25],0
d1,1,0.652214,0.20312,[ 8 18] ; [12 21],[ 8.81355932 17.18644068] ; [11.18644068 21.81355932],0
s2,1,0.678419,0.171911,[ 5 21] ; [ 5 28],[ 4.40677966 21.59322034] ; [ 5.59322034 27.40677966],0
v2,1,0.730326,0.118812,[ 3 22] ; [ 5 28],[ 3.44827586 21.55172414] ; [ 4.55172414 28.44827586],0
a1,1,0.776171,0.080833,[ 4 22] ; [ 6 27],[ 4.40677966 21.59322034] ; [ 5.59322034 27.40677966],0
v3,1,0.800935,0.063573,[ 6 19] ; [ 7 26],[ 5.60344828 19.39655172] ; [ 7.39655172 25.60344828],0
u3,1,0.808605,0.058673,[3 6] ; [ 4 10],[2.73913043 6.26086957] ; [4.26086957 9.73913043],0
d5,1,0.809001,0.058426,[15 11] ; [18 15],[14.54237288 11.45762712] ; [18.45762712 14.54237288],0
a8,1,0.829076,0.046607,[ 1 22] ; [ 1 30],[ 0.85185185 22.14814815] ; [ 1.14814815 29.85185185],0
u1,1,0.8635,0.029557,[ 1 25] ; [ 1 32],[ 0.88135593 25.11864407] ; [ 1.11864407 31.88135593],0
n4,1,0.868597,0.027371,[16 10] ; [21 12],[16.30508475  9.69491525] ; [20.69491525 12.30508475],0
u2,1,0.906855,0.01369,[3 6] ; [5 9],[3.13043478 5.86956522] ; [4.86956522 9.13043478],0
n5,1,0.917739,0.010667,[17  9] ; [22 11],[17.18644068  8.81355932] ; [21.81355932 11.18644068],0
a2,1,0.94521,0.004723,[ 3 23] ; [ 4 29],[ 3.08474576 22.91525424] ; [ 3.91525424 29.08474576],0
