Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.832635,[ 89 132] ; [51 18],[106.68965517 114.31034483] ; [33.31034483 35.68965517],1
p1,1,0.001054,10.729679,[ 10 221] ; [11 59],[ 16.11627907 214.88372093] ; [ 4.88372093 65.11627907],0
s8,1,0.001443,10.14977,[ 77 155] ; [38 32],[ 88.34437086 143.65562914] ; [26.65562914 43.34437086],0
a3,1,0.001559,10.007439,[143  87] ; [57 12],[153.84615385  76.15384615] ; [46.15384615 22.84615385],0
p8,1,0.009485,6.729118,[ 75 153] ; [35 35],[ 84.16107383 143.83892617] ; [25.83892617 44.16107383],0
v1,1,0.030332,4.690386,[ 95 129] ; [39 29],[102.79452055 121.20547945] ; [31.20547945 36.79452055],0
p6,1,0.059089,3.562776,[ 36 194] ; [17 49],[ 41.18243243 188.81756757] ; [11.81756757 54.18243243],0
s7,1,0.064427,3.419599,[ 84 144] ; [34 35],[ 90.58585859 137.41414141] ; [27.41414141 41.58585859],0
d3,1,0.065243,3.398818,[149  80] ; [37 33],[142.4548495  86.5451505] ; [43.5451505 26.4548495],0
r2,1,0.066917,3.357062,[211  17] ; [68  1],[214.18181818  13.81818182] ; [64.81818182  4.18181818],0
s5,1,0.082442,3.016083,[ 58 166] ; [24 41],[ 63.55709343 160.44290657] ; [18.44290657 46.55709343],0
u1,1,0.08477,2.970987,[ 25 207] ; [13 57],[ 29.19205298 202.80794702] ; [ 8.80794702 61.19205298],0
u3,1,0.086418,2.939859,[39 50] ; [9 4],[41.88235294 47.11764706] ; [6.11764706 6.88235294],0
a5,1,0.103755,2.646854,[148  84] ; [52 18],[153.64238411  78.35761589] ; [46.35761589 23.64238411],0
b1,1,0.107158,2.595645,[ 69 163] ; [28 42],[ 74.51655629 157.48344371] ; [22.48344371 47.51655629],0
v3,1,0.119027,2.430076,[ 71 152] ; [29 40],[ 76.36986301 146.63013699] ; [23.63013699 45.36986301],0
