Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000398,12.541744,[6 6] ; [ 1 27],[2.1 9.9] ; [ 4.9 23.1],1
p2,1,0.002968,8.826829,[10  2] ; [ 9 19],[5.7 6.3] ; [13.3 14.7],0
n6,1,0.048204,3.902851,[3 9] ; [16 11],[5.84615385 6.15384615] ; [13.15384615 13.84615385],0
p8,1,0.05738,3.611538,[5 7] ; [ 4 24],[2.7 9.3] ; [ 6.3 21.7],0
p11,1,0.06211,3.480129,[9 3] ; [12 16],[6.3 5.7] ; [14.7 13.3],0
s6,1,0.07076,3.265306,[6 6] ; [ 6 22],[3.6 8.4] ; [ 8.4 19.6],0
u2,1,0.096791,2.757639,[5 1] ; [7 9],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
r1,1,0.121867,2.393162,[6 6] ; [ 7 21],[3.9 8.1] ; [ 9.1 18.9],0
s5,1,0.149596,2.076362,[ 2 10] ; [ 1 27],[ 0.9 11.1] ; [ 2.1 25.9],0
b3,1,0.158379,1.989638,[1 6] ; [ 8 10],[2.52 4.48] ; [ 6.48 11.52],0
b2,1,0.158379,1.989638,[1 6] ; [ 8 10],[2.52 4.48] ; [ 6.48 11.52],0
v4,1,0.167546,1.904762,[8 4] ; [12 16],[6. 6.] ; [14. 14.],0
p10,1,0.215766,1.532308,[7 5] ; [10 17],[5.23076923 6.76923077] ; [11.76923077 15.23076923],0
s8,1,0.246235,1.344538,[3 9] ; [ 3 25],[ 1.8 10.2] ; [ 4.2 23.8],0
d3,1,0.285049,1.142857,[6 6] ; [ 9 19],[4.5 7.5] ; [10.5 17.5],0
a8,1,0.290136,1.11899,[3 9] ; [ 3 23],[ 1.89473684 10.10526316] ; [ 4.10526316 21.89473684],0
d2,1,0.291841,1.111111,[5 7] ; [ 7 21],[3.6 8.4] ; [ 8.4 19.6],0
p9,1,0.357744,0.845798,[7 5] ; [11 15],[5.68421053 6.31578947] ; [12.31578947 13.68421053],0
n5,1,0.398025,0.714286,[6 6] ; [18 10],[7.2 4.8] ; [16.8 11.2],0
s3,1,0.444284,0.585193,[3 9] ; [ 4 23],[2.15384615 9.84615385] ; [ 4.84615385 22.15384615],0
a7,1,0.490153,0.47619,[7 5] ; [13 15],[6. 6.] ; [14. 14.],0
p5,1,0.526572,0.401003,[ 1 11] ; [ 1 27],[ 0.6 11.4] ; [ 1.4 26.6],0
d1,1,0.563005,0.334528,[ 2 10] ; [ 7 21],[2.7 9.3] ; [ 6.3 21.7],0
s2,1,0.601921,0.272109,[ 1 11] ; [ 4 24],[ 1.5 10.5] ; [ 3.5 24.5],0
r3,1,0.660768,0.192593,[8 4] ; [16 11],[7.38461538 4.61538462] ; [16.61538462 10.38461538],0
d5,1,0.677318,0.17316,[6 6] ; [12 16],[5.4 6.6] ; [12.6 15.4],0
a6,1,0.72158,0.126984,[5 7] ; [10 18],[4.5 7.5] ; [10.5 17.5],0
v1,1,0.73007,0.119048,[ 2 10] ; [ 6 22],[2.4 9.6] ; [ 5.6 22.4],0
a3,1,0.748053,0.103175,[6 6] ; [12 15],[5.53846154 6.46153846] ; [12.46153846 14.53846154],0
v2,1,0.766822,0.087933,[3 9] ; [ 8 19],[3.38461538 8.61538462] ; [ 7.61538462 19.38461538],0
b5,1,0.78146,0.07696,[7 5] ; [15 13],[6.6 5.4] ; [15.4 12.6],0
b4,1,0.81668,0.053739,[9 3] ; [20  8],[8.7 3.3] ; [20.3  7.7],0
s1,1,0.818075,0.05291,[ 1 11] ; [ 3 25],[ 1.2 10.8] ; [ 2.8 25.2],0
v3,1,0.818075,0.05291,[ 1 11] ; [ 3 25],[ 1.2 10.8] ; [ 2.8 25.2],0
n4,1,0.835792,0.042965,[6 6] ; [15 13],[6.3 5.7] ; [14.7 13.3],0
s4,1,0.846758,0.037348,[ 2 10] ; [ 4 24],[ 1.8 10.2] ; [ 4.2 23.8],0
n2,1,0.875975,0.024359,[3 3] ; [6 7],[2.84210526 3.15789474] ; [6.15789474 6.84210526],0
u3,1,0.910162,0.012731,[1 5] ; [ 3 13],[1.09090909 4.90909091] ; [ 2.90909091 13.09090909],0
a4,1,0.927647,0.008246,[ 2 10] ; [ 5 23],[2.1 9.9] ; [ 4.9 23.1],0
s7,1,0.940643,0.005544,[2 9] ; [ 5 21],[2.08108108 8.91891892] ; [ 4.91891892 21.08108108],0
a5,1,0.944356,0.004872,[5 7] ; [12 16],[5.1 6.9] ; [11.9 16.1],0
d4,1,0.944356,0.004872,[7 5] ; [16 12],[6.9 5.1] ; [16.1 11.9],0
b1,1,0.944356,0.004872,[7 5] ; [16 12],[6.9 5.1] ; [16.1 11.9],0
