Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,2e-06,22.586275,[ 29 161] ; [58 96],[ 48.05232558 141.94767442] ; [ 38.94767442 115.05232558],1
p2,1,0.00041,12.486881,[134  56] ; [134  21],[147.5942029  42.4057971] ; [120.4057971  34.5942029],1
p4,1,0.001199,10.491887,[ 74 116] ; [88 68],[ 88.95953757 101.04046243] ; [73.04046243 82.95953757],0
p3,1,0.002822,8.919446,[ 58 132] ; [72 84],[ 71.38728324 118.61271676] ; [58.61271676 97.38728324],0
s7,1,0.003593,8.478633,[ 73 111] ; [84 67],[86.23283582 97.76716418] ; [70.76716418 80.23283582],0
a2,1,0.004964,7.892678,[ 37 153] ; [ 51 105],[ 48.32369942 141.67630058] ; [ 39.67630058 116.32369942],0
p12,1,0.013346,6.122623,[ 17 173] ; [  4 152],[ 11.53179191 178.46820809] ; [  9.46820809 146.53179191],0
a8,1,0.014072,6.029123,[ 17 159] ; [ 27 113],[ 24.50632911 151.49367089] ; [ 19.49367089 120.50632911],0
a3,1,0.024815,5.036758,[129  61] ; [122  33],[138.23188406  51.76811594] ; [112.76811594  42.23188406],0
b4,1,0.079764,3.069711,[120  70] ; [84 72],[112.02312139  77.97687861] ; [91.97687861 64.02312139],0
u1,1,0.086029,2.947158,[ 30 160] ; [ 36 120],[ 36.24277457 153.75722543] ; [ 29.75722543 126.24277457],0
s3,1,0.088121,2.908372,[100  89] ; [95 58],[107.76315789  81.23684211] ; [87.23684211 65.76315789],0
v2,1,0.090963,2.857244,[89 89] ; [89 61],[96.59756098 81.40243902] ; [81.40243902 68.59756098],0
r1,1,0.091785,2.842787,[132  57] ; [120  34],[138.85714286  50.14285714] ; [113.14285714  40.85714286],0
s8,1,0.098679,2.726765,[ 71 119] ; [72 84],[ 78.52601156 111.47398844] ; [64.47398844 91.52601156],0
d3,1,0.100035,2.70499,[122  68] ; [111  42],[129.06705539  60.93294461] ; [103.93294461  49.06705539],0
n1,1,0.105235,2.624363,[28 34] ; [12 29],[24.0776699 37.9223301] ; [15.9223301 25.0776699],0
s2,1,0.117296,2.453059,[92 96] ; [89 66],[99.20699708 88.79300292] ; [81.79300292 73.20699708],0
s6,1,0.150833,2.06381,[119  70] ; [109  46],[125.26744186  63.73255814] ; [102.73255814  52.26744186],0
u2,1,0.152613,2.045939,[32 28] ; [22 10],[35.2173913 24.7826087] ; [18.7826087 13.2173913],0
r3,1,0.183565,1.768522,[177  12] ; [150   5],[179.65988372   9.34011628] ; [147.34011628   7.65988372],0
a6,1,0.200913,1.635725,[129  61] ; [115  40],[134.37681159  55.62318841] ; [109.62318841  45.37681159],0
d5,1,0.226524,1.462557,[148  42] ; [128  26],[152.44186047  37.55813953] ; [123.55813953  30.44186047],0
s5,1,0.247775,1.335807,[ 48 128] ; [ 51 103],[ 52.8 123.2] ; [ 46.2 107.8],0
p10,1,0.264852,1.243215,[160  30] ; [137  18],[163.56521739  26.43478261] ; [133.43478261  21.56521739],0
a5,1,0.315607,1.007064,[132  58] ; [116  40],[136.1849711  53.8150289] ; [111.8150289  44.1849711],0
p1,1,0.350322,0.872291,[ 13 177] ; [  7 149],[ 10.98265896 179.01734104] ; [  9.01734104 146.98265896],0
r4,1,0.361473,0.83277,[159  31] ; [136  20],[161.99421965  28.00578035] ; [133.00578035  22.99421965],0
u4,1,0.374984,0.787082,[  5 185] ; [  2 154],[  3.84393064 186.15606936] ; [  3.15606936 152.84393064],0
d4,1,0.375332,0.785936,[151  39] ; [129  26],[154.20289855  35.79710145] ; [125.79710145  29.20289855],0
p11,1,0.399357,0.710262,[144  46] ; [112  44],[140.57803468  49.42196532] ; [115.42196532  40.57803468],0
b1,1,0.401852,0.702779,[ 66 124] ; [61 95],[ 69.73988439 120.26011561] ; [57.26011561 98.73988439],0
v3,1,0.414414,0.666102,[ 55 122] ; [53 97],[ 58.4587156 118.5412844] ; [ 49.5412844 100.4587156],0
n2,1,0.444391,0.584919,[48 14] ; [29 12],[46.34951456 15.65048544] ; [30.65048544 10.34951456],0
v1,1,0.472064,0.51714,[85 97] ; [76 74],[88.25903614 93.74096386] ; [72.74096386 77.25903614],0
d2,1,0.487241,0.482614,[ 88 101] ; [78 77],[91.20348837 97.79651163] ; [74.79651163 80.20348837],0
p5,1,0.500729,0.453391,[  9 178] ; [ 10 144],[ 10.41935484 176.58064516] ; [  8.58064516 145.41935484],0
a7,1,0.502667,0.4493,[131  59] ; [112  43],[133.82608696  56.17391304] ; [109.17391304  45.82608696],0
a4,1,0.508197,0.437778,[ 87 103] ; [77 79],[90.05780347 99.94219653] ; [73.94219653 82.05780347],0
d1,1,0.596768,0.279898,[103  87] ; [89 67],[105.43352601  84.56647399] ; [86.56647399 69.43352601],0
n6,1,0.628832,0.233648,[152  37] ; [127  27],[153.73469388  35.26530612] ; [125.26530612  28.73469388],0
b5,1,0.636385,0.223501,[130  60] ; [103  53],[127.94797688  62.05202312] ; [105.05202312  50.94797688],0
a1,1,0.685891,0.163569,[  8 182] ; [  8 148],[  8.78612717 181.21387283] ; [  7.21387283 148.78612717],0
b3,1,0.71924,0.129222,[40 59] ; [41 67],[38.73913043 60.26086957] ; [42.26086957 65.73913043],0
b2,1,0.71924,0.129222,[40 59] ; [41 67],[38.73913043 60.26086957] ; [42.26086957 65.73913043],0
s1,1,0.739221,0.110813,[  6 181] ; [  4 150],[  5.48387097 181.51612903] ; [  4.51612903 149.48387097],0
v4,1,0.751442,0.100324,[176  14] ; [144  10],[176.74418605  13.25581395] ; [143.25581395  10.74418605],0
u3,1,0.761678,0.091978,[35 26] ; [20 13],[35.69148936 25.30851064] ; [19.30851064 13.69148936],0
r2,1,0.766252,0.088376,[175  14] ; [142  10],[175.69794721  13.30205279] ; [141.30205279  10.69794721],0
n4,1,0.771402,0.084414,[138  52] ; [114  40],[139.18604651  50.81395349] ; [112.81395349  41.18604651],0
n3,1,0.792162,0.069434,[47 15] ; [32  9],[47.55339806 14.44660194] ; [31.44660194  9.55339806],0
s4,1,0.800184,0.064064,[ 32 156] ; [ 28 127],[ 32.88629738 155.11370262] ; [ 27.11370262 127.88629738],0
n5,1,0.94466,0.004818,[134  55] ; [109  44],[134.28947368  54.71052632] ; [108.71052632  44.28947368],0
