Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,8e-06,19.966971,[32  5] ; [ 3 11],[25.39215686 11.60784314] ; [9.60784314 4.39215686],1
n5,1,0.000844,11.140954,[27 10] ; [ 3 11],[21.76470588 15.23529412] ; [8.23529412 5.76470588],1
p11,1,0.006119,7.514813,[32  5] ; [7 7],[28.29411765  8.70588235] ; [10.70588235  3.29411765],0
a5,1,0.048933,3.877636,[22 15] ; [ 4 10],[18.8627451 18.1372549] ; [7.1372549 6.8627451],0
s8,1,0.105737,2.616809,[14 23] ; [ 2 12],[11.60784314 25.39215686] ; [4.39215686 9.60784314],0
r4,1,0.10951,2.561275,[17 20] ; [ 3 11],[14.50980392 22.49019608] ; [5.49019608 8.50980392],0
d1,1,0.129388,2.299832,[ 8 29] ; [6 8],[10.15686275 26.84313725] ; [ 3.84313725 10.15686275],0
p7,1,0.129485,2.298665,[22 15] ; [5 9],[19.58823529 17.41176471] ; [7.41176471 6.58823529],0
n6,1,0.136387,2.218261,[26 10] ; [7 7],[23.76 12.24] ; [9.24 4.76],0
n4,1,0.154119,2.030998,[24 13] ; [6 8],[21.76470588 15.23529412] ; [8.23529412 5.76470588],0
p2,1,0.194883,1.680309,[28  9] ; [8 6],[26.11764706 10.88235294] ; [9.88235294 4.11764706],0
b5,1,0.214143,1.543191,[23 14] ; [6 8],[21.03921569 15.96078431] ; [7.96078431 6.03921569],0
s5,1,0.226118,1.465113,[ 8 29] ; [ 1 13],[ 6.52941176 30.47058824] ; [ 2.47058824 11.52941176],0
b3,1,0.231705,1.430363,[ 8 15] ; [1 7],[ 6.67741935 16.32258065] ; [2.32258065 5.67741935],0
b2,1,0.231705,1.430363,[ 8 15] ; [1 7],[ 6.67741935 16.32258065] ; [2.32258065 5.67741935],0
u2,1,0.234657,1.412406,[13  6] ; [3 4],[11.69230769  7.30769231] ; [4.30769231 2.69230769],0
p5,1,0.302082,1.06498,[ 7 30] ; [ 1 13],[ 5.80392157 31.19607843] ; [ 2.19607843 11.80392157],0
b1,1,0.318071,0.996863,[18 19] ; [9 5],[19.58823529 17.41176471] ; [7.41176471 6.58823529],0
s7,1,0.323879,0.973217,[11 24] ; [ 2 10],[ 9.68085106 25.31914894] ; [3.31914894 8.68085106],0
d5,1,0.338205,0.917225,[21 16] ; [10  4],[22.49019608 14.50980392] ; [8.50980392 5.49019608],0
v3,1,0.338423,0.916394,[10 27] ; [ 2 12],[ 8.70588235 28.29411765] ; [ 3.29411765 10.70588235],0
p4,1,0.374813,0.787645,[21 16] ; [6 8],[19.58823529 17.41176471] ; [7.41176471 6.58823529],0
s3,1,0.374813,0.787645,[11 26] ; [6 8],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
p8,1,0.407431,0.686284,[18 19] ; [5 9],[16.68627451 20.31372549] ; [6.31372549 7.68627451],0
a4,1,0.436656,0.605054,[ 9 28] ; [ 2 12],[ 7.98039216 29.01960784] ; [ 3.01960784 10.98039216],0
s6,1,0.475336,0.509546,[20 17] ; [6 8],[18.8627451 18.1372549] ; [7.1372549 6.8627451],0
r1,1,0.486919,0.483327,[12 25] ; [6 8],[13.05882353 23.94117647] ; [4.94117647 9.05882353],0
p6,1,0.50648,0.441332,[ 8 29] ; [4 9],[ 8.88 28.12] ; [3.12 9.88],0
n2,1,0.56813,0.325822,[7 5] ; [5 2],[7.57894737 4.42105263] ; [4.42105263 2.57894737],0
u3,1,0.591838,0.287483,[ 6 13] ; [3 4],[ 6.57692308 12.42307692] ; [2.42307692 4.57692308],0
v2,1,0.594032,0.284091,[15 21] ; [7 7],[15.84 20.16] ; [6.16 7.84],0
v1,1,0.657226,0.196911,[13 24] ; [ 4 10],[12.33333333 24.66666667] ; [4.66666667 9.33333333],0
s2,1,0.681041,0.168957,[11 26] ; [5 9],[11.60784314 25.39215686] ; [4.39215686 9.60784314],0
p3,1,0.693023,0.155833,[12 25] ; [5 8],[12.58 24.42] ; [4.42 8.58],0
a7,1,0.71154,0.136744,[19 18] ; [8 6],[19.58823529 17.41176471] ; [7.41176471 6.58823529],0
d4,1,0.790864,0.070325,[25 12] ; [10  4],[25.39215686 11.60784314] ; [9.60784314 4.39215686],0
d2,1,0.790864,0.070325,[12 25] ; [ 4 10],[11.60784314 25.39215686] ; [4.39215686 9.60784314],0
b4,1,0.795749,0.067005,[20 17] ; [7 7],[19.58823529 17.41176471] ; [7.41176471 6.58823529],0
a8,1,0.806882,0.059756,[ 6 29] ; [ 2 12],[ 5.71428571 29.28571429] ; [ 2.28571429 11.71428571],0
p1,1,0.813951,0.055381,[ 2 35] ; [ 1 13],[ 2.17647059 34.82352941] ; [ 0.82352941 13.17647059],0
n1,1,0.829454,0.046398,[4 8] ; [2 5],[3.78947368 8.21052632] ; [2.21052632 4.78947368],0
n3,1,0.829454,0.046398,[8 4] ; [5 2],[8.21052632 3.78947368] ; [4.78947368 2.21052632],0
s4,1,0.865658,0.028621,[ 6 31] ; [ 2 12],[ 5.80392157 31.19607843] ; [ 2.19607843 11.80392157],0
s1,1,0.908903,0.013092,[ 3 34] ; [ 1 13],[ 2.90196078 34.09803922] ; [ 1.09803922 12.90196078],0
d3,1,0.931346,0.007422,[18 19] ; [7 7],[18.1372549 18.8627451] ; [6.8627451 7.1372549],0
a3,1,0.931346,0.007422,[18 19] ; [7 7],[18.1372549 18.8627451] ; [6.8627451 7.1372549],0
v4,1,0.935429,0.006564,[26 11] ; [10  4],[26.11764706 10.88235294] ; [9.88235294 4.11764706],0
a6,1,0.980179,0.000617,[16 21] ; [6 8],[15.96078431 21.03921569] ; [6.03921569 7.96078431],0
