Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000291,13.125,[4 3] ; [ 1 27],[1. 6.] ; [ 4. 24.],1
s1,1,0.028551,4.79447,[3 5] ; [ 2 26],[1.11111111 6.88888889] ; [ 3.88888889 24.11111111],0
p4,1,0.032125,4.591837,[4 4] ; [ 4 24],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],0
p6,1,0.058777,3.571566,[2 6] ; [ 1 26],[0.68571429 7.31428571] ; [ 2.31428571 24.68571429],0
b5,1,0.074343,3.184432,[6 2] ; [11 17],[3.77777778 4.22222222] ; [13.22222222 14.77777778],0
d5,1,0.074343,3.184432,[2 6] ; [17 11],[4.22222222 3.77777778] ; [14.77777778 13.22222222],0
n4,1,0.120347,2.412801,[3 5] ; [19  9],[4.88888889 3.11111111] ; [17.11111111 10.88888889],0
p3,1,0.143432,2.140746,[3 5] ; [ 4 24],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
p2,1,0.143432,2.140746,[3 5] ; [ 4 24],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
p10,1,0.156376,2.008929,[2 6] ; [ 2 26],[0.88888889 7.11111111] ; [ 3.11111111 24.88888889],0
s3,1,0.19765,1.659652,[4 4] ; [ 7 20],[2.51428571 5.48571429] ; [ 8.48571429 18.51428571],0
r2,1,0.201168,1.633873,[3 5] ; [17 10],[4.57142857 3.42857143] ; [15.42857143 11.57142857],0
n3,1,0.211088,1.563946,[3 2] ; [ 4 10],[1.84210526 3.15789474] ; [5.15789474 8.84210526],0
s2,1,0.238569,1.389031,[3 5] ; [ 5 23],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],0
a7,1,0.243878,1.358036,[5 3] ; [11 17],[3.55555556 4.44444444] ; [12.44444444 15.55555556],0
a6,1,0.243878,1.358036,[5 3] ; [11 17],[3.55555556 4.44444444] ; [12.44444444 15.55555556],0
n5,1,0.243878,1.358036,[3 5] ; [17 11],[4.44444444 3.55555556] ; [15.55555556 12.44444444],0
d1,1,0.278272,1.17551,[2 6] ; [13 15],[3.33333333 4.66666667] ; [11.66666667 16.33333333],0
s8,1,0.330899,0.945378,[1 7] ; [ 1 27],[0.44444444 7.55555556] ; [ 1.55555556 26.44444444],0
p11,1,0.354539,0.857143,[3 5] ; [ 6 22],[2. 6.] ; [ 7. 21.],0
v2,1,0.354539,0.857143,[1 7] ; [ 8 20],[2. 6.] ; [ 7. 21.],0
d2,1,0.369478,0.805419,[3 5] ; [15 12],[4.11428571 3.88571429] ; [13.88571429 13.11428571],0
n1,1,0.416793,0.659341,[1 4] ; [6 9],[1.75 3.25] ; [5.25 9.75],0
a4,1,0.528708,0.396873,[2 6] ; [10 17],[2.74285714 5.25714286] ; [ 9.25714286 17.74285714],0
n2,1,0.573138,0.31746,[2 3] ; [ 4 11],[1.5 3.5] ; [ 4.5 10.5],0
r4,1,0.573611,0.316678,[1 7] ; [ 6 22],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
b4,1,0.587746,0.293878,[4 4] ; [17 11],[4.66666667 3.33333333] ; [16.33333333 11.66666667],0
a3,1,0.595416,0.281966,[5 3] ; [14 13],[4.34285714 3.65714286] ; [14.65714286 12.34285714],0
a8,1,0.628745,0.233766,[1 7] ; [ 2 26],[0.66666667 7.33333333] ; [ 2.33333333 25.66666667],0
s7,1,0.632142,0.229167,[1 7] ; [ 5 20],[1.45454545 6.54545455] ; [ 4.54545455 20.45454545],0
v3,1,0.652571,0.202674,[2 6] ; [ 5 23],[1.55555556 6.44444444] ; [ 5.44444444 22.55555556],0
a5,1,0.654001,0.200893,[3 5] ; [13 15],[3.55555556 4.44444444] ; [12.44444444 15.55555556],0
r1,1,0.654001,0.200893,[3 5] ; [13 15],[3.55555556 4.44444444] ; [12.44444444 15.55555556],0
u2,1,0.659118,0.194597,[1 2] ; [ 3 11],[0.70588235 2.29411765] ; [ 3.29411765 10.70588235],0
n6,1,0.72647,0.122378,[3 4] ; [10 18],[2.6 4.4] ; [10.4 17.6],0
d4,1,0.776814,0.080357,[5 3] ; [19  9],[5.33333333 2.66666667] ; [18.66666667  9.33333333],0
r3,1,0.786351,0.073469,[3 5] ; [12 16],[3.33333333 4.66666667] ; [11.66666667 16.33333333],0
v1,1,0.830324,0.045918,[2 6] ; [ 6 22],[1.77777778 6.22222222] ; [ 6.22222222 21.77777778],0
s6,1,0.842342,0.03956,[2 6] ; [ 8 20],[2.22222222 5.77777778] ; [ 7.77777778 20.22222222],0
d3,1,0.85837,0.031844,[4 4] ; [13 15],[3.77777778 4.22222222] ; [13.22222222 14.77777778],0
b1,1,0.85837,0.031844,[4 4] ; [15 13],[4.22222222 3.77777778] ; [14.77777778 13.22222222],0
