Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,70.104615,[71 46] ; [ 18 132],[39. 78.] ; [ 50. 100.],1
n4,1,2.1e-05,18.072935,[100  17] ; [93 57],[84.57303371 32.42696629] ; [108.42696629  41.57303371],1
p6,1,5.9e-05,16.139655,[33 84] ; [ 14 136],[20.59550562 96.40449438] ; [ 26.40449438 123.59550562],1
s6,1,0.000204,13.794595,[87 29] ; [78 70],[72.5 43.5] ; [92.5 55.5],1
s7,1,0.00039,12.577865,[58 52] ; [ 46 103],[44.16988417 65.83011583] ; [59.83011583 89.16988417],1
s8,1,0.00063,11.684554,[57 59] ; [ 43 107],[43.60902256 72.39097744] ; [56.39097744 93.60902256],1
d2,1,0.001395,10.211976,[67 50] ; [56 93],[54.10150376 62.89849624] ; [68.89849624 80.10150376],0
n5,1,0.002555,9.100652,[95 22] ; [96 53],[84.0112782 32.9887218] ; [106.9887218  42.0112782],0
d1,1,0.00505,7.861425,[74 43] ; [69 81],[62.66292135 54.33707865] ; [80.33707865 69.66292135],0
s2,1,0.005453,7.722693,[67 49] ; [60 88],[55.8030303 60.1969697] ; [71.1969697 76.8030303],0
n6,1,0.006425,7.427053,[104  13] ; [113  36],[95.44736842 21.55263158] ; [121.55263158  27.44736842],0
d5,1,0.00775,7.090255,[97 20] ; [103  47],[87.64044944 29.35955056] ; [112.35955056  37.64044944],0
p8,1,0.011716,6.353299,[42 74] ; [ 33 116],[32.83018868 83.16981132] ; [ 42.16981132 106.83018868],0
p2,1,0.01275,6.20352,[96 21] ; [103  47],[87.20224719 29.79775281] ; [111.79775281  38.20224719],0
p5,1,0.013121,6.152772,[ 14 101] ; [  6 143],[  8.71212121 106.28787879] ; [ 11.28787879 137.71212121],0
v4,1,0.037952,4.307178,[113   4] ; [135  15],[108.6741573   8.3258427] ; [139.3258427  10.6741573],0
u3,1,0.042768,4.104566,[26 11] ; [28 29],[21.25531915 15.74468085] ; [32.74468085 24.25531915],0
v1,1,0.043532,4.07461,[62 49] ; [63 83],[53.98832685 57.01167315] ; [71.01167315 74.98832685],0
a1,1,0.044229,4.047781,[  1 116] ; [  8 142],[  3.94382022 113.05617978] ; [  5.05617978 144.94382022],0
u2,1,0.044965,4.019962,[25 12] ; [26 30],[20.29032258 16.70967742] ; [30.70967742 25.29032258],0
a4,1,0.046908,3.948672,[59 58] ; [57 92],[51.02255639 65.97744361] ; [64.97744361 84.02255639],0
s1,1,0.049399,3.861745,[  8 108] ; [  3 145],[  4.83333333 111.16666667] ; [  6.16666667 141.83333333],0
d3,1,0.054244,3.705177,[82 35] ; [88 62],[74.49438202 42.50561798] ; [95.50561798 54.49438202],0
p12,1,0.055386,3.670438,[ 15 102] ; [  9 140],[ 10.55639098 106.44360902] ; [ 13.44360902 135.55639098],0
n2,1,0.055832,3.65706,[18 11] ; [40  9],[21.56410256  7.43589744] ; [36.43589744 12.56410256],0
a5,1,0.081425,3.036228,[88 29] ; [98 52],[81.50561798 35.49438202] ; [104.49438202  45.50561798],0
u1,1,0.086377,2.940628,[22 95] ; [ 17 133],[17.08988764 99.91011236] ; [ 21.91011236 128.08988764],0
s5,1,0.086584,2.936765,[33 74] ; [ 30 111],[27.18145161 79.81854839] ; [ 35.81854839 105.18145161],0
n1,1,0.089297,2.887001,[17 12] ; [19 30],[13.38461538 15.61538462] ; [22.61538462 26.38461538],0
r4,1,0.117595,2.449068,[104  13] ; [123  27],[99.47191011 17.52808989] ; [127.52808989  22.47191011],0
v2,1,0.186662,1.743771,[62 52] ; [64 75],[56.77470356 57.22529644] ; [69.22529644 69.77470356],0
p10,1,0.222715,1.486792,[103  14] ; [124  26],[99.47191011 17.52808989] ; [127.52808989  22.47191011],0
b1,1,0.244191,1.356236,[43 74] ; [ 45 105],[38.56179775 78.43820225] ; [ 49.43820225 100.56179775],0
a3,1,0.311621,1.023792,[80 37] ; [93 56],[76.09398496 40.90601504] ; [96.90601504 52.09398496],0
r1,1,0.329201,0.952037,[86 30] ; [103  47],[82.42105263 33.57894737] ; [106.57894737  43.42105263],0
s3,1,0.355487,0.853772,[64 53] ; [72 75],[60.27272727 56.72727273] ; [75.72727273 71.27272727],0
b3,1,0.389052,0.741902,[25 46] ; [30 41],[27.5 43.5] ; [27.5 43.5],0
b2,1,0.389052,0.741902,[25 46] ; [30 41],[27.5 43.5] ; [27.5 43.5],0
b4,1,0.401706,0.703213,[69 48] ; [96 54],[72.30337079 44.69662921] ; [92.69662921 57.30337079],0
a8,1,0.425075,0.636242,[13 92] ; [ 13 128],[11.09756098 93.90243902] ; [ 14.90243902 126.09756098],0
d4,1,0.441699,0.591866,[95 22] ; [116  34],[92.46067416 24.53932584] ; [118.53932584  31.46067416],0
u4,1,0.471578,0.518276,[  4 113] ; [  3 147],[  3.06741573 113.93258427] ; [  3.93258427 146.06741573],0
s4,1,0.50496,0.444497,[ 16 100] ; [ 25 124],[17.94716981 98.05283019] ; [ 23.05283019 125.94716981],0
a2,1,0.527656,0.398903,[23 94] ; [ 25 125],[21.03370787 95.96629213] ; [ 26.96629213 123.03370787],0
v3,1,0.627974,0.234818,[37 73] ; [44 99],[35.2173913 74.7826087] ; [45.7826087 97.2173913],0
a6,1,0.661794,0.191352,[75 42] ; [100  50],[76.68539326 40.31460674] ; [98.31460674 51.68539326],0
r3,1,0.708893,0.139385,[109   8] ; [137  12],[108.20300752   8.79699248] ; [137.79699248  11.20300752],0
a7,1,0.748969,0.1024,[84 33] ; [105  45],[82.82022472 34.17977528] ; [106.17977528  43.82022472],0
p1,1,0.834954,0.043411,[ 11 106] ; [ 13 137],[ 10.51685393 106.48314607] ; [ 13.48314607 136.51685393],0
p11,1,0.881911,0.022066,[88 29] ; [114  36],[88.51685393 28.48314607] ; [113.48314607  36.51685393],0
r2,1,0.890898,0.018815,[108   8] ; [139  11],[107.71428571   8.28571429] ; [139.28571429  10.71428571],0
b5,1,0.908969,0.013073,[78 39] ; [99 51],[77.56179775 39.43820225] ; [99.43820225 50.56179775],0
n3,1,0.968852,0.001525,[20  9] ; [34 15],[20.07692308  8.92307692] ; [33.92307692 15.07692308],0
