Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.004082,8.247106,[ 19 250] ; [3 6],[ 21.28776978 247.71223022] ; [0.71223022 8.28776978],0
b3,1,0.007704,7.101028,[ 56 109] ; [7 2],[ 59.74137931 105.25862069] ; [3.25862069 5.74137931],0
b2,1,0.007704,7.101028,[ 56 109] ; [7 2],[ 59.74137931 105.25862069] ; [3.25862069 5.74137931],0
s8,1,0.02047,5.371379,[134 136] ; [8 1],[137.41935484 132.58064516] ; [4.58064516 4.41935484],0
p2,1,0.028886,4.774404,[224  44] ; [5 4],[221.55956679  46.44043321] ; [7.44043321 1.55956679],0
d2,1,0.032454,4.574371,[143 128] ; [8 1],[146.14642857 124.85357143] ; [4.85357143 4.14642857],0
u1,1,0.034269,4.481238,[ 46 225] ; [4 5],[ 48.39285714 222.60714286] ; [1.60714286 7.39285714],0
a2,1,0.034287,4.480339,[ 66 205] ; [5 4],[ 68.71785714 202.28214286] ; [2.28214286 6.71785714],0
s2,1,0.0419,4.139256,[147 122] ; [8 1],[149.98201439 119.01798561] ; [5.01798561 3.98201439],0
s3,1,0.079922,3.066484,[160 107] ; [8 1],[162.52173913 104.47826087] ; [5.47826087 3.52173913],0
a4,1,0.090243,2.870029,[133 138] ; [7 2],[135.5 135.5] ; [4.5 4.5],0
p5,1,0.101143,2.687422,[ 37 231] ; [3 6],[ 38.70036101 229.29963899] ; [1.29963899 7.70036101],0
n3,1,0.108854,2.570783,[40 13] ; [1 2],[38.80357143 14.19642857] ; [2.19642857 0.80357143],0
n2,1,0.126383,2.336382,[40 14] ; [1 2],[38.84210526 15.15789474] ; [2.15789474 0.84210526],0
v3,1,0.153337,2.038737,[101 165] ; [4 2],[102.68382353 163.31617647] ; [2.31617647 3.68382353],0
s7,1,0.160319,1.971211,[139 118] ; [7 2],[141.06015038 115.93984962] ; [4.93984962 4.06015038],0
p7,1,0.21123,1.562977,[187  78] ; [4 4],[185.4029304  79.5970696] ; [5.5970696 2.4029304],0
s1,1,0.218474,1.514366,[  9 260] ; [1 8],[  9.67625899 259.32374101] ; [0.32374101 8.67625899],0
v2,1,0.322357,0.979361,[136 123] ; [5 2],[137.28947368 121.71052632] ; [3.71052632 3.28947368],0
v1,1,0.375528,0.785291,[144 120] ; [5 2],[145.15129151 118.84870849] ; [3.84870849 3.15129151],0
a6,1,0.397967,0.714461,[173  97] ; [7 2],[174.19354839  95.80645161] ; [5.80645161 3.19354839],0
b5,1,0.423305,0.64112,[144 127] ; [6 3],[145.17857143 125.82142857] ; [4.82142857 4.17857143],0
a3,1,0.427569,0.629418,[210  60] ; [8 1],[210.96774194  59.03225806] ; [7.03225806 1.96774194],0
b4,1,0.447434,0.577144,[155 116] ; [4 5],[153.88928571 117.11071429] ; [5.11071429 3.88928571],0
d5,1,0.478007,0.503406,[213  56] ; [8 1],[213.84532374  55.15467626] ; [7.15467626 1.84532374],0
r1,1,0.480899,0.496823,[214  56] ; [8 1],[214.83870968  55.16129032] ; [7.16129032 1.83870968],0
s6,1,0.481092,0.496387,[175  88] ; [7 2],[175.97794118  87.02205882] ; [6.02205882 2.97794118],0
n4,1,0.497996,0.459205,[216  55] ; [8 1],[216.8  54.2] ; [7.2 1.8],0
n6,1,0.55257,0.352732,[218  51] ; [8 1],[218.68345324  50.31654676] ; [7.31654676 1.68345324],0
n5,1,0.55556,0.34745,[219  51] ; [8 1],[219.67741935  50.32258065] ; [7.32258065 1.67741935],0
n1,1,0.595961,0.281131,[27 26] ; [2 1],[27.44642857 25.55357143] ; [1.55357143 1.44642857],0
p3,1,0.603685,0.269473,[156 113] ; [6 3],[156.75539568 112.24460432] ; [5.24460432 3.75539568],0
v4,1,0.643864,0.213724,[250  19] ; [8 1],[249.64748201  19.35251799] ; [8.35251799 0.64748201],0
s5,1,0.661494,0.191714,[ 96 166] ; [2 5],[ 95.44981413 166.55018587] ; [2.55018587 4.44981413],0
a1,1,0.675892,0.174787,[ 20 251] ; [1 8],[ 20.325 250.675] ; [0.675 8.325],0
s4,1,0.69353,0.155291,[ 43 226] ; [1 8],[ 42.57553957 226.42446043] ; [1.42446043 7.57553957],0
p1,1,0.821338,0.050997,[ 24 245] ; [1 8],[ 24.19064748 244.80935252] ; [0.80935252 8.19064748],0
p6,1,0.845769,0.037838,[110 157] ; [4 5],[110.2826087 156.7173913] ; [3.7173913 5.2826087],0
d3,1,0.849246,0.036131,[171  98] ; [6 3],[171.26978417  97.73021583] ; [5.73021583 3.26978417],0
a8,1,0.865389,0.028736,[ 33 220] ; [1 8],[ 32.83206107 220.16793893] ; [1.16793893 7.83206107],0
p4,1,0.897288,0.016664,[175  96] ; [6 3],[175.18214286  95.81785714] ; [5.81785714 3.18214286],0
a5,1,0.963224,0.002126,[209  62] ; [7 2],[209.05714286  61.94285714] ; [6.94285714 2.05714286],0
a7,1,0.968918,0.001518,[181  88] ; [6 3],[180.94604317  88.05395683] ; [6.05395683 2.94604317],0
p8,1,0.990209,0.000151,[150 119] ; [5 4],[149.98201439 119.01798561] ; [5.01798561 3.98201439],0
