Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.170904,1.875,[1 2] ; [9 3],[2. 1.] ; [8. 4.],0
a3,1,0.170904,1.875,[1 2] ; [9 3],[2. 1.] ; [8. 4.],0
u1,1,0.254565,1.298077,[1 2] ; [ 1 11],[0.4 2.6] ; [ 1.6 10.4],0
n5,1,0.254565,1.298077,[2 1] ; [11  1],[2.6 0.4] ; [10.4  1.6],0
s6,1,0.291841,1.111111,[1 2] ; [8 4],[1.8 1.2] ; [7.2 4.8],0
r4,1,0.437558,0.602679,[1 2] ; [7 5],[1.6 1.4] ; [6.4 5.6],0
d1,1,0.437558,0.602679,[2 1] ; [5 7],[1.4 1.6] ; [5.6 6.4],0
a2,1,0.518605,0.416667,[1 2] ; [ 2 10],[0.6 2.4] ; [2.4 9.6],0
p10,1,0.518605,0.416667,[2 1] ; [10  2],[2.4 0.6] ; [9.6 2.4],0
n6,1,0.518605,0.416667,[2 1] ; [10  2],[2.4 0.6] ; [9.6 2.4],0
n4,1,0.518605,0.416667,[2 1] ; [10  2],[2.4 0.6] ; [9.6 2.4],0
p8,1,0.604773,0.267857,[2 1] ; [6 6],[1.6 1.4] ; [6.4 5.6],0
p11,1,0.604773,0.267857,[2 1] ; [6 6],[1.6 1.4] ; [6.4 5.6],0
s5,1,0.648807,0.207407,[1 1] ; [4 8],[0.71428571 1.28571429] ; [4.28571429 7.71428571],0
d2,1,0.792147,0.069444,[2 1] ; [7 5],[1.8 1.2] ; [7.2 4.8],0
p4,1,0.792147,0.069444,[2 1] ; [7 5],[1.8 1.2] ; [7.2 4.8],0
b3,1,1.0,0.0,[1 2] ; [3 6],[1. 2.] ; [3. 6.],0
d5,1,1.0,0.0,[2 1] ; [8 4],[2. 1.] ; [8. 4.],0
a6,1,1.0,0.0,[2 1] ; [8 4],[2. 1.] ; [8. 4.],0
a5,1,1.0,0.0,[2 1] ; [8 4],[2. 1.] ; [8. 4.],0
a4,1,1.0,0.0,[1 2] ; [4 8],[1. 2.] ; [4. 8.],0
b2,1,1.0,0.0,[1 2] ; [3 6],[1. 2.] ; [3. 6.],0
