Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.029364,4.746171,[ 8 42] ; [2 1],[ 9.43396226 40.56603774] ; [0.56603774 2.43396226],0
a4,1,0.339207,0.913425,[19 30] ; [2 1],[19.78846154 29.21153846] ; [1.21153846 1.78846154],0
v1,1,0.339207,0.913425,[19 30] ; [2 1],[19.78846154 29.21153846] ; [1.21153846 1.78846154],0
s6,1,0.362581,0.828935,[20 30] ; [2 1],[20.75471698 29.24528302] ; [1.24528302 1.75471698],0
v2,1,0.396329,0.719436,[20 28] ; [2 1],[20.70588235 27.29411765] ; [1.29411765 1.70588235],0
s8,1,0.437373,0.603165,[ 8 42] ; [1 2],[ 8.49056604 41.50943396] ; [0.50943396 2.49056604],0
n1,1,0.490279,0.475913,[10 12] ; [2 1],[10.56 11.44] ; [1.44 1.56],0
b4,1,0.574885,0.314577,[25 25] ; [2 1],[25.47169811 24.52830189] ; [1.52830189 1.47169811],0
s3,1,0.57533,0.313846,[24 24] ; [1 2],[23.52941176 24.47058824] ; [1.47058824 1.52941176],0
n5,1,0.57533,0.313846,[24 24] ; [2 1],[24.47058824 23.52941176] ; [1.52941176 1.47058824],0
n3,1,0.642271,0.215784,[11 10] ; [2 1],[11.375  9.625] ; [1.625 1.375],0
v4,1,0.664032,0.188662,[38 11] ; [2 1],[37.69230769 11.30769231] ; [2.30769231 0.69230769],0
n6,1,0.672939,0.178183,[26 22] ; [2 1],[26.35294118 21.64705882] ; [1.64705882 1.35294118],0
a2,1,0.715158,0.133179,[12 38] ; [1 2],[12.26415094 37.73584906] ; [0.73584906 2.26415094],0
n2,1,0.737989,0.111902,[13 10] ; [2 1],[13.26923077  9.73076923] ; [1.73076923 1.26923077],0
b2,1,0.840573,0.040466,[11 17] ; [1 2],[10.83870968 17.16129032] ; [1.16129032 1.83870968],0
b3,1,0.840573,0.040466,[11 17] ; [1 2],[10.83870968 17.16129032] ; [1.16129032 1.83870968],0
v3,1,0.850537,0.035507,[13 33] ; [1 2],[13.14285714 32.85714286] ; [0.85714286 2.14285714],0
s7,1,0.859726,0.031231,[14 35] ; [1 2],[14.13461538 34.86538462] ; [0.86538462 2.13461538],0
a3,1,0.863628,0.029501,[29 18] ; [2 1],[29.14 17.86] ; [1.86 1.14],0
a5,1,0.925468,0.008751,[32 18] ; [2 1],[32.0754717 17.9245283] ; [1.9245283 1.0754717],0
a7,1,0.980547,0.000595,[33 16] ; [2 1],[32.98076923 16.01923077] ; [2.01923077 0.98076923],0
a6,1,0.981106,0.000561,[33 17] ; [2 1],[33.01886792 16.98113208] ; [1.98113208 1.01886792],0
s2,1,0.981106,0.000561,[17 33] ; [1 2],[16.98113208 33.01886792] ; [1.01886792 1.98113208],0
d3,1,0.981106,0.000561,[33 17] ; [2 1],[33.01886792 16.98113208] ; [1.98113208 1.01886792],0
