Feature,DoF,P Value,Chi Square,Is Significant
u3,1,0.005132,7.83239,0
a6,1,0.069079,3.304761,0
n4,1,0.076071,3.146902,0
a7,1,0.089226,2.888275,0
d3,1,0.109604,2.559924,0
p8,1,0.172399,1.86196,0
s3,1,0.203493,1.617123,0
b5,1,0.225977,1.466007,0
u1,1,0.230948,1.435012,0
b4,1,0.267467,1.229694,0
s8,1,0.36088,0.83483,0
p7,1,0.372317,0.795918,0
s6,1,0.377256,0.779624,0
a5,1,0.380786,0.768162,0
b3,1,0.420814,0.648041,0
b2,1,0.420814,0.648041,0
a3,1,0.420931,0.647714,0
u2,1,0.420994,0.64754,0
r2,1,0.421394,0.646425,0
s5,1,0.439637,0.597229,0
p6,1,0.44938,0.572215,0
a2,1,0.458808,0.548801,0
p1,1,0.467912,0.526904,0
n3,1,0.469179,0.523909,0
a8,1,0.476526,0.506804,0
v2,1,0.497736,0.459761,0
d1,1,0.52146,0.411005,0
p3,1,0.540206,0.375158,0
s1,1,0.578995,0.307862,0
r1,1,0.618982,0.247301,0
v1,1,0.640975,0.21747,0
d5,1,0.655534,0.198994,0
n5,1,0.664002,0.188698,0
d2,1,0.665178,0.187295,0
p9,1,0.686951,0.162406,0
n6,1,0.695103,0.153616,0
s4,1,0.707011,0.141281,0
v4,1,0.727175,0.121721,0
s2,1,0.748862,0.10249,0
a1,1,0.769954,0.085518,0
r3,1,0.777671,0.079725,0
d4,1,0.782053,0.076532,0
a4,1,0.797515,0.065825,0
p2,1,0.835868,0.042924,0
s7,1,0.878628,0.02332,0
n2,1,0.899167,0.016056,0
v3,1,0.91884,0.010383,0
r4,1,0.923582,0.009201,0
n1,1,0.935526,0.006544,0
p5,1,0.943317,0.005055,0
p4,1,0.990872,0.000131,0
