Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.9e-05,16.905188,[12  1] ; [12 31],[5.57142857 7.42857143] ; [18.42857143 24.57142857],1
d2,1,0.001085,10.676961,[9 4] ; [ 9 34],[4.17857143 8.82142857] ; [13.82142857 29.17857143],0
a6,1,0.00462,8.02266,[10  3] ; [14 29],[5.57142857 7.42857143] ; [18.42857143 24.57142857],0
a2,1,0.010905,6.480804,[ 3 10] ; [ 1 42],[ 0.92857143 12.07142857] ; [ 3.07142857 39.92857143],0
a3,1,0.01427,6.004411,[10  3] ; [16 26],[6.14545455 6.85454545] ; [19.85454545 22.14545455],0
p5,1,0.02551,4.988962,[4 9] ; [ 3 39],[ 1.65454545 11.34545455] ; [ 5.34545455 36.65454545],0
v3,1,0.026856,4.900054,[5 8] ; [ 5 38],[ 2.32142857 10.67857143] ; [ 7.67857143 35.32142857],0
a4,1,0.035556,4.418297,[7 6] ; [10 33],[3.94642857 9.05357143] ; [13.05357143 29.94642857],0
p1,1,0.041198,4.167835,[ 3 10] ; [ 2 41],[ 1.16071429 11.83928571] ; [ 3.83928571 39.16071429],0
a5,1,0.083522,2.995003,[9 4] ; [18 25],[6.26785714 6.73214286] ; [20.73214286 22.26785714],0
p3,1,0.096378,2.764485,[5 7] ; [ 8 35],[2.83636364 9.16363636] ; [10.16363636 32.83636364],0
n5,1,0.164746,1.930113,[6 7] ; [29 14],[8.125 4.875] ; [26.875 16.125],0
s1,1,0.187918,1.733865,[ 2 11] ; [ 2 41],[ 0.92857143 12.07142857] ; [ 3.07142857 39.92857143],0
p12,1,0.187918,1.733865,[ 2 11] ; [ 2 41],[ 0.92857143 12.07142857] ; [ 3.07142857 39.92857143],0
n4,1,0.212537,1.554057,[5 8] ; [25 18],[6.96428571 6.03571429] ; [23.03571429 19.96428571],0
a7,1,0.250841,1.318613,[9 4] ; [22 21],[7.19642857 5.80357143] ; [23.80357143 19.19642857],0
v2,1,0.26044,1.266417,[6 7] ; [12 29],[4.33333333 8.66666667] ; [13.66666667 27.33333333],0
r4,1,0.277988,1.176898,[5 8] ; [10 33],[3.48214286 9.51785714] ; [11.51785714 31.48214286],0
v1,1,0.277988,1.176898,[5 8] ; [10 33],[3.48214286 9.51785714] ; [11.51785714 31.48214286],0
n3,1,0.307434,1.041667,[2 3] ; [13  7],[3. 2.] ; [12.  8.],0
p7,1,0.31487,1.010137,[4 9] ; [20 23],[5.57142857 7.42857143] ; [18.42857143 24.57142857],0
v4,1,0.388883,0.742432,[9 4] ; [24 19],[7.66071429 5.33928571] ; [25.33928571 17.66071429],0
a8,1,0.390818,0.736394,[ 1 12] ; [ 7 33],[ 1.96226415 11.03773585] ; [ 6.03773585 33.96226415],0
n2,1,0.420345,0.649351,[2 3] ; [12  8],[2.8 2.2] ; [11.2  8.8],0
s5,1,0.43254,0.615994,[ 3 10] ; [ 6 37],[ 2.08928571 10.91071429] ; [ 6.91071429 36.08928571],0
p4,1,0.462033,0.540966,[6 7] ; [15 28],[4.875 8.125] ; [16.125 26.875],0
s6,1,0.468303,0.525977,[5 8] ; [12 31],[3.94642857 9.05357143] ; [13.05357143 29.94642857],0
b3,1,0.538394,0.378524,[4 6] ; [ 7 17],[3.23529412 6.76470588] ; [ 7.76470588 16.23529412],0
b2,1,0.538394,0.378524,[4 6] ; [ 7 17],[3.23529412 6.76470588] ; [ 7.76470588 16.23529412],0
b1,1,0.562833,0.334822,[7 6] ; [27 16],[7.89285714 5.10714286] ; [26.10714286 16.89285714],0
n6,1,0.608915,0.261758,[8 5] ; [23 20],[7.19642857 5.80357143] ; [23.80357143 19.19642857],0
s8,1,0.659207,0.194489,[ 2 11] ; [ 9 34],[ 2.55357143 10.44642857] ; [ 8.44642857 34.55357143],0
u1,1,0.669587,0.182086,[ 1 12] ; [ 2 41],[ 0.69642857 12.30357143] ; [ 2.30357143 40.69642857],0
u2,1,0.712547,0.135747,[2 1] ; [15 12],[1.7 1.3] ; [15.3 11.7],0
u3,1,0.783131,0.075758,[1 2] ; [ 7 20],[0.8 2.2] ; [ 7.2 19.8],0
p10,1,0.808466,0.058761,[7 6] ; [21 21],[6.61818182 6.38181818] ; [21.38181818 20.61818182],0
r1,1,0.8135,0.055655,[5 8] ; [15 28],[4.64285714 8.35714286] ; [15.35714286 27.64285714],0
p9,1,0.822902,0.050093,[7 5] ; [26 16],[7.33333333 4.66666667] ; [25.66666667 16.33333333],0
p11,1,0.827208,0.047648,[8 5] ; [25 18],[7.66071429 5.33928571] ; [25.33928571 17.66071429],0
p6,1,0.837762,0.041925,[ 2 10] ; [ 6 36],[ 1.77777778 10.22222222] ; [ 6.22222222 35.77777778],0
r3,1,0.8572,0.032378,[8 5] ; [27 15],[8.27272727 4.72727273] ; [26.72727273 15.27272727],0
p8,1,0.863298,0.029645,[4 9] ; [14 28],[4.25454545 8.74545455] ; [13.74545455 28.25454545],0
s7,1,0.864462,0.029138,[2 8] ; [ 9 31],[2.2 7.8] ; [ 8.8 31.2],0
b5,1,0.865272,0.028787,[7 6] ; [22 21],[6.73214286 6.26785714] ; [22.26785714 20.73214286],0
s3,1,0.913052,0.011922,[ 2 11] ; [ 7 35],[ 2.12727273 10.87272727] ; [ 6.87272727 35.12727273],0
p2,1,0.944642,0.004821,[8 5] ; [26 17],[7.89285714 5.10714286] ; [26.10714286 16.89285714],0
b4,1,0.944642,0.004821,[8 5] ; [26 17],[7.89285714 5.10714286] ; [26.10714286 16.89285714],0
