Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.002303,9.291101,[20 50] ; [6 1],[23.63636364 46.36363636] ; [2.36363636 4.63636364],0
b3,1,0.002303,9.291101,[20 50] ; [6 1],[23.63636364 46.36363636] ; [2.36363636 4.63636364],0
v3,1,0.006992,7.275116,[38 87] ; [5 1],[41.03053435 83.96946565] ; [1.96946565 4.03053435],0
p5,1,0.008355,6.955736,[  7 119] ; [2 4],[  8.59090909 117.40909091] ; [0.40909091 5.59090909],0
a8,1,0.01745,5.650513,[ 13 108] ; [2 2],[ 14.52 106.48] ; [0.48 3.52],0
a2,1,0.021529,5.283442,[ 26 103] ; [4 3],[ 28.45588235 100.54411765] ; [1.54411765 5.45588235],0
v2,1,0.023064,5.163661,[47 80] ; [5 1],[49.65413534 77.34586466] ; [2.34586466 3.65413534],0
u1,1,0.023602,5.123622,[ 16 113] ; [3 4],[ 18.02205882 110.97794118] ; [0.97794118 6.02205882],0
s8,1,0.033709,4.509423,[41 86] ; [5 2],[43.59701493 83.40298507] ; [2.40298507 4.59701493],0
d1,1,0.035391,4.426234,[58 71] ; [6 1],[60.70588235 68.29411765] ; [3.29411765 3.70588235],0
p8,1,0.035395,4.426018,[28 98] ; [4 3],[30.31578947 95.68421053] ; [1.68421053 5.31578947],0
p10,1,0.052135,3.771429,[60 65] ; [6 1],[62.5 62.5] ; [3.5 3.5],0
d2,1,0.081289,3.038935,[66 61] ; [6 1],[68.23880597 58.76119403] ; [3.76119403 3.23880597],0
a1,1,0.128194,2.314235,[ 13 116] ; [2 5],[ 14.22794118 114.77205882] ; [0.77205882 6.22794118],0
p12,1,0.130175,2.290413,[  4 123] ; [1 6],[  4.73880597 122.26119403] ; [0.26119403 6.73880597],0
p4,1,0.145218,2.121779,[55 72] ; [5 2],[56.86567164 70.13432836] ; [3.13432836 3.86567164],0
a4,1,0.151917,2.052899,[56 72] ; [5 2],[57.83703704 70.16296296] ; [3.16296296 3.83703704],0
s7,1,0.169212,1.889906,[51 63] ; [5 2],[52.76033058 61.23966942] ; [3.23966942 3.76033058],0
p2,1,0.171475,1.87,[76 51] ; [6 1],[77.71641791 49.28358209] ; [4.28358209 2.71641791],0
p7,1,0.176374,1.827919,[57 69] ; [5 2],[58.73684211 67.26315789] ; [3.26315789 3.73684211],0
s3,1,0.220512,1.501039,[61 67] ; [5 2],[62.57777778 65.42222222] ; [3.42222222 3.57777778],0
n4,1,0.232382,1.426222,[82 47] ; [6 1],[83.47058824 45.52941176] ; [4.52941176 2.47058824],0
r1,1,0.277676,1.178429,[85 44] ; [6 1],[86.31617647 42.68382353] ; [4.68382353 2.31617647],0
a6,1,0.287065,1.133334,[65 63] ; [5 2],[66.37037037 61.62962963] ; [3.62962963 3.37037037],0
p6,1,0.314146,1.013165,[32 93] ; [3 4],[33.14393939 91.85606061] ; [1.85606061 5.14393939],0
p3,1,0.373803,0.790983,[51 76] ; [4 3],[52.12686567 74.87313433] ; [2.87313433 4.12686567],0
b4,1,0.439428,0.597776,[73 56] ; [5 2],[73.98529412 55.01470588] ; [4.01470588 2.98529412],0
d5,1,0.488648,0.479502,[94 33] ; [6 1],[94.7761194 32.2238806] ; [5.2238806 1.7761194],0
s2,1,0.540808,0.374044,[58 70] ; [4 3],[58.78518519 69.21481481] ; [3.21481481 3.78518519],0
a7,1,0.578626,0.308461,[78 50] ; [5 2],[78.6962963 49.3037037] ; [4.3037037 2.6962963],0
b5,1,0.616361,0.251015,[80 49] ; [5 2],[80.625 48.375] ; [4.375 2.625],0
s5,1,0.827965,0.047224,[40 83] ; [2 5],[39.73846154 83.26153846] ; [2.26153846 4.73846154],0
