Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.115961,2.471046,[ 17 120] ; [1 1],[ 17.74100719 119.25899281] ; [0.25899281 1.74100719],0
d4,1,0.485427,0.486647,[107  41] ; [1 1],[106.56  41.44] ; [1.44 0.56],0
b2,1,0.555409,0.347717,[29 66] ; [1 1],[29.3814433 65.6185567] ; [0.6185567 1.3814433],0
b3,1,0.555409,0.347717,[29 66] ; [1 1],[29.3814433 65.6185567] ; [0.6185567 1.3814433],0
d5,1,0.572637,0.318291,[103  47] ; [1 1],[102.63157895  47.36842105] ; [1.36842105 0.63157895],0
p9,1,0.647039,0.209654,[50 95] ; [1 1],[50.30612245 94.69387755] ; [0.69387755 1.30612245],0
a6,1,0.759164,0.09399,[91 59] ; [1 1],[90.78947368 59.21052632] ; [1.21052632 0.78947368],0
v2,1,0.762001,0.091721,[58 89] ; [1 1],[58.20805369 88.79194631] ; [0.79194631 1.20805369],0
u3,1,0.835664,0.043033,[26 35] ; [1 1],[26.14285714 34.85714286] ; [0.85714286 1.14285714],0
a4,1,0.856703,0.032607,[65 84] ; [1 1],[65.12582781 83.87417219] ; [0.87417219 1.12582781],0
a5,1,0.858598,0.031741,[85 66] ; [1 1],[84.87581699 66.12418301] ; [1.12418301 0.87581699],0
b1,1,0.873545,0.025331,[67 84] ; [1 1],[67.11111111 83.88888889] ; [0.88888889 1.11111111],0
u2,1,0.888836,0.019538,[27 33] ; [1 1],[27.09677419 32.90322581] ; [0.90322581 1.09677419],0
p2,1,0.903379,0.014737,[82 69] ; [1 1],[81.91503268 69.08496732] ; [1.08496732 0.91503268],0
d1,1,0.918271,0.010529,[70 81] ; [1 1],[70.07189542 80.92810458] ; [0.92810458 1.07189542],0
p11,1,0.977727,0.000779,[77 74] ; [1 1],[76.98039216 74.01960784] ; [1.01960784 0.98039216],0
