Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.000102,15.10704,[  3 100] ; [3 6],[ 5.51785714 97.48214286] ; [0.48214286 8.51785714],1
s8,1,0.000282,13.186894,[30 73] ; [8 1],[34.94642857 68.05357143] ; [3.05357143 5.94642857],1
p5,1,0.000431,12.394153,[  4 100] ; [3 6],[ 6.44247788 97.55752212] ; [0.55752212 8.44247788],1
s2,1,0.000987,10.852312,[34 68] ; [8 1],[38.59459459 63.40540541] ; [3.40540541 5.59459459],1
a2,1,0.001924,9.620798,[15 89] ; [5 4],[18.40707965 85.59292035] ; [1.59292035 7.40707965],0
b3,1,0.005357,7.754783,[21 48] ; [7 2],[24.76923077 44.23076923] ; [3.23076923 5.76923077],0
b2,1,0.005357,7.754783,[21 48] ; [7 2],[24.76923077 44.23076923] ; [3.23076923 5.76923077],0
s7,1,0.006067,7.530361,[32 68] ; [7 2],[35.77981651 64.22018349] ; [3.22018349 5.77981651],0
s3,1,0.008372,6.95222,[44 58] ; [8 1],[47.78378378 54.21621622] ; [4.21621622 4.78378378],0
u1,1,0.010121,6.6134,[13 91] ; [4 5],[15.6460177 88.3539823] ; [1.3539823 7.6460177],0
p3,1,0.015781,5.82711,[29 75] ; [6 3],[32.21238938 71.78761062] ; [2.78761062 6.21238938],0
d2,1,0.020185,5.395848,[50 53] ; [8 1],[53.33928571 49.66071429] ; [4.66071429 4.33928571],0
a4,1,0.029885,4.715879,[42 62] ; [7 2],[45.09734513 58.90265487] ; [3.90265487 5.09734513],0
n5,1,0.04184,4.141658,[56 48] ; [8 1],[58.90265487 45.09734513] ; [5.09734513 3.90265487],0
v3,1,0.045948,3.983496,[29 74] ; [4 2],[31.18348624 71.81651376] ; [1.81651376 4.18348624],0
s6,1,0.082218,3.020496,[49 54] ; [7 2],[51.5 51.5] ; [4.5 4.5],0
a3,1,0.082692,3.011184,[62 42] ; [8 1],[64.42477876 39.57522124] ; [5.57522124 3.42477876],0
v1,1,0.094024,2.804087,[40 62] ; [5 2],[42.11009174 59.88990826] ; [2.88990826 4.11009174],0
n2,1,0.106795,2.601017,[26  8] ; [1 2],[24.81081081  9.18918919] ; [2.18918919 0.81081081],0
p4,1,0.11165,2.530703,[41 63] ; [6 3],[43.25663717 60.74336283] ; [3.74336283 5.25663717],0
n3,1,0.13335,2.25307,[26  9] ; [1 2],[24.86842105 10.13157895] ; [2.13157895 0.86842105],0
n4,1,0.163779,1.938984,[69 35] ; [8 1],[70.86725664 33.13274336] ; [6.13274336 2.86725664],0
d5,1,0.179177,1.804441,[70 34] ; [8 1],[71.78761062 32.21238938] ; [6.21238938 2.78761062],0
n1,1,0.186379,1.746013,[10 24] ; [2 1],[11.02702703 22.97297297] ; [0.97297297 2.02702703],0
a5,1,0.200046,1.642035,[58 46] ; [7 2],[59.82300885 44.17699115] ; [5.17699115 3.82300885],0
v2,1,0.202404,1.624944,[47 54] ; [5 2],[48.62962963 52.37037037] ; [3.37037037 3.62962963],0
p8,1,0.22732,1.457553,[36 66] ; [5 4],[37.67567568 64.32432432] ; [3.32432432 5.67567568],0
b4,1,0.234109,1.415723,[67 37] ; [4 5],[65.34513274 38.65486726] ; [5.65486726 3.34513274],0
p2,1,0.263033,1.252724,[76 28] ; [5 4],[74.54867257 29.45132743] ; [6.45132743 2.54867257],0
a6,1,0.283715,1.149208,[62 42] ; [7 2],[63.50442478 40.49557522] ; [5.49557522 3.50442478],0
n6,1,0.291131,1.114384,[75 28] ; [8 1],[76.33035714 26.66964286] ; [6.66964286 2.33035714],0
r1,1,0.29746,1.085547,[76 28] ; [8 1],[77.30973451 26.69026549] ; [6.69026549 2.30973451],0
s1,1,0.318819,0.993785,[ 4 98] ; [1 8],[ 4.59459459 97.40540541] ; [0.40540541 8.59459459],0
p6,1,0.384443,0.756446,[31 71] ; [4 5],[32.16216216 69.83783784] ; [2.83783784 6.16216216],0
a1,1,0.418475,0.654593,[ 5 99] ; [1 8],[ 5.52212389 98.47787611] ; [0.47787611 8.52212389],0
p1,1,0.429721,0.623576,[ 5 97] ; [1 8],[ 5.51351351 96.48648649] ; [0.48648649 8.51351351],0
d3,1,0.600255,0.274612,[60 44] ; [6 3],[60.74336283 43.25663717] ; [5.25663717 3.74336283],0
a7,1,0.662262,0.190787,[61 42] ; [6 3],[61.61607143 41.38392857] ; [5.38392857 3.61607143],0
a8,1,0.749807,0.101693,[14 79] ; [1 8],[13.67647059 79.32352941] ; [1.32352941 7.67647059],0
b5,1,0.761136,0.09241,[64 40] ; [6 3],[64.42477876 39.57522124] ; [5.57522124 3.42477876],0
s5,1,0.785142,0.074324,[24 76] ; [2 5],[24.29906542 75.70093458] ; [1.70093458 5.29906542],0
s4,1,0.895477,0.01726,[13 90] ; [1 8],[12.875 90.125] ; [1.125 7.875],0
v4,1,0.9602,0.00249,[93 11] ; [8 1],[92.95575221 11.04424779] ; [8.04424779 0.95575221],0
p7,1,0.978896,0.0007,[51 52] ; [4 4],[51.03603604 51.96396396] ; [3.96396396 4.03603604],0
