Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.6e-05,17.698444,[27  7] ; [13 29],[17.89473684 16.10526316] ; [22.10526316 19.89473684],1
p10,1,0.030599,4.675325,[24  8] ; [20 20],[19.55555556 12.44444444] ; [24.44444444 15.55555556],0
p9,1,0.033105,4.540327,[28  5] ; [25 15],[23.95890411  9.04109589] ; [29.04109589 10.95890411],0
p7,1,0.037601,4.322985,[19 12] ; [15 26],[14.63888889 16.36111111] ; [19.36111111 21.63888889],0
a8,1,0.057467,3.609013,[ 5 27] ; [ 1 36],[ 2.7826087 29.2173913] ; [ 3.2173913 33.7826087],0
a3,1,0.079887,3.067205,[28  6] ; [27 15],[24.60526316  9.39473684] ; [30.39473684 11.60526316],0
p4,1,0.084509,2.975977,[17 16] ; [13 28],[13.37837838 19.62162162] ; [16.62162162 24.37837838],0
r2,1,0.100518,2.697303,[31  2] ; [34  8],[28.6  4.4] ; [36.4  5.6],0
p5,1,0.113566,2.503887,[ 4 30] ; [ 1 39],[ 2.2972973 31.7027027] ; [ 2.7027027 37.2972973],0
b1,1,0.121304,2.400401,[23 11] ; [21 21],[19.68421053 14.31578947] ; [24.31578947 17.68421053],0
v2,1,0.125385,2.348726,[22 11] ; [19 20],[18.79166667 14.20833333] ; [22.20833333 16.79166667],0
p1,1,0.147956,2.093194,[ 2 32] ; [ 7 35],[ 4.02631579 29.97368421] ; [ 4.97368421 37.02631579],0
b2,1,0.190137,1.716559,[ 6 15] ; [11 12],[ 8.11363636 12.88636364] ; [ 8.88636364 14.11363636],0
b3,1,0.190137,1.716559,[ 6 15] ; [11 12],[ 8.11363636 12.88636364] ; [ 8.88636364 14.11363636],0
a1,1,0.249753,1.324685,[ 1 33] ; [ 4 38],[ 2.23684211 31.76315789] ; [ 2.76315789 39.23684211],0
p6,1,0.291701,1.111755,[10 21] ; [ 8 30],[ 8.08695652 22.91304348] ; [ 9.91304348 28.08695652],0
p2,1,0.312248,1.021144,[26  7] ; [28 13],[24.08108108  8.91891892] ; [29.91891892 11.08108108],0
d2,1,0.335893,0.926043,[15 19] ; [14 28],[12.97368421 21.02631579] ; [16.02631579 25.97368421],0
b5,1,0.348596,0.878561,[23 11] ; [24 18],[21.02631579 12.97368421] ; [25.97368421 16.02631579],0
d1,1,0.381337,0.766387,[18 16] ; [18 24],[16.10526316 17.89473684] ; [19.89473684 22.10526316],0
n3,1,0.400659,0.706347,[8 2] ; [11  6],[7.03703704 2.96296296] ; [11.96296296  5.03703704],0
p8,1,0.402425,0.701067,[14 18] ; [14 27],[12.2739726 19.7260274] ; [15.7260274 25.2739726],0
b4,1,0.406388,0.689342,[17 17] ; [25 17],[18.78947368 15.21052632] ; [23.21052632 18.78947368],0
d5,1,0.424198,0.638655,[27  7] ; [30 12],[25.5  8.5] ; [31.5 10.5],0
a2,1,0.468139,0.526364,[ 7 27] ; [ 6 36],[ 5.81578947 28.18421053] ; [ 7.18421053 34.81578947],0
v4,1,0.468337,0.525897,[30  3] ; [35  6],[28.98648649  4.01351351] ; [36.01351351  4.98648649],0
s2,1,0.487952,0.48104,[16 17] ; [17 25],[14.52 18.48] ; [18.48 23.52],0
u2,1,0.573138,0.31746,[4 2] ; [11  3],[4.5 1.5] ; [10.5  3.5],0
p3,1,0.593858,0.28436,[12 21] ; [17 23],[13.10958904 19.89041096] ; [15.89041096 24.10958904],0
d3,1,0.625972,0.237563,[20 14] ; [27 15],[21.02631579 12.97368421] ; [25.97368421 16.02631579],0
s8,1,0.625972,0.237563,[14 20] ; [15 27],[12.97368421 21.02631579] ; [16.02631579 25.97368421],0
u3,1,0.626928,0.23625,[5 1] ; [11  4],[4.57142857 1.42857143] ; [11.42857143  3.57142857],0
d4,1,0.633699,0.227077,[26  8] ; [34  8],[26.84210526  7.15789474] ; [33.15789474  8.84210526],0
a4,1,0.643788,0.213822,[12 22] ; [17 25],[12.97368421 21.02631579] ; [16.02631579 25.97368421],0
p11,1,0.643788,0.213822,[22 12] ; [25 17],[21.02631579 12.97368421] ; [25.97368421 16.02631579],0
s6,1,0.653727,0.201233,[20 14] ; [22 19],[19.04 14.96] ; [22.96 18.04],0
s5,1,0.685684,0.163797,[ 9 25] ; [12 27],[ 9.78082192 24.21917808] ; [11.21917808 27.78082192],0
u1,1,0.787033,0.072989,[ 3 31] ; [ 3 39],[ 2.68421053 31.31578947] ; [ 3.31578947 38.68421053],0
s7,1,0.800836,0.063638,[14 19] ; [15 23],[13.47887324 19.52112676] ; [15.52112676 22.47887324],0
a5,1,0.801264,0.063359,[22 12] ; [26 16],[21.47368421 12.52631579] ; [26.52631579 15.47368421],0
r4,1,0.838631,0.041471,[25  9] ; [30 12],[24.60526316  9.39473684] ; [30.39473684 11.60526316],0
r3,1,0.858984,0.031566,[28  5] ; [35  7],[27.72  5.28] ; [35.28  6.72],0
p12,1,0.863361,0.029617,[ 2 31] ; [ 2 37],[ 1.83333333 31.16666667] ; [ 2.16666667 36.83333333],0
n1,1,0.882577,0.021816,[5 5] ; [8 9],[4.81481481 5.18518519] ; [8.18518519 8.81481481],0
a7,1,0.882694,0.021772,[20 14] ; [24 18],[19.68421053 14.31578947] ; [24.31578947 17.68421053],0
a6,1,0.922188,0.009541,[19 15] ; [23 19],[18.78947368 15.21052632] ; [23.21052632 18.78947368],0
s4,1,0.958715,0.00268,[ 5 29] ; [ 6 36],[ 4.92105263 29.07894737] ; [ 6.07894737 35.92105263],0
v3,1,0.96623,0.001792,[11 20] ; [14 26],[10.91549296 20.08450704] ; [14.08450704 25.91549296],0
r1,1,0.978002,0.00076,[25  9] ; [31 11],[25.05263158  8.94736842] ; [30.94736842 11.05263158],0
s3,1,1.0,0.0,[16 16] ; [21 21],[16. 16.] ; [21. 21.],0
