Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,8e-05,15.564706,[16  2] ; [1 8],[11.33333333  6.66666667] ; [5.66666667 3.33333333],1
n5,1,0.000636,11.667857,[17  1] ; [3 6],[13.33333333  4.66666667] ; [6.66666667 2.33333333],1
p4,1,0.005613,7.670455,[14  4] ; [2 7],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
p7,1,0.013711,6.075,[13  5] ; [2 7],[10.  8.] ; [5. 4.],0
p11,1,0.014196,6.013636,[17  1] ; [5 4],[14.66666667  3.33333333] ; [7.33333333 1.66666667],0
p2,1,0.036966,4.351974,[15  3] ; [4 5],[12.66666667  5.33333333] ; [6.33333333 2.66666667],0
r1,1,0.04854,3.891176,[9 9] ; [1 8],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
p6,1,0.069676,3.290625,[9 9] ; [1 7],[ 6.92307692 11.07692308] ; [3.07692308 4.92307692],0
v3,1,0.083265,3.0,[ 8 10] ; [1 8],[ 6. 12.] ; [3. 6.],0
p8,1,0.100348,2.7,[10  8] ; [2 7],[ 8. 10.] ; [4. 5.],0
n6,1,0.158834,1.985294,[13  5] ; [4 5],[11.33333333  6.66666667] ; [5.66666667 3.33333333],0
r3,1,0.161125,1.963636,[16  2] ; [6 3],[14.66666667  3.33333333] ; [7.33333333 1.66666667],0
b4,1,0.275973,1.186813,[ 8 10] ; [6 3],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
a6,1,0.275973,1.186813,[ 8 10] ; [6 3],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
n3,1,0.303052,1.060714,[3 3] ; [4 1],[3.81818182 2.18181818] ; [3.18181818 1.81818182],0
s7,1,0.317311,1.0,[ 5 11] ; [1 7],[ 4. 12.] ; [2. 6.],0
s4,1,0.326109,0.964286,[ 5 13] ; [1 8],[ 4. 14.] ; [2. 7.],0
d5,1,0.326109,0.964286,[13  5] ; [8 1],[14.  4.] ; [7. 2.],0
s2,1,0.386476,0.75,[ 7 11] ; [2 7],[ 6. 12.] ; [3. 6.],0
b1,1,0.411314,0.675,[9 9] ; [6 3],[10.  8.] ; [5. 4.],0
u3,1,0.490153,0.47619,[4 3] ; [1 2],[3.5 3.5] ; [1.5 1.5],0
n4,1,0.534561,0.385714,[14  4] ; [6 3],[13.33333333  4.66666667] ; [6.66666667 2.33333333],0
d3,1,0.573025,0.317647,[12  6] ; [5 4],[11.33333333  6.66666667] ; [5.66666667 3.33333333],0
a7,1,0.579639,0.306818,[10  8] ; [6 3],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
a2,1,0.603332,0.27,[ 1 17] ; [1 8],[ 1.33333333 16.66666667] ; [0.66666667 8.33333333],0
p1,1,0.603332,0.27,[ 1 17] ; [1 8],[ 1.33333333 16.66666667] ; [0.66666667 8.33333333],0
s1,1,0.603332,0.27,[ 1 17] ; [1 8],[ 1.33333333 16.66666667] ; [0.66666667 8.33333333],0
p12,1,0.701671,0.146739,[ 3 15] ; [1 8],[ 2.66666667 15.33333333] ; [1.33333333 7.66666667],0
d4,1,0.726095,0.122727,[15  3] ; [7 2],[14.66666667  3.33333333] ; [7.33333333 1.66666667],0
s3,1,0.765688,0.088816,[ 5 13] ; [3 6],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
v4,1,0.765688,0.088816,[13  5] ; [6 3],[12.66666667  5.33333333] ; [6.33333333 2.66666667],0
a4,1,0.778096,0.079412,[ 7 11] ; [3 6],[ 6.66666667 11.33333333] ; [3.33333333 5.66666667],0
a3,1,0.778096,0.079412,[11  7] ; [6 3],[11.33333333  6.66666667] ; [5.66666667 3.33333333],0
s6,1,0.781814,0.076705,[11  7] ; [5 4],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
v1,1,0.781814,0.076705,[11  7] ; [5 4],[10.66666667  7.33333333] ; [5.33333333 3.66666667],0
d1,1,0.785351,0.074176,[9 9] ; [4 5],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
a5,1,0.785351,0.074176,[9 9] ; [5 4],[9.33333333 8.66666667] ; [4.66666667 4.33333333],0
d2,1,0.785351,0.074176,[9 9] ; [4 5],[8.66666667 9.33333333] ; [4.33333333 4.66666667],0
n2,1,0.818971,0.052381,[4 2] ; [3 2],[3.81818182 2.18181818] ; [3.18181818 1.81818182],0
n1,1,0.886508,0.02037,[1 5] ; [1 4],[1.09090909 4.90909091] ; [0.90909091 4.09090909],0
b2,1,0.889243,0.019394,[3 7] ; [2 4],[3.125 6.875] ; [1.875 4.125],0
b3,1,0.889243,0.019394,[3 7] ; [2 4],[3.125 6.875] ; [1.875 4.125],0
b5,1,1.0,0.0,[10  8] ; [5 4],[10.  8.] ; [5. 4.],0
