Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.001031,10.770976,[21 12] ; [ 1 11],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
d1,1,0.021597,5.278003,[12 21] ; [9 3],[15.4 17.6] ; [5.6 6.4],0
v4,1,0.026445,4.926686,[25  5] ; [6 6],[22.14285714  7.85714286] ; [8.85714286 3.14285714],0
s2,1,0.045282,4.008097,[22 11] ; [4 8],[19.06666667 13.93333333] ; [6.93333333 5.06666667],0
p7,1,0.06614,3.376297,[19 13] ; [3 8],[16.37209302 15.62790698] ; [5.62790698 5.37209302],0
d2,1,0.07044,3.272727,[12 21] ; [8 4],[14.66666667 18.33333333] ; [5.33333333 6.66666667],0
a6,1,0.078947,3.086445,[15 18] ; [9 3],[17.6 15.4] ; [6.4 5.6],0
s8,1,0.10487,2.62987,[20 13] ; [4 8],[17.6 15.4] ; [6.4 5.6],0
p3,1,0.110434,2.548002,[14 19] ; [ 2 10],[11.73333333 21.26666667] ; [4.26666667 7.73333333],0
p9,1,0.117942,2.444444,[26  7] ; [6 5],[24.  9.] ; [8. 3.],0
p6,1,0.135397,2.229502,[13 19] ; [ 2 10],[10.90909091 21.09090909] ; [4.09090909 7.90909091],0
p8,1,0.135955,2.223158,[16 16] ; [3 9],[13.81818182 18.18181818] ; [5.18181818 6.81818182],0
s6,1,0.149996,2.072293,[21 11] ; [5 7],[18.90909091 13.09090909] ; [7.09090909 4.90909091],0
b4,1,0.15025,2.069709,[14 19] ; [8 4],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
a2,1,0.165038,1.927448,[ 3 30] ; [3 9],[ 4.4 28.6] ; [ 1.6 10.4],0
p11,1,0.170022,1.882748,[26  7] ; [7 5],[24.2  8.8] ; [8.8 3.2],0
p10,1,0.18924,1.723524,[25  7] ; [7 5],[23.27272727  8.72727273] ; [8.72727273 3.27272727],0
s4,1,0.206898,1.593004,[12 21] ; [ 2 10],[10.26666667 22.73333333] ; [3.73333333 8.26666667],0
n1,1,0.239113,1.385814,[4 9] ; [6 5],[5.41666667 7.58333333] ; [4.58333333 6.41666667],0
u1,1,0.268913,1.222284,[ 2 31] ; [ 2 10],[ 2.93333333 30.06666667] ; [ 1.06666667 10.93333333],0
a3,1,0.275349,1.189904,[22 11] ; [10  2],[23.46666667  9.53333333] ; [8.53333333 3.46666667],0
d3,1,0.279642,1.168831,[16 17] ; [8 4],[17.6 15.4] ; [6.4 5.6],0
s5,1,0.344788,0.892546,[10 20] ; [2 9],[ 8.7804878 21.2195122] ; [3.2195122 7.7804878],0
a5,1,0.372382,0.795699,[20 13] ; [9 3],[21.26666667 11.73333333] ; [7.73333333 4.26666667],0
r3,1,0.390399,0.737698,[23  9] ; [7 5],[21.81818182 10.18181818] ; [8.18181818 3.81818182],0
a7,1,0.444699,0.584127,[15 18] ; [7 5],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
n5,1,0.468541,0.525415,[24  7] ; [8 4],[23.06976744  7.93023256] ; [8.93023256 3.06976744],0
n6,1,0.468717,0.525,[21  9] ; [7 5],[20. 10.] ; [8. 4.],0
r2,1,0.481582,0.495278,[17 11] ; [8 3],[17.94871795 10.05128205] ; [7.05128205 3.94871795],0
s3,1,0.516211,0.421456,[22 10] ; [7 5],[21.09090909 10.90909091] ; [7.90909091 4.09090909],0
r1,1,0.516211,0.421456,[10 22] ; [5 7],[10.90909091 21.09090909] ; [4.09090909 7.90909091],0
n3,1,0.580013,0.306213,[5 8] ; [5 5],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
a4,1,0.605552,0.266703,[11 22] ; [5 7],[11.73333333 21.26666667] ; [4.26666667 7.73333333],0
v2,1,0.651077,0.204545,[14 19] ; [6 6],[14.66666667 18.33333333] ; [5.33333333 6.66666667],0
p5,1,0.691615,0.157343,[ 4 29] ; [ 2 10],[ 4.4 28.6] ; [ 1.6 10.4],0
n4,1,0.72853,0.120465,[23 10] ; [9 3],[23.46666667  9.53333333] ; [8.53333333 3.46666667],0
v1,1,0.75344,0.098663,[12 18] ; [5 6],[12.43902439 17.56097561] ; [4.56097561 6.43902439],0
n2,1,0.768589,0.086566,[10  3] ; [9 2],[10.29166667  2.70833333] ; [8.70833333 2.29166667],0
s1,1,0.786944,0.073052,[ 2 31] ; [ 1 11],[ 2.2 30.8] ; [ 0.8 11.2],0
a8,1,0.807097,0.059621,[ 2 30] ; [ 1 11],[ 2.18181818 29.81818182] ; [ 0.81818182 11.18181818],0
b5,1,0.821098,0.051136,[18 15] ; [7 5],[18.33333333 14.66666667] ; [6.66666667 5.33333333],0
b2,1,0.841219,0.040134,[10 17] ; [3 6],[ 9.75 17.25] ; [3.25 5.75],0
b3,1,0.841219,0.040134,[10 17] ; [3 6],[ 9.75 17.25] ; [3.25 5.75],0
v3,1,0.878825,0.023244,[ 9 24] ; [3 9],[ 8.8 24.2] ; [3.2 8.8],0
d5,1,0.878825,0.023244,[24  9] ; [9 3],[24.2  8.8] ; [8.8 3.2],0
d4,1,0.906415,0.013821,[27  6] ; [10  2],[27.13333333  5.86666667] ; [9.86666667 2.13333333],0
b1,1,0.928354,0.008085,[16 17] ; [6 6],[16.13333333 16.86666667] ; [5.86666667 6.13333333],0
