Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.029364,4.746171,[2 1] ; [ 8 42],[0.56603774 2.43396226] ; [ 9.43396226 40.56603774],0
a4,1,0.339207,0.913425,[2 1] ; [19 30],[1.21153846 1.78846154] ; [19.78846154 29.21153846],0
v1,1,0.339207,0.913425,[2 1] ; [19 30],[1.21153846 1.78846154] ; [19.78846154 29.21153846],0
s6,1,0.362581,0.828935,[2 1] ; [20 30],[1.24528302 1.75471698] ; [20.75471698 29.24528302],0
v2,1,0.396329,0.719436,[2 1] ; [20 28],[1.29411765 1.70588235] ; [20.70588235 27.29411765],0
s8,1,0.437373,0.603165,[1 2] ; [ 8 42],[0.50943396 2.49056604] ; [ 8.49056604 41.50943396],0
n1,1,0.490279,0.475913,[2 1] ; [10 12],[1.44 1.56] ; [10.56 11.44],0
b4,1,0.574885,0.314577,[2 1] ; [25 25],[1.52830189 1.47169811] ; [25.47169811 24.52830189],0
s3,1,0.57533,0.313846,[1 2] ; [24 24],[1.47058824 1.52941176] ; [23.52941176 24.47058824],0
n5,1,0.57533,0.313846,[2 1] ; [24 24],[1.52941176 1.47058824] ; [24.47058824 23.52941176],0
n3,1,0.642271,0.215784,[2 1] ; [11 10],[1.625 1.375] ; [11.375  9.625],0
v4,1,0.664032,0.188662,[2 1] ; [38 11],[2.30769231 0.69230769] ; [37.69230769 11.30769231],0
n6,1,0.672939,0.178183,[2 1] ; [26 22],[1.64705882 1.35294118] ; [26.35294118 21.64705882],0
a2,1,0.715158,0.133179,[1 2] ; [12 38],[0.73584906 2.26415094] ; [12.26415094 37.73584906],0
n2,1,0.737989,0.111902,[2 1] ; [13 10],[1.73076923 1.26923077] ; [13.26923077  9.73076923],0
b2,1,0.840573,0.040466,[1 2] ; [11 17],[1.16129032 1.83870968] ; [10.83870968 17.16129032],0
b3,1,0.840573,0.040466,[1 2] ; [11 17],[1.16129032 1.83870968] ; [10.83870968 17.16129032],0
v3,1,0.850537,0.035507,[1 2] ; [13 33],[0.85714286 2.14285714] ; [13.14285714 32.85714286],0
s7,1,0.859726,0.031231,[1 2] ; [14 35],[0.86538462 2.13461538] ; [14.13461538 34.86538462],0
a3,1,0.863628,0.029501,[2 1] ; [29 18],[1.86 1.14] ; [29.14 17.86],0
a5,1,0.925468,0.008751,[2 1] ; [32 18],[1.9245283 1.0754717] ; [32.0754717 17.9245283],0
a7,1,0.980547,0.000595,[2 1] ; [33 16],[2.01923077 0.98076923] ; [32.98076923 16.01923077],0
a6,1,0.981106,0.000561,[2 1] ; [33 17],[1.98113208 1.01886792] ; [33.01886792 16.98113208],0
s2,1,0.981106,0.000561,[1 2] ; [17 33],[1.01886792 1.98113208] ; [16.98113208 33.01886792],0
d3,1,0.981106,0.000561,[2 1] ; [33 17],[1.98113208 1.01886792] ; [33.01886792 16.98113208],0
