Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.157299,2.0,[7 2] ; [1 2],[6. 3.] ; [2. 1.],0
p2,1,0.197121,1.66358,[8 1] ; [1 1],[7.36363636 1.63636364] ; [1.63636364 0.36363636],0
a2,1,0.310494,1.028571,[3 6] ; [2 1],[3.75 5.25] ; [1.25 1.75],0
r1,1,0.386916,0.748611,[5 3] ; [1 2],[4.36363636 3.63636364] ; [1.63636364 1.36363636],0
s7,1,0.386916,0.748611,[5 3] ; [1 2],[4.36363636 3.63636364] ; [1.63636364 1.36363636],0
s3,1,0.490153,0.47619,[4 3] ; [1 2],[3.5 3.5] ; [1.5 1.5],0
r3,1,0.490153,0.47619,[4 3] ; [1 2],[3.5 3.5] ; [1.5 1.5],0
v2,1,0.621014,0.244444,[4 4] ; [1 2],[3.63636364 4.36363636] ; [1.36363636 1.63636364],0
n4,1,0.700311,0.148148,[7 2] ; [2 1],[6.75 2.25] ; [2.25 0.75],0
a5,1,0.700311,0.148148,[7 2] ; [2 1],[6.75 2.25] ; [2.25 0.75],0
a6,1,0.700311,0.148148,[7 2] ; [2 1],[6.75 2.25] ; [2.25 0.75],0
d3,1,0.700311,0.148148,[7 2] ; [2 1],[6.75 2.25] ; [2.25 0.75],0
n3,1,0.709388,0.138889,[2 1] ; [1 1],[1.8 1.2] ; [1.2 0.8],0
a4,1,0.735317,0.114286,[5 4] ; [2 1],[5.25 3.75] ; [1.75 1.25],0
s6,1,0.77816,0.079365,[3 4] ; [1 2],[2.8 4.2] ; [1.2 1.8],0
v1,1,0.77816,0.079365,[4 3] ; [2 1],[4.2 2.8] ; [1.8 1.2],0
b3,1,0.857714,0.032143,[4 3] ; [1 1],[3.88888889 3.11111111] ; [1.11111111 0.88888889],0
b2,1,0.857714,0.032143,[4 3] ; [1 1],[3.88888889 3.11111111] ; [1.11111111 0.88888889],0
v4,1,0.880303,0.022676,[5 2] ; [2 1],[4.9 2.1] ; [2.1 0.9],0
s8,1,0.898195,0.016369,[3 5] ; [1 2],[2.90909091 5.09090909] ; [1.09090909 1.90909091],0
d2,1,1.0,0.0,[6 3] ; [2 1],[6. 3.] ; [2. 1.],0
d1,1,1.0,0.0,[6 3] ; [2 1],[6. 3.] ; [2. 1.],0
a3,1,1.0,0.0,[6 3] ; [2 1],[6. 3.] ; [2. 1.],0
p4,1,1.0,0.0,[6 3] ; [2 1],[6. 3.] ; [2. 1.],0
p6,1,1.0,0.0,[4 4] ; [1 1],[4. 4.] ; [1. 1.],0
p8,1,1.0,0.0,[6 3] ; [2 1],[6. 3.] ; [2. 1.],0
