Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.004339,8.136176,[ 4 39] ; [2 1],[ 5.60869565 37.39130435] ; [0.39130435 2.60869565],0
v4,1,0.196042,1.67162,[39  4] ; [2 1],[38.32608696  4.67391304] ; [2.67391304 0.32608696],0
a4,1,0.356127,0.851504,[17 26] ; [2 1],[17.76086957 25.23913043] ; [1.23913043 1.76086957],0
a2,1,0.451163,0.567727,[ 7 36] ; [1 2],[ 7.47826087 35.52173913] ; [0.52173913 2.47826087],0
v1,1,0.499244,0.456542,[20 23] ; [2 1],[20.56521739 22.43478261] ; [1.43478261 1.56521739],0
n5,1,0.499244,0.456542,[20 23] ; [2 1],[20.56521739 22.43478261] ; [1.43478261 1.56521739],0
a7,1,0.550407,0.356589,[21 22] ; [2 1],[21.5 21.5] ; [1.5 1.5],0
s6,1,0.576905,0.311265,[21 21] ; [2 1],[21.46666667 20.53333333] ; [1.53333333 1.46666667],0
a3,1,0.603236,0.270143,[22 21] ; [2 1],[22.43478261 20.56521739] ; [1.56521739 1.43478261],0
v2,1,0.605104,0.267367,[21 20] ; [2 1],[21.43181818 19.56818182] ; [1.56818182 1.43181818],0
a6,1,0.657729,0.196294,[23 20] ; [2 1],[23.36956522 19.63043478] ; [1.63043478 1.36956522],0
n1,1,0.671373,0.18,[8 7] ; [2 1],[8.33333333 6.66666667] ; [1.66666667 1.33333333],0
d3,1,0.713906,0.134407,[24 19] ; [2 1],[24.30434783 18.69565217] ; [1.69565217 1.30434783],0
a5,1,0.771806,0.084108,[25 18] ; [2 1],[25.23913043 17.76086957] ; [1.76086957 1.23913043],0
s3,1,0.771806,0.084108,[18 25] ; [1 2],[17.76086957 25.23913043] ; [1.23913043 1.76086957],0
n2,1,0.813945,0.055385,[11  4] ; [2 1],[10.83333333  4.16666667] ; [2.16666667 0.83333333],0
n3,1,0.813945,0.055385,[11  4] ; [2 1],[10.83333333  4.16666667] ; [2.16666667 0.83333333],0
b4,1,0.831488,0.045281,[26 17] ; [2 1],[26.17391304 16.82608696] ; [1.82608696 1.17391304],0
s2,1,0.831488,0.045281,[17 26] ; [1 2],[16.82608696 26.17391304] ; [1.17391304 1.82608696],0
s7,1,0.881579,0.022191,[12 29] ; [1 2],[12.11363636 28.88636364] ; [0.88636364 2.11363636],0
n6,1,0.89303,0.018083,[27 16] ; [2 1],[27.10869565 15.89130435] ; [1.89130435 1.10869565],0
v3,1,0.910149,0.012735,[13 30] ; [1 2],[13.08695652 29.91304348] ; [0.91304348 2.08695652],0
b2,1,0.918512,0.010467,[ 7 16] ; [1 2],[ 7.07692308 15.92307692] ; [0.92307692 2.07692308],0
b3,1,0.918512,0.010467,[ 7 16] ; [1 2],[ 7.07692308 15.92307692] ; [0.92307692 2.07692308],0
s8,1,1.0,0.0,[14 28] ; [1 2],[14. 28.] ; [1. 2.],0
