Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4.8e-05,16.523059,[59  5] ; [39 24],[49.38582677 14.61417323] ; [48.61417323 14.38582677],1
p7,1,5.1e-05,16.398187,[36 30] ; [12 49],[24.94488189 41.05511811] ; [23.05511811 37.94488189],1
p11,1,5.4e-05,16.306424,[44 22] ; [20 44],[32.49230769 33.50769231] ; [31.50769231 32.49230769],1
r3,1,0.000309,13.016158,[58  7] ; [39 24],[49.2578125 15.7421875] ; [47.7421875 15.2578125],1
r4,1,0.00066,11.600025,[51 15] ; [31 33],[41.63076923 24.36923077] ; [40.36923077 23.63076923],1
p8,1,0.000792,11.258902,[24 42] ; [ 7 56],[15.86046512 50.13953488] ; [15.13953488 47.86046512],1
p4,1,0.003437,8.559688,[26 40] ; [10 52],[18.5625 47.4375] ; [17.4375 44.5625],0
p10,1,0.009808,6.669414,[22 43] ; [ 9 54],[15.7421875 49.2578125] ; [15.2578125 47.7421875],0
s3,1,0.011901,6.32549,[32 34] ; [17 46],[25.06976744 40.93023256] ; [23.93023256 39.06976744],0
p6,1,0.012155,6.288131,[16 50] ; [ 5 58],[10.74418605 55.25581395] ; [10.25581395 52.74418605],0
a1,1,0.025421,4.995003,[ 1 65] ; [ 7 57],[ 4.06153846 61.93846154] ; [ 3.93846154 60.06153846],0
d3,1,0.035768,4.40815,[43 23] ; [30 34],[37.06153846 28.93846154] ; [35.93846154 28.06153846],0
r1,1,0.037414,4.331452,[51 15] ; [38 25],[45.53488372 20.46511628] ; [43.46511628 19.53488372],0
s1,1,0.049339,3.863794,[ 1 63] ; [ 6 57],[ 3.52755906 60.47244094] ; [ 3.47244094 59.52755906],0
s2,1,0.051674,3.786284,[22 43] ; [12 52],[17.13178295 47.86821705] ; [16.86821705 47.13178295],0
a6,1,0.054355,3.701767,[43 23] ; [31 33],[37.56923077 28.43076923] ; [36.43076923 27.56923077],0
s8,1,0.060695,3.518289,[17 49] ; [ 8 55],[12.79069767 53.20930233] ; [12.20930233 50.79069767],0
