Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,40.8,[ 9 42] ; [63 22],[27. 24.] ; [45. 40.],1
p2,1,1e-06,24.953017,[33 18] ; [83  3],[43.18248175  7.81751825] ; [72.81751825 13.18248175],1
p7,1,6e-05,16.110462,[20 28] ; [65 20],[30.67669173 17.32330827] ; [54.32330827 30.67669173],1
p6,1,0.000282,13.189189,[ 9 40] ; [43 43],[18.87407407 30.12592593] ; [33.12592593 52.87407407],1
p8,1,0.002824,8.917613,[15 33] ; [50 36],[23.28358209 24.71641791] ; [41.71641791 44.28358209],0
n5,1,0.006055,7.533776,[29 21] ; [68 17],[35.92592593 14.07407407] ; [61.07407407 23.92592593],0
r4,1,0.011009,6.463851,[38 13] ; [78  8],[43.18248175  7.81751825] ; [72.81751825 13.18248175],0
p9,1,0.013829,6.059809,[32 15] ; [74 12],[37.45864662  9.54135338] ; [68.54135338 17.45864662],0
d3,1,0.016862,5.710689,[30 20] ; [68 18],[36.02941176 13.97058824] ; [61.97058824 24.02941176],0
p10,1,0.017536,5.641952,[33 17] ; [72 14],[38.60294118 11.39705882] ; [66.39705882 19.60294118],0
v4,1,0.021897,5.253916,[41  8] ; [82  4],[44.64444444  4.35555556] ; [78.35555556  7.64444444],0
d5,1,0.038473,4.283992,[35 15] ; [73 13],[39.70588235 10.29411765] ; [68.29411765 17.70588235],0
s1,1,0.056738,3.630252,[ 6 44] ; [ 3 82],[ 3.33333333 46.66666667] ; [ 5.66666667 79.33333333],0
n6,1,0.070457,3.272339,[36 13] ; [74 12],[39.92592593  9.07407407] ; [70.07407407 15.92592593],0
r3,1,0.112031,2.525332,[44  5] ; [83  3],[46.0962963  2.9037037] ; [80.9037037  5.0962963],0
b4,1,0.135399,2.229479,[26 25] ; [55 31],[30.15328467 20.84671533] ; [50.84671533 35.15328467],0
d2,1,0.144077,2.133866,[22 28] ; [49 37],[26.10294118 23.89705882] ; [44.89705882 41.10294118],0
s5,1,0.167905,1.901552,[14 34] ; [35 50],[17.68421053 30.31578947] ; [31.31578947 53.68421053],0
p12,1,0.205334,1.604022,[ 1 49] ; [ 6 80],[ 2.57352941 47.42647059] ; [ 4.42647059 81.57352941],0
d1,1,0.241735,1.370445,[25 26] ; [51 35],[28.2919708 22.7080292] ; [47.7080292 38.2919708],0
r1,1,0.258772,1.275313,[38 13] ; [71 15],[40.57664234 10.42335766] ; [68.42335766 17.57664234],0
b5,1,0.274071,1.196255,[31 20] ; [44 42],[27.91970803 23.08029197] ; [47.08029197 38.91970803],0
s2,1,0.306109,1.047389,[33 18] ; [48 38],[30.15328467 20.84671533] ; [50.84671533 35.15328467],0
s6,1,0.335791,0.926435,[33 17] ; [62 22],[35.44776119 14.55223881] ; [59.55223881 24.44776119],0
p1,1,0.359024,0.841304,[ 3 48] ; [ 9 77],[ 4.46715328 46.53284672] ; [ 7.53284672 78.46715328],0
b1,1,0.372313,0.79593,[18 33] ; [37 49],[20.47445255 30.52554745] ; [34.52554745 51.47445255],0
