Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.142041,2.155711,[10  3] ; [1 2],[8.9375 4.0625] ; [2.0625 0.9375],0
b2,1,0.226104,1.465201,[12  1] ; [2 1],[11.375  1.625] ; [2.625 0.375],0
p1,1,0.226104,1.465201,[ 1 12] ; [1 2],[ 1.625 11.375] ; [0.375 2.625],0
s8,1,0.226104,1.465201,[12  1] ; [2 1],[11.375  1.625] ; [2.625 0.375],0
b3,1,0.226104,1.465201,[12  1] ; [2 1],[11.375  1.625] ; [2.625 0.375],0
p7,1,0.247004,1.340171,[9 4] ; [1 2],[8.125 4.875] ; [1.875 1.125],0
v1,1,0.325892,0.965152,[9 1] ; [2 1],[8.46153846 1.53846154] ; [2.53846154 0.46153846],0
a2,1,0.37472,0.787953,[8 5] ; [1 2],[7.3125 5.6875] ; [1.6875 1.3125],0
b5,1,0.37472,0.787953,[8 5] ; [1 2],[7.3125 5.6875] ; [1.6875 1.3125],0
p2,1,0.472789,0.51545,[11  2] ; [2 1],[10.5625  2.4375] ; [2.4375 0.5625],0
d3,1,0.472789,0.51545,[11  2] ; [2 1],[10.5625  2.4375] ; [2.4375 0.5625],0
b4,1,0.521839,0.410256,[7 6] ; [1 2],[6.5 6.5] ; [1.5 1.5],0
v2,1,0.630701,0.231111,[8 2] ; [2 1],[7.69230769 2.30769231] ; [2.30769231 0.69230769],0
a4,1,0.711531,0.136752,[10  3] ; [2 1],[9.75 3.25] ; [2.25 0.75],0
p3,1,0.711531,0.136752,[10  3] ; [2 1],[9.75 3.25] ; [2.25 0.75],0
u1,1,0.868645,0.02735,[5 8] ; [1 2],[4.875 8.125] ; [1.125 1.875],0
a7,1,0.931175,0.007459,[9 4] ; [2 1],[8.9375 4.0625] ; [2.0625 0.9375],0
