Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.3e-05,16.350555,[79 31] ; [95  7],[90.28301887 19.71698113] ; [83.71698113 18.28301887],1
p2,1,0.000111,14.933135,[52 59] ; [75 28],[65.87383178 45.12616822] ; [61.12616822 41.87383178],1
r4,1,0.00042,12.440821,[66 45] ; [84 19],[77.80373832 33.19626168] ; [72.19626168 30.80373832],1
v4,1,0.004819,7.946232,[81 28] ; [92 11],[88.94811321 20.05188679] ; [84.05188679 18.94811321],0
b1,1,0.005911,7.577258,[64 47] ; [40 63],[53.94392523 57.05607477] ; [50.05607477 52.94392523],0
n6,1,0.007666,7.109891,[59 50] ; [74 29],[68.38207547 40.61792453] ; [64.61792453 38.38207547],0
p9,1,0.014451,5.982203,[29 79] ; [43 57],[37.38461538 70.61538462] ; [34.61538462 65.38461538],0
p6,1,0.017261,5.669621,[17 90] ; [30 71],[24.17788462 82.82211538] ; [22.82211538 78.17788462],0
r1,1,0.020568,5.363056,[64 45] ; [76 27],[71.98113208 37.01886792] ; [68.01886792 34.98113208],0
s8,1,0.026603,4.916369,[17 92] ; [29 74],[23.6509434 85.3490566] ; [22.3490566 80.6509434],0
p7,1,0.039905,4.221928,[37 73] ; [48 53],[44.31279621 65.68720379] ; [40.68720379 60.31279621],0
s1,1,0.042931,4.098115,[  9 101] ; [ 2 99],[  5.73459716 104.26540284] ; [ 5.26540284 95.73459716],0
n2,1,0.052552,3.758098,[29 22] ; [27  8],[33.20930233 17.79069767] ; [22.79069767 12.20930233],0
v2,1,0.060126,3.533899,[39 69] ; [49 51],[45.69230769 62.30769231] ; [42.30769231 57.69230769],0
n3,1,0.075927,3.15,[27 21] ; [27  9],[30.85714286 17.14285714] ; [23.14285714 12.85714286],0
p8,1,0.085132,2.964104,[25 85] ; [34 68],[30.61320755 79.38679245] ; [28.38679245 73.61320755],0
b4,1,0.136496,2.21702,[60 51] ; [66 37],[65.35514019 45.64485981] ; [60.64485981 42.35514019],0
u3,1,0.142033,2.155796,[19 28] ; [23 18],[22.43181818 24.56818182] ; [19.56818182 21.43181818],0
a2,1,0.146522,2.108089,[26 85] ; [16 87],[21.78504673 89.21495327] ; [20.21495327 82.78504673],0
s5,1,0.174361,1.845044,[15 92] ; [21 78],[18.69902913 88.30097087] ; [17.30097087 81.69902913],0
a8,1,0.18504,1.756673,[ 9 91] ; [14 78],[11.97916667 88.02083333] ; [11.02083333 80.97916667],0
n4,1,0.218215,1.51607,[63 46] ; [68 35],[67.35377358 41.64622642] ; [63.64622642 39.35377358],0
p3,1,0.22949,1.444019,[36 74] ; [26 77],[32.01877934 77.98122066] ; [29.98122066 73.01877934],0
r2,1,0.23407,1.415959,[89 19] ; [90 12],[92.05714286 15.94285714] ; [86.94285714 15.05714286],0
a1,1,0.23426,1.414805,[ 10 101] ; [ 5 98],[  7.78037383 103.21962617] ; [ 7.21962617 95.78037383],0
a5,1,0.247794,1.3357,[69 42] ; [56 47],[64.8364486 46.1635514] ; [60.1635514 42.8364486],0
u2,1,0.256618,1.286912,[17 28] ; [20 20],[19.58823529 25.41176471] ; [17.41176471 22.58823529],0
p12,1,0.27316,1.20081,[  1 110] ; [ 3 99],[  2.08450704 108.91549296] ; [  1.91549296 100.08450704],0
s4,1,0.288741,1.125482,[20 90] ; [13 88],[17.20379147 92.79620853] ; [15.79620853 85.20379147],0
n1,1,0.322158,0.980163,[21 29] ; [11 24],[18.82352941 31.17647059] ; [13.17647059 21.82352941],0
v1,1,0.368388,0.809096,[37 73] ; [40 61],[40.14218009 69.85781991] ; [36.85781991 64.14218009],0
d4,1,0.428048,0.628113,[77 32] ; [77 25],[79.55450237 29.44549763] ; [74.44549763 27.55450237],0
s6,1,0.431893,0.617728,[46 63] ; [49 54],[48.84433962 60.15566038] ; [46.15566038 56.84433962],0
b3,1,0.465099,0.533597,[24 42] ; [21 48],[22. 44.] ; [23. 46.],0
b2,1,0.465099,0.533597,[24 42] ; [21 48],[22. 44.] ; [23. 46.],0
p1,1,0.493963,0.467882,[  8 103] ; [ 5 96],[  6.80660377 104.19339623] ; [ 6.19339623 94.80660377],0
s7,1,0.504373,0.445723,[27 74] ; [31 69],[29.14427861 71.85572139] ; [28.85572139 71.14427861],0
p4,1,0.519809,0.414273,[37 73] ; [39 64],[39.24882629 70.75117371] ; [36.75117371 66.24882629],0
d2,1,0.640911,0.217553,[51 58] ; [51 51],[52.69194313 56.30805687] ; [49.30805687 52.69194313],0
s2,1,0.67566,0.175053,[33 77] ; [33 68],[34.40758294 75.59241706] ; [31.59241706 69.40758294],0
u1,1,0.677022,0.173498,[14 97] ; [15 88],[15.04205607 95.95794393] ; [13.95794393 89.04205607],0
d1,1,0.718194,0.130229,[49 62] ; [48 55],[50.31308411 60.68691589] ; [46.68691589 56.31308411],0
d5,1,0.747789,0.103398,[77 33] ; [70 33],[75.91549296 34.08450704] ; [71.08450704 31.91549296],0
a7,1,0.764006,0.090135,[68 42] ; [61 41],[66.93396226 43.06603774] ; [62.06603774 39.93396226],0
d3,1,0.780647,0.077549,[62 48] ; [60 43],[63.00469484 46.99530516] ; [58.99530516 44.00469484],0
s3,1,0.788149,0.072207,[44 64] ; [43 58],[44.9569378 63.0430622] ; [42.0430622 58.9569378],0
a4,1,0.833296,0.0443,[46 63] ; [42 61],[45.24528302 63.75471698] ; [42.75471698 60.24528302],0
v3,1,0.874633,0.024893,[27 75] ; [28 74],[27.5 74.5] ; [27.5 74.5],0
b5,1,0.888607,0.019619,[70 41] ; [64 39],[69.5046729 41.4953271] ; [64.4953271 38.5046729],0
a3,1,0.889921,0.019156,[64 44] ; [62 41],[64.492891 43.507109] ; [61.507109 41.492891],0
n5,1,0.909028,0.013056,[58 51] ; [54 49],[57.58490566 51.41509434] ; [54.41509434 48.58490566],0
u4,1,0.925946,0.008639,[  3 108] ; [  3 100],[  3.11214953 107.88785047] ; [  2.88785047 100.11214953],0
a6,1,0.984328,0.000386,[65 45] ; [61 42],[65.07042254 44.92957746] ; [60.92957746 42.07042254],0
