Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,9e-06,19.812561,[14 61] ; [18 10],[23.30097087 51.69902913] ; [ 8.69902913 19.30097087],1
s6,1,2.4e-05,17.818939,[40 41] ; [28  2],[49.62162162 31.37837838] ; [18.37837838 11.62162162],1
p8,1,0.000134,14.589294,[16 66] ; [17 13],[24.16071429 57.83928571] ; [ 8.83928571 21.16071429],1
p4,1,0.000143,14.46497,[21 60] ; [19 10],[29.45454545 51.54545455] ; [10.54545455 18.45454545],1
p7,1,0.000636,11.667488,[22 57] ; [19 11],[29.71559633 49.28440367] ; [11.28440367 18.71559633],1
s7,1,0.000752,11.356047,[28 50] ; [21  8],[35.71962617 42.28037383] ; [13.28037383 15.71962617],1
v2,1,0.003113,8.740078,[34 42] ; [21  6],[40.58252427 35.41747573] ; [14.41747573 12.58252427],0
p3,1,0.003205,8.686836,[23 59] ; [17 12],[29.54954955 52.45045045] ; [10.45045045 18.54954955],0
v1,1,0.010376,6.569112,[31 48] ; [20 10],[36.96330275 42.03669725] ; [14.03669725 15.96330275],0
s2,1,0.01418,6.015625,[35 45] ; [21  9],[40.72727273 39.27272727] ; [15.27272727 14.72727273],0
u3,1,0.016367,5.763001,[14 16] ; [9 1],[17.25 12.75] ; [5.75 4.25],0
p5,1,0.016931,5.703485,[ 4 74] ; [ 6 24],[ 7.22222222 70.77777778] ; [ 2.77777778 27.22222222],0
s8,1,0.019066,5.495468,[33 49] ; [19 10],[38.41441441 43.58558559] ; [13.58558559 15.41441441],0
b4,1,0.047227,3.937295,[43 39] ; [22  8],[47.58928571 34.41071429] ; [17.41071429 12.58928571],0
p1,1,0.054632,3.693268,[ 6 76] ; [ 6 24],[ 8.78571429 73.21428571] ; [ 3.21428571 26.78571429],0
n6,1,0.099097,2.720011,[58 24] ; [25  4],[61.31531532 20.68468468] ; [21.68468468  7.31531532],0
d1,1,0.116772,2.460088,[41 41] ; [20 10],[44.66071429 37.33928571] ; [16.33928571 13.66071429],0
d2,1,0.136084,2.22169,[34 46] ; [17 12],[37.43119266 42.56880734] ; [13.56880734 15.43119266],0
a5,1,0.149332,2.079064,[54 28] ; [24  6],[57.10714286 24.89285714] ; [20.89285714  9.10714286],0
v4,1,0.162854,1.94752,[72 10] ; [29  1],[73.94642857  8.05357143] ; [27.05357143  2.94642857],0
a2,1,0.206631,1.594876,[20 62] ; [ 4 26],[17.57142857 64.42857143] ; [ 6.42857143 23.57142857],0
p12,1,0.217981,1.517615,[ 7 75] ; [ 5 25],[ 8.78571429 73.21428571] ; [ 3.21428571 26.78571429],0
v3,1,0.238494,1.389471,[25 49] ; [13 15],[27.56862745 46.43137255] ; [10.43137255 17.56862745],0
u2,1,0.270912,1.212121,[15 15] ; [7 3],[16.5 13.5] ; [5.5 4.5],0
s1,1,0.329902,0.949283,[ 4 77] ; [ 3 27],[ 5.10810811 75.89189189] ; [ 1.89189189 28.10810811],0
a7,1,0.343221,0.898363,[57 25] ; [18 12],[54.91071429 27.08928571] ; [20.08928571  9.91071429],0
r4,1,0.355561,0.853511,[68 14] ; [27  3],[69.55357143 12.44642857] ; [25.44642857  4.55357143],0
b2,1,0.401446,0.703989,[17 34] ; [10 13],[18.60810811 32.39189189] ; [ 8.39189189 14.60810811],0
b3,1,0.401446,0.703989,[17 34] ; [10 13],[18.60810811 32.39189189] ; [ 8.39189189 14.60810811],0
b5,1,0.411732,0.673795,[56 26] ; [18 12],[54.17857143 27.82142857] ; [19.82142857 10.17857143],0
s4,1,0.415626,0.662651,[18 62] ; [ 9 21],[19.63636364 60.36363636] ; [ 7.36363636 22.63636364],0
