Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.014306,6.0,[ 9 40] ; [15 20],[14. 35.] ; [10. 25.],0
b5,1,0.035095,4.440552,[36 19] ; [16 21],[31.08695652 23.91304348] ; [20.91304348 16.08695652],0
p4,1,0.035814,4.405915,[27 27] ; [10 26],[22.2 31.8] ; [14.8 21.2],0
p9,1,0.037462,4.329265,[30 25] ; [26  8],[34.60674157 20.39325843] ; [21.39325843 12.60674157],0
v2,1,0.071593,3.246117,[18 32] ; [19 15],[22.02380952 27.97619048] ; [14.97619048 19.02380952],0
s2,1,0.108434,2.576904,[19 36] ; [19 18],[22.7173913 32.2826087] ; [15.2826087 21.7173913],0
s5,1,0.114511,2.49083,[ 8 46] ; [10 25],[10.92134831 43.07865169] ; [ 7.07865169 27.92134831],0
p10,1,0.120876,2.405932,[28 27] ; [23 11],[31.51685393 23.48314607] ; [19.48314607 14.51685393],0
b3,1,0.125276,2.350082,[ 7 25] ; [ 8 11],[ 9.41176471 22.58823529] ; [ 5.58823529 13.41176471],0
b2,1,0.125276,2.350082,[ 7 25] ; [ 8 11],[ 9.41176471 22.58823529] ; [ 5.58823529 13.41176471],0
a3,1,0.135545,2.227817,[27 28] ; [24 13],[30.48913043 24.51086957] ; [20.51086957 16.48913043],0
a1,1,0.146889,2.104266,[ 1 54] ; [ 3 34],[ 2.39130435 52.60869565] ; [ 1.60869565 35.39130435],0
v4,1,0.160126,1.973033,[42 12] ; [33  4],[44.50549451  9.49450549] ; [30.49450549  6.50549451],0
u2,1,0.161617,1.959029,[17 11] ; [10  2],[18.9  9.1] ; [8.1 3.9],0
p1,1,0.178577,1.80943,[ 3 52] ; [ 5 32],[ 4.7826087 50.2173913] ; [ 3.2173913 33.7826087],0
s6,1,0.19931,1.64742,[23 32] ; [20 16],[25.98901099 29.01098901] ; [17.01098901 18.98901099],0
p2,1,0.209777,1.572967,[31 24] ; [25 11],[33.84615385 21.15384615] ; [22.15384615 13.84615385],0
v3,1,0.212418,1.554866,[ 9 43] ; [10 25],[11.35632184 40.64367816] ; [ 7.64367816 27.35632184],0
n2,1,0.256839,1.285714,[10 10] ; [11  5],[11.66666667  8.33333333] ; [9.33333333 6.66666667],0
u3,1,0.272629,1.203469,[16 11] ; [10  3],[17.55  9.45] ; [8.45 4.55],0
n5,1,0.277803,1.177807,[16 38] ; [ 7 29],[13.8 40.2] ; [ 9.2 26.8],0
p8,1,0.304447,1.054613,[24 29] ; [12 23],[21.68181818 31.31818182] ; [14.31818182 20.68181818],0
s4,1,0.314254,1.012714,[12 43] ; [ 5 32],[10.16304348 44.83695652] ; [ 6.83695652 30.16304348],0
s8,1,0.317378,0.999721,[14 41] ; [13 24],[16.14130435 38.85869565] ; [10.85869565 26.14130435],0
a7,1,0.341564,0.904554,[38 17] ; [22 15],[35.86956522 19.13043478] ; [24.13043478 12.86956522],0
d2,1,0.348904,0.87744,[20 35] ; [10 27],[17.93478261 37.06521739] ; [12.06521739 24.93478261],0
a4,1,0.380184,0.770106,[16 39] ; [14 23],[17.93478261 37.06521739] ; [12.06521739 24.93478261],0
u1,1,0.51327,0.427395,[ 5 50] ; [ 2 35],[ 4.18478261 50.81521739] ; [ 2.81521739 34.18478261],0
p11,1,0.523558,0.40688,[26 29] ; [20 17],[27.5 27.5] ; [18.5 18.5],0
r1,1,0.529168,0.395989,[33 21] ; [25 12],[34.41758242 19.58241758] ; [23.58241758 13.41758242],0
a6,1,0.559125,0.341221,[36 19] ; [22 15],[34.67391304 20.32608696] ; [23.32608696 13.67391304],0
d4,1,0.637591,0.221907,[40 14] ; [29  8],[40.94505495 13.05494505] ; [28.05494505  8.94505495],0
d1,1,0.641066,0.21735,[25 30] ; [15 22],[23.91304348 31.08695652] ; [16.08695652 20.91304348],0
p5,1,0.654726,0.199994,[ 2 52] ; [ 2 33],[ 2.42696629 51.57303371] ; [ 1.57303371 33.42696629],0
n3,1,0.677392,0.173077,[15  5] ; [11  5],[14.44444444  5.55555556] ; [11.55555556  4.44444444],0
d3,1,0.677865,0.17254,[33 21] ; [21 16],[32.04395604 21.95604396] ; [21.95604396 15.04395604],0
r2,1,0.683413,0.166309,[45 10] ; [29  8],[44.23913043 10.76086957] ; [29.76086957  7.23913043],0
p7,1,0.694857,0.153878,[26 26] ; [16 19],[25.10344828 26.89655172] ; [16.89655172 18.10344828],0
r3,1,0.705795,0.142513,[46  9] ; [29  7],[45.32967033  9.67032967] ; [29.67032967  6.32967033],0
n1,1,0.713146,0.135154,[ 6 13] ; [ 6 10],[ 6.51428571 12.48571429] ; [ 5.48571429 10.51428571],0
p6,1,0.733762,0.115685,[12 43] ; [ 8 24],[12.64367816 42.35632184] ; [ 7.35632184 24.64367816],0
d5,1,0.761555,0.092076,[37 18] ; [26 11],[37.66304348 17.33695652] ; [25.33695652 11.66304348],0
p3,1,0.813494,0.055659,[16 39] ; [11 24],[16.5 38.5] ; [10.5 24.5],0
a8,1,0.823046,0.05001,[ 2 50] ; [ 1 33],[ 1.81395349 50.18604651] ; [ 1.18604651 32.81395349],0
a5,1,0.83162,0.045209,[27 28] ; [19 18],[27.5 27.5] ; [18.5 18.5],0
b4,1,0.83426,0.043782,[30 25] ; [21 16],[30.48913043 24.51086957] ; [20.51086957 16.48913043],0
s1,1,0.852711,0.03447,[ 4 51] ; [ 3 33],[ 4.23076923 50.76923077] ; [ 2.76923077 33.23076923],0
b1,1,0.896926,0.016782,[29 26] ; [19 18],[28.69565217 26.30434783] ; [19.30434783 17.69565217],0
a2,1,0.912569,0.012056,[ 7 48] ; [ 5 32],[ 7.17391304 47.82608696] ; [ 4.82608696 32.17391304],0
s3,1,0.96681,0.001731,[28 27] ; [19 18],[28.09782609 26.90217391] ; [18.90217391 18.09782609],0
r4,1,0.976402,0.000875,[37 18] ; [25 12],[37.06521739 17.93478261] ; [24.93478261 12.06521739],0
