Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7.4e-05,15.705293,[12  1] ; [11 27],[5.8627451 7.1372549] ; [17.1372549 20.8627451],1
d5,1,0.000153,14.338731,[12  1] ; [12 26],[6.11764706 6.88235294] ; [17.88235294 20.11764706],1
d2,1,0.001469,10.117409,[9 4] ; [ 8 30],[4.33333333 8.66666667] ; [12.66666667 25.33333333],0
v3,1,0.013746,6.070445,[4 9] ; [ 2 36],[ 1.52941176 11.47058824] ; [ 4.47058824 33.52941176],0
p1,1,0.017942,5.601807,[ 3 10] ; [ 1 37],[ 1.01960784 11.98039216] ; [ 2.98039216 35.01960784],0
v2,1,0.025746,4.973002,[8 5] ; [10 27],[4.68 8.32] ; [13.32 23.68],0
v1,1,0.080021,3.06448,[6 7] ; [ 8 30],[3.56862745 9.43137255] ; [10.43137255 27.56862745],0
p4,1,0.083959,2.986553,[8 5] ; [13 25],[5.35294118 7.64705882] ; [15.64705882 22.35294118],0
p2,1,0.090674,2.86237,[10  3] ; [19 19],[7.39215686 5.60784314] ; [21.60784314 16.39215686],0
a5,1,0.12068,2.408475,[8 5] ; [14 24],[5.60784314 7.39215686] ; [16.39215686 21.60784314],0
a6,1,0.12068,2.408475,[8 5] ; [14 24],[5.60784314 7.39215686] ; [16.39215686 21.60784314],0
a4,1,0.124837,2.355567,[6 7] ; [ 9 29],[3.82352941 9.17647059] ; [11.17647059 26.82352941],0
a3,1,0.138632,2.193077,[8 5] ; [14 23],[5.72 7.28] ; [16.28 20.72],0
s2,1,0.141455,2.16206,[5 8] ; [ 7 31],[3.05882353 9.94117647] ; [ 8.94117647 29.05882353],0
s6,1,0.151748,2.054589,[7 6] ; [12 26],[4.84313725 8.15686275] ; [14.15686275 23.84313725],0
p5,1,0.153089,2.041202,[ 3 10] ; [ 3 34],[ 1.56 11.44] ; [ 4.44 32.56],0
n6,1,0.167361,1.906422,[10  3] ; [21 17],[7.90196078 5.09803922] ; [23.09803922 14.90196078],0
p11,1,0.167361,1.906422,[10  3] ; [21 17],[7.90196078 5.09803922] ; [23.09803922 14.90196078],0
n2,1,0.211088,1.563946,[2 3] ; [10  4],[3.15789474 1.84210526] ; [8.84210526 5.15789474],0
r4,1,0.213778,1.545657,[5 8] ; [ 8 30],[3.31372549 9.68627451] ; [ 9.68627451 28.31372549],0
v4,1,0.229044,1.446787,[9 4] ; [19 19],[7.1372549 5.8627451] ; [20.8627451 17.1372549],0
s1,1,0.241322,1.372857,[ 2 11] ; [ 2 36],[ 1.01960784 11.98039216] ; [ 2.98039216 35.01960784],0
a8,1,0.285737,1.139601,[ 1 11] ; [ 8 28],[2.25 9.75] ; [ 6.75 29.25],0
p10,1,0.333425,0.935551,[8 5] ; [17 20],[6.5 6.5] ; [18.5 18.5],0
p3,1,0.385188,0.754078,[4 8] ; [ 8 30],[2.88 9.12] ; [ 9.12 28.88],0
r3,1,0.422695,0.642809,[10  3] ; [24 13],[8.84 4.16] ; [25.16 11.84],0
s4,1,0.463968,0.536306,[ 1 12] ; [ 6 32],[ 1.78431373 11.21568627] ; [ 5.21568627 32.78431373],0
r1,1,0.475896,0.508253,[4 9] ; [ 8 30],[3.05882353 9.94117647] ; [ 8.94117647 29.05882353],0
n5,1,0.552789,0.352344,[7 6] ; [24 14],[7.90196078 5.09803922] ; [23.09803922 14.90196078],0
b1,1,0.570036,0.322621,[6 7] ; [21 17],[6.88235294 6.11764706] ; [20.11764706 17.88235294],0
p7,1,0.577461,0.310358,[5 8] ; [18 20],[5.8627451 7.1372549] ; [17.1372549 20.8627451],0
n4,1,0.577461,0.310358,[8 5] ; [20 18],[7.1372549 5.8627451] ; [20.8627451 17.1372549],0
n3,1,0.636982,0.222711,[3 2] ; [10  4],[3.42105263 1.57894737] ; [9.57894737 4.42105263],0
s5,1,0.638855,0.220243,[ 2 11] ; [ 4 34],[ 1.52941176 11.47058824] ; [ 4.47058824 33.52941176],0
p9,1,0.640032,0.2187,[8 5] ; [20 17],[7.28 5.72] ; [20.72 16.28],0
b5,1,0.672704,0.178456,[7 6] ; [23 15],[7.64705882 5.35294118] ; [22.35294118 15.64705882],0
b4,1,0.672704,0.178456,[7 6] ; [23 15],[7.64705882 5.35294118] ; [22.35294118 15.64705882],0
u2,1,0.683949,0.165714,[2 3] ; [12 12],[2.4137931 2.5862069] ; [11.5862069 12.4137931],0
s3,1,0.780003,0.078017,[ 3 10] ; [10 27],[3.38 9.62] ; [ 9.62 27.38],0
a7,1,0.810755,0.057337,[7 6] ; [19 19],[6.62745098 6.37254902] ; [19.37254902 18.62745098],0
s8,1,0.840393,0.040558,[ 2 11] ; [ 5 33],[ 1.78431373 11.21568627] ; [ 5.21568627 32.78431373],0
u3,1,0.857541,0.032222,[1 4] ; [ 4 20],[0.86206897 4.13793103] ; [ 4.13793103 19.86206897],0
p8,1,0.911944,0.012229,[4 9] ; [12 25],[4.16 8.84] ; [11.84 25.16],0
p6,1,0.970735,0.001346,[ 2 10] ; [ 6 31],[ 1.95918367 10.04081633] ; [ 6.04081633 30.95918367],0
b2,1,0.976289,0.000883,[2 7] ; [ 5 18],[1.96875 7.03125] ; [ 5.03125 17.96875],0
b3,1,0.976289,0.000883,[2 7] ; [ 5 18],[1.96875 7.03125] ; [ 5.03125 17.96875],0
p12,1,0.981304,0.000549,[ 1 12] ; [ 3 35],[ 1.01960784 11.98039216] ; [ 2.98039216 35.01960784],0
