Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.001944,9.601572,[ 26 592] ; [2 5],[ 27.6864 590.3136] ; [0.3136 6.6864],0
b2,1,0.010793,6.499152,[145 234] ; [6 1],[148.26165803 230.73834197] ; [2.73834197 4.26165803],0
b3,1,0.010793,6.499152,[145 234] ; [6 1],[148.26165803 230.73834197] ; [2.73834197 4.26165803],0
a2,1,0.029989,4.709922,[139 479] ; [4 3],[141.3984 476.6016] ; [1.6016 5.3984],0
v3,1,0.034728,4.45851,[243 354] ; [5 1],[245.53233831 351.46766169] ; [2.46766169 3.53233831],0
d2,1,0.035459,4.422958,[282 333] ; [6 1],[284.75884244 330.24115756] ; [3.24115756 3.75884244],0
a8,1,0.036372,4.379583,[ 78 493] ; [2 2],[ 79.44347826 491.55652174] ; [0.55652174 3.44347826],0
u1,1,0.074712,3.176339,[106 512] ; [3 4],[107.7792 510.2208] ; [1.2208 5.7792],0
a4,1,0.140118,2.176666,[269 348] ; [5 2],[270.92628205 346.07371795] ; [3.07371795 3.92628205],0
p5,1,0.154749,2.024807,[ 82 532] ; [2 4],[ 83.18709677 530.81290323] ; [0.81290323 5.18709677],0
d1,1,0.15792,1.994029,[367 251] ; [6 1],[368.8224 249.1776] ; [4.1776 2.8224],0
s8,1,0.184255,1.762965,[284 330] ; [5 2],[285.74235105 328.25764895] ; [3.25764895 3.74235105],0
v2,1,0.223743,1.4802,[348 244] ; [5 1],[349.45819398 242.54180602] ; [3.54180602 2.45819398],0
s7,1,0.270973,1.211817,[300 294] ; [5 2],[301.44758735 292.55241265] ; [3.55241265 3.44758735],0
s3,1,0.443108,0.58822,[346 261] ; [5 2],[346.99837134 260.00162866] ; [4.00162866 2.99837134],0
b5,1,0.481871,0.494626,[360 258] ; [5 2],[360.912 257.088] ; [4.088 2.912],0
b4,1,0.497426,0.460423,[363 255] ; [5 2],[363.8784 254.1216] ; [4.1216 2.8784],0
p12,1,0.675849,0.174837,[ 59 556] ; [1 6],[ 59.32475884 555.67524116] ; [0.67524116 6.32475884],0
p4,1,0.692529,0.156361,[395 220] ; [5 2],[395.49839228 219.50160772] ; [4.50160772 2.49839228],0
n4,1,0.718101,0.130319,[496 122] ; [6 1],[496.3776 121.6224] ; [5.6224 1.3776],0
s5,1,0.720501,0.128013,[210 389] ; [2 5],[209.55115512 389.44884488] ; [2.44884488 4.55115512],0
r1,1,0.728321,0.120659,[495 120] ; [6 1],[495.36173633 119.63826367] ; [5.63826367 1.36173633],0
p6,1,0.77543,0.081385,[229 380] ; [3 4],[229.36363636 379.63636364] ; [2.63636364 4.36363636],0
s2,1,0.778368,0.079212,[317 295] ; [4 3],[317.36995153 294.63004847] ; [3.63004847 3.36995153],0
d5,1,0.790235,0.070759,[504 112] ; [6 1],[504.26966292 111.73033708] ; [5.73033708 1.26966292],0
p3,1,0.870645,0.026517,[333 283] ; [4 3],[333.21348315 282.78651685] ; [3.78651685 3.21348315],0
p7,1,0.885068,0.020894,[414 187] ; [5 2],[414.17598684 186.82401316] ; [4.82401316 2.17598684],0
p2,1,0.888469,0.019668,[538  77] ; [6 1],[537.8778135  77.1221865] ; [6.1221865 0.8778135],0
p8,1,0.916035,0.011115,[360 249] ; [4 3],[359.86363636 249.13636364] ; [4.13636364 2.86363636],0
a6,1,0.918604,0.010443,[429 187] ; [5 2],[429.12359551 186.87640449] ; [4.87640449 2.12359551],0
a7,1,0.921236,0.009777,[451 166] ; [5 2],[450.88461538 166.11538462] ; [5.11538462 1.88461538],0
