Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2.2e-05,18.026147,[15 26] ; [45 12],[25.10204082 15.89795918] ; [34.89795918 22.10204082],1
a1,1,0.033416,4.524328,[ 1 40] ; [ 9 49],[ 4.14141414 36.85858586] ; [ 5.85858586 52.14141414],0
n1,1,0.037514,4.326923,[ 6 18] ; [14 12],[ 9.6 14.4] ; [10.4 15.6],0
n2,1,0.048639,3.887759,[ 9 15] ; [17  9],[12.48 11.52] ; [13.52 12.48],0
a6,1,0.057452,3.609462,[14 27] ; [31 27],[18.63636364 22.36363636] ; [26.36363636 31.63636364],0
p3,1,0.129653,2.296651,[ 5 35] ; [14 42],[ 7.91666667 32.08333333] ; [11.08333333 44.91666667],0
a5,1,0.130319,2.288703,[17 24] ; [33 25],[20.70707071 20.29292929] ; [29.29292929 28.70707071],0
p2,1,0.204675,1.608699,[24 17] ; [25 30],[20.92708333 20.07291667] ; [28.07291667 26.92708333],0
a7,1,0.206817,1.593566,[24 17] ; [26 31],[20.91836735 20.08163265] ; [29.08163265 27.91836735],0
p5,1,0.223739,1.480226,[ 2 38] ; [ 7 50],[ 3.71134021 36.28865979] ; [ 5.28865979 51.71134021],0
n6,1,0.285939,1.138645,[20 21] ; [34 23],[22.59183673 18.40816327] ; [31.40816327 25.59183673],0
u3,1,0.288159,1.128205,[ 6 12] ; [ 5 21],[ 4.5 13.5] ; [ 6.5 19.5],0
a8,1,0.297469,1.085507,[ 1 38] ; [ 4 49],[ 2.11956522 36.88043478] ; [ 2.88043478 50.11956522],0
d2,1,0.297631,1.084779,[14 27] ; [25 31],[16.48453608 24.51546392] ; [22.51546392 33.48453608],0
r2,1,0.31831,0.995876,[20 20] ; [32 21],[22.3655914 17.6344086] ; [29.6344086 23.3655914],0
a4,1,0.338569,0.915844,[12 29] ; [22 35],[14.2244898 26.7755102] ; [19.7755102 37.2244898],0
b5,1,0.349408,0.875606,[23 18] ; [27 31],[20.70707071 20.29292929] ; [29.29292929 28.70707071],0
d3,1,0.359612,0.839247,[21 19] ; [25 33],[18.7755102 21.2244898] ; [27.2244898 30.7755102],0
s5,1,0.364472,0.822425,[ 6 35] ; [ 5 52],[ 4.60204082 36.39795918] ; [ 6.39795918 50.60204082],0
d1,1,0.371272,0.799403,[12 29] ; [22 36],[14.08080808 26.91919192] ; [19.91919192 38.08080808],0
r1,1,0.372321,0.795902,[14 27] ; [15 43],[12.01010101 28.98989899] ; [16.98989899 41.01010101],0
s1,1,0.38082,0.768052,[ 4 37] ; [ 3 55],[ 2.8989899 38.1010101] ; [ 4.1010101 53.8989899],0
v4,1,0.420528,0.648839,[26 14] ; [33 25],[24.08163265 15.91836735] ; [34.91836735 23.08163265],0
p1,1,0.439611,0.597297,[ 3 38] ; [ 7 51],[ 4.14141414 36.85858586] ; [ 5.85858586 52.14141414],0
s8,1,0.439611,0.597297,[ 3 38] ; [ 7 51],[ 4.14141414 36.85858586] ; [ 5.85858586 52.14141414],0
d5,1,0.44018,0.595813,[23 18] ; [37 21],[24.84848485 16.15151515] ; [35.15151515 22.84848485],0
s6,1,0.461174,0.543045,[ 8 33] ; [15 43],[ 9.52525253 31.47474747] ; [13.47474747 44.52525253],0
u1,1,0.47425,0.512056,[ 2 39] ; [ 5 53],[ 2.8989899 38.1010101] ; [ 4.1010101 53.8989899],0
n3,1,0.489795,0.476977,[11 12] ; [15 11],[12.20408163 10.79591837] ; [13.79591837 12.20408163],0
p7,1,0.504384,0.4457,[14 27] ; [15 39],[12.51578947 28.48421053] ; [16.48421053 37.51578947],0
p10,1,0.512437,0.429088,[21 20] ; [24 30],[19.42105263 21.57894737] ; [25.57894737 28.42105263],0
s4,1,0.519503,0.414881,[ 6 35] ; [ 6 52],[ 4.96969697 36.03030303] ; [ 7.03030303 50.96969697],0
b2,1,0.640506,0.218081,[ 7 14] ; [15 23],[ 7.83050847 13.16949153] ; [14.16949153 23.83050847],0
b3,1,0.640506,0.218081,[ 7 14] ; [15 23],[ 7.83050847 13.16949153] ; [14.16949153 23.83050847],0
d4,1,0.652144,0.203208,[27 14] ; [35 22],[25.93877551 15.06122449] ; [36.06122449 20.93877551],0
p9,1,0.661324,0.191919,[20 20] ; [30 25],[21.05263158 18.94736842] ; [28.94736842 26.05263158],0
p11,1,0.667369,0.184696,[18 23] ; [28 30],[19.05050505 21.94949495] ; [26.94949495 31.05050505],0
s7,1,0.689581,0.159539,[ 7 31] ; [12 43],[ 7.76344086 30.23655914] ; [11.23655914 43.76344086],0
b4,1,0.723107,0.125535,[24 17] ; [36 22],[24.84848485 16.15151515] ; [35.15151515 22.84848485],0
p12,1,0.750306,0.101274,[ 1 40] ; [ 2 54],[ 1.26804124 39.73195876] ; [ 1.73195876 54.26804124],0
a3,1,0.761196,0.092362,[23 17] ; [31 26],[22.26804124 17.73195876] ; [31.73195876 25.26804124],0
p4,1,0.787552,0.072625,[12 29] ; [15 41],[11.41237113 29.58762887] ; [15.58762887 40.41237113],0
u2,1,0.820597,0.051428,[ 7 11] ; [11 15],[ 7.36363636 10.63636364] ; [10.63636364 15.36363636],0
v1,1,0.823289,0.04987,[12 28] ; [18 38],[12.5 27.5] ; [17.5 38.5],0
b1,1,0.927295,0.008326,[23 18] ; [32 26],[22.77777778 18.22222222] ; [32.22222222 25.77777778],0
v2,1,0.933482,0.006966,[13 28] ; [17 38],[12.8125 28.1875] ; [17.1875 37.8125],0
v3,1,0.945758,0.004629,[ 8 33] ; [11 47],[ 7.86868687 33.13131313] ; [11.13131313 46.86868687],0
p6,1,0.946978,0.004423,[ 5 35] ; [ 7 47],[ 5.10638298 34.89361702] ; [ 6.89361702 47.10638298],0
p8,1,0.960698,0.002428,[10 30] ; [14 43],[ 9.89690722 30.10309278] ; [14.10309278 42.89690722],0
s3,1,0.965463,0.001875,[ 8 32] ; [11 45],[ 7.91666667 32.08333333] ; [11.08333333 44.91666667],0
a2,1,0.984885,0.000359,[ 5 36] ; [ 7 51],[ 4.96969697 36.03030303] ; [ 7.03030303 50.96969697],0
r3,1,0.99322,7.2e-05,[19 22] ; [26 30],[19.02061856 21.97938144] ; [25.97938144 30.02061856],0
