Feature,DoF,P Value,Chi Square,Is Significant
n1,1,0.109406,2.56278,0
p3,1,0.165803,1.920489,0
n6,1,0.228854,1.447972,0
p6,1,0.243305,1.361345,0
a7,1,0.248959,1.329135,0
p8,1,0.264284,1.246176,0
p2,1,0.334456,0.931566,0
b5,1,0.344523,0.893527,0
a3,1,0.34615,0.887522,0
u3,1,0.365588,0.818607,0
r4,1,0.390534,0.73728,0
p7,1,0.404379,0.695265,0
v1,1,0.415226,0.663788,0
p5,1,0.417471,0.657424,0
n5,1,0.418197,0.655377,0
r2,1,0.448629,0.574113,0
d2,1,0.460559,0.544537,0
s2,1,0.475053,0.510198,0
a6,1,0.493779,0.46828,0
u1,1,0.581289,0.304155,0
r3,1,0.588778,0.292257,0
p4,1,0.592992,0.285696,0
a1,1,0.597927,0.278134,0
s4,1,0.598947,0.276587,0
d5,1,0.59897,0.276552,0
v2,1,0.612552,0.256476,0
s8,1,0.617193,0.249833,0
p9,1,0.626605,0.236693,0
b4,1,0.650666,0.205062,0
s7,1,0.750543,0.101076,0
a2,1,0.774144,0.082345,0
u2,1,0.788238,0.072146,0
s6,1,0.790772,0.070388,0
a5,1,0.792023,0.06953,0
v3,1,0.800471,0.063876,0
n2,1,0.813926,0.055397,0
v4,1,0.816346,0.053939,0
d4,1,0.833047,0.044435,0
d3,1,0.834173,0.043828,0
s1,1,0.840329,0.040591,0
p12,1,0.842989,0.039232,0
s3,1,0.887128,0.020147,0
n4,1,0.89799,0.016436,0
s5,1,0.900799,0.015538,0
r1,1,0.902948,0.014869,0
a8,1,0.907419,0.013524,0
d1,1,0.911152,0.012451,0
a4,1,0.923827,0.009142,0
n3,1,0.94391,0.00495,0
p1,1,0.971663,0.001262,0
b3,1,1.0,0.0,0
b2,1,1.0,0.0,0
