Feature,DoF,P Value,Chi Square,Is Significant
a1,1,2.6e-05,17.661896,1
b2,1,0.000151,14.357298,1
b3,1,0.000151,14.357298,1
s8,1,0.000592,11.800172,1
a2,1,0.000671,11.566957,1
p5,1,0.001729,9.816717,1
d2,1,0.0035,8.526352,1
v3,1,0.004073,8.250978,1
s3,1,0.006884,7.303113,1
a4,1,0.009216,6.780503,1
s7,1,0.01109,6.450862,0
p12,1,0.012874,6.186331,0
s2,1,0.018762,5.523544,0
d1,1,0.019639,5.443659,0
v1,1,0.029412,4.743334,0
p3,1,0.038661,4.275704,0
u1,1,0.049013,3.874915,0
p4,1,0.073131,3.211305,0
s6,1,0.077762,3.111069,0
a8,1,0.11473,2.487832,0
a5,1,0.118462,2.437545,0
p6,1,0.175666,1.833917,0
v2,1,0.207265,1.590427,0
s4,1,0.303467,1.058896,0
s1,1,0.303938,1.056835,0
p8,1,0.31515,1.008967,0
d3,1,0.330538,0.946788,0
n4,1,0.51717,0.419534,0
a7,1,0.55344,0.35119,0
a6,1,0.616488,0.250834,0
b4,1,0.706135,0.142168,0
r1,1,0.712086,0.136203,0
p7,1,0.719373,0.129095,0
p2,1,0.841434,0.040024,0
p1,1,0.853603,0.034049,0
d5,1,0.871569,0.026136,0
b5,1,0.957776,0.002803,0
s5,1,0.975838,0.000917,0
