Feature,DoF,P Value,Chi Square,Is Significant
u3,1,0.065342,3.39632,0
p6,1,0.113333,2.507122,0
v4,1,0.175002,1.83956,0
p7,1,0.187217,1.739382,0
p2,1,0.226631,1.46188,0
s8,1,0.238054,1.392082,0
a7,1,0.259576,1.271018,0
r3,1,0.268636,1.223697,0
n3,1,0.279264,1.17067,0
n4,1,0.29649,1.089915,0
n2,1,0.31041,1.028932,0
s5,1,0.386555,0.749752,0
r4,1,0.404806,0.694005,0
s1,1,0.423137,0.641587,0
b4,1,0.437181,0.60367,0
a6,1,0.449152,0.57279,0
n6,1,0.459004,0.548323,0
u1,1,0.470801,0.520096,0
p1,1,0.493068,0.469825,0
a2,1,0.512153,0.429665,0
d3,1,0.522907,0.408155,0
s6,1,0.534769,0.385321,0
a3,1,0.545362,0.365692,0
b5,1,0.54719,0.362376,0
p8,1,0.560619,0.338633,0
a8,1,0.57152,0.320145,0
p12,1,0.5839,0.299972,0
u2,1,0.58984,0.290594,0
s3,1,0.594173,0.283874,0
p3,1,0.630785,0.230998,0
r1,1,0.648242,0.208124,0
v1,1,0.668618,0.183223,0
p4,1,0.670032,0.181565,0
v2,1,0.672502,0.178689,0
a5,1,0.69486,0.153875,0
d2,1,0.730728,0.118444,0
s4,1,0.740544,0.109649,0
b3,1,0.750586,0.10104,0
b2,1,0.750586,0.10104,0
p9,1,0.777914,0.079545,0
s2,1,0.778935,0.078796,0
d1,1,0.800648,0.063761,0
d4,1,0.808953,0.058456,0
r2,1,0.864217,0.029244,0
a1,1,0.866252,0.028366,0
n5,1,0.870413,0.026613,0
d5,1,0.895555,0.017234,0
p5,1,0.904772,0.014313,0
n1,1,0.937714,0.006106,0
v3,1,0.951294,0.003731,0
a4,1,0.975389,0.000952,0
s7,1,0.977477,0.000797,0
