Feature,DoF,P Value,Chi Square,Is Significant
a1,1,9.4e-05,15.249489,1
b2,1,0.000206,13.780051,1
b3,1,0.000206,13.780051,1
s8,1,0.00068,11.542858,1
a2,1,0.000798,11.246045,1
p5,1,0.002127,9.436193,1
d2,1,0.003954,8.304973,1
v3,1,0.004676,8.000592,1
s3,1,0.007392,7.175143,1
a4,1,0.009933,6.646936,1
s7,1,0.012137,6.290784,0
p12,1,0.013564,6.094039,0
s2,1,0.019419,5.463429,0
d1,1,0.020593,5.360946,0
v1,1,0.03152,4.624395,0
p3,1,0.04027,4.206461,0
u1,1,0.05215,3.770945,0
p4,1,0.076239,3.143306,0
s6,1,0.081838,3.028013,0
a5,1,0.123542,2.371838,0
a8,1,0.127183,2.326561,0
p6,1,0.180437,1.794021,0
v2,1,0.216538,1.527167,0
s1,1,0.297376,1.085924,0
s4,1,0.31155,1.024093,0
p8,1,0.32001,0.988906,0
d3,1,0.342616,0.900619,0
n4,1,0.521026,0.411863,0
a7,1,0.560868,0.338203,0
a6,1,0.613928,0.254495,0
b4,1,0.700832,0.147607,0
r1,1,0.71426,0.13406,0
p7,1,0.732679,0.116666,0
p2,1,0.826675,0.047947,0
p1,1,0.8641,0.029295,0
d5,1,0.871936,0.025985,0
b5,1,0.954502,0.003255,0
s5,1,0.973979,0.001064,0
