Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.9e-05,18.33126,[493 288] ; [459 412],[450.06779661 330.93220339] ; [501.93220339 369.06779661],1
p8,1,2.8e-05,17.578091,[436 334] ; [399 464],[393.72320882 376.27679118] ; [441.27679118 421.72320882],1
p9,1,5.7e-05,16.200904,[669 104] ; [680 181],[638.1744186 134.8255814] ; [710.8255814 150.1744186],1
p7,1,6.9e-05,15.826418,[522 244] ; [501 354],[483.41640962 282.58359038] ; [539.58359038 315.41640962],1
p10,1,0.000185,13.975792,[641 133] ; [651 214],[610.13300793 163.86699207] ; [681.86699207 183.13300793],1
p3,1,0.000969,10.886106,[403 380] ; [379 495],[369.52685576 413.47314424] ; [412.47314424 461.52685576],1
p11,1,0.001138,10.587767,[632 152] ; [648 229],[604.16616496 179.83383504] ; [675.83383504 201.16616496],0
p6,1,0.00264,9.040837,[299 472] ; [273 589],[270.06246173 500.93753827] ; [301.93753827 560.06246173],0
p12,1,0.034438,4.472839,[ 59 719] ; [ 44 826],[ 48.625 729.375] ; [ 54.375 815.625],0
p1,1,0.078315,3.099526,[ 68 713] ; [ 56 816],[ 58.58681186 722.41318814] ; [ 65.41318814 806.58681186],0
b1,1,0.407316,0.686621,[292 492] ; [344 533],[300.19506321 483.80493679] ; [335.80493679 541.19506321],0
