Feature,DoF,P Value,Chi Square,Is Significant
r3,1,0.002028,9.523672,1
p9,1,0.003625,8.462836,1
n6,1,0.007736,7.093542,1
r4,1,0.019098,5.492517,0
v4,1,0.035467,4.422544,0
d2,1,0.050812,3.814463,0
a1,1,0.059824,3.542247,0
v2,1,0.075857,3.15151,0
a3,1,0.078341,3.098984,0
r2,1,0.0819,3.026781,0
a7,1,0.088516,2.901161,0
p2,1,0.099217,2.718087,0
d3,1,0.101709,2.678539,0
n1,1,0.104929,2.62898,0
a4,1,0.105299,2.623398,0
a6,1,0.128529,2.310181,0
b5,1,0.161753,1.957765,0
p3,1,0.236028,1.404162,0
p6,1,0.285306,1.141639,0
u3,1,0.313464,1.016026,0
s8,1,0.319195,0.992243,0
p12,1,0.324012,0.972684,0
s7,1,0.332158,0.940468,0
s2,1,0.357465,0.84678,0
s3,1,0.369224,0.806276,0
d5,1,0.378681,0.774979,0
s1,1,0.384564,0.756061,0
p8,1,0.387987,0.745241,0
v3,1,0.419393,0.652014,0
u2,1,0.423647,0.640177,0
b2,1,0.426991,0.630994,0
b3,1,0.426991,0.630994,0
a2,1,0.437459,0.602939,0
s6,1,0.543982,0.368208,0
d1,1,0.558952,0.341522,0
v1,1,0.575805,0.313066,0
b4,1,0.589683,0.29084,0
d4,1,0.618025,0.248654,0
s5,1,0.644258,0.213217,0
u4,1,0.664648,0.187927,0
p7,1,0.679156,0.171077,0
n2,1,0.681497,0.168446,0
r1,1,0.68874,0.160453,0
n5,1,0.70251,0.145874,0
a8,1,0.73593,0.113736,0
a5,1,0.743143,0.107384,0
p5,1,0.74564,0.105231,0
s4,1,0.832735,0.044604,0
n4,1,0.874669,0.024879,0
p4,1,0.878005,0.023562,0
u1,1,0.942097,0.005276,0
n3,1,0.957193,0.002881,0
p1,1,0.991948,0.000102,0
