Feature,DoF,P Value,Chi Square,Is Significant
p3,1,0.032348,4.579964,0
n5,1,0.067777,3.336044,0
a1,1,0.129316,2.300701,0
a3,1,0.134346,2.241554,0
p4,1,0.13438,2.241159,0
p7,1,0.137302,2.207944,0
n1,1,0.15561,2.016374,0
r2,1,0.177291,1.820187,0
n4,1,0.178934,1.806453,0
p8,1,0.180459,1.793837,0
b5,1,0.186384,1.745968,0
d3,1,0.222254,1.489761,0
a5,1,0.228903,1.447664,0
a7,1,0.234402,1.413949,0
u2,1,0.238702,1.38824,0
a4,1,0.282372,1.155639,0
p9,1,0.2844,1.145942,0
p5,1,0.291132,1.11438,0
u4,1,0.312585,1.019721,0
s4,1,0.338966,0.91434,0
s3,1,0.351628,0.867574,0
d2,1,0.417172,0.658269,0
s8,1,0.4235,0.640584,0
p6,1,0.436281,0.606045,0
u3,1,0.481997,0.494341,0
v4,1,0.520815,0.412278,0
a2,1,0.549757,0.357753,0
s7,1,0.559146,0.341185,0
v2,1,0.596944,0.27963,0
n6,1,0.621532,0.243721,0
d5,1,0.664198,0.188465,0
v1,1,0.716449,0.13192,0
p2,1,0.719516,0.128957,0
s6,1,0.74249,0.10795,0
a8,1,0.753557,0.098566,0
n2,1,0.755112,0.097286,0
s5,1,0.785781,0.073872,0
a6,1,0.822933,0.050075,0
s2,1,0.82465,0.049092,0
s1,1,0.829086,0.046602,0
b4,1,0.837339,0.042147,0
r4,1,0.842934,0.03926,0
n3,1,0.850928,0.035319,0
p12,1,0.863846,0.029406,0
d1,1,0.865011,0.0289,0
p1,1,0.867679,0.027758,0
d4,1,0.88906,0.019459,0
r3,1,0.889921,0.019156,0
v3,1,0.902213,0.015096,0
u1,1,0.914683,0.011478,0
b3,1,0.944422,0.00486,0
b2,1,0.944422,0.00486,0
r1,1,0.992195,9.6e-05,0
