Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4e-06,21.130428,[26 82] ; [13  3],[33.96774194 74.03225806] ; [ 5.03225806 10.96774194],1
p12,1,4.3e-05,16.719318,[  2 109] ; [ 4 12],[  5.24409449 105.75590551] ; [ 0.75590551 15.24409449],1
d1,1,0.000158,14.270038,[48 63] ; [15  1],[55.06299213 55.93700787] ; [7.93700787 8.06299213],1
b3,1,0.000265,13.301967,[21 46] ; [13  3],[27.44578313 39.55421687] ; [6.55421687 9.44578313],1
b2,1,0.000265,13.301967,[21 46] ; [13  3],[27.44578313 39.55421687] ; [6.55421687 9.44578313],1
p5,1,0.00035,12.783336,[  6 104] ; [ 5 10],[  9.68 100.32] ; [ 1.32 13.68],1
s7,1,0.000506,12.092664,[30 70] ; [12  4],[36.20689655 63.79310345] ; [ 5.79310345 10.20689655],1
u1,1,0.000554,11.926009,[12 99] ; [7 9],[16.60629921 94.39370079] ; [ 2.39370079 13.60629921],1
v1,1,0.000758,11.342227,[40 71] ; [11  2],[45.65322581 65.34677419] ; [5.34677419 7.65322581],1
v3,1,0.000815,11.206411,[29 77] ; [9 3],[34.13559322 71.86440678] ; [3.86440678 8.13559322],1
a2,1,0.001014,10.801768,[21 90] ; [9 7],[26.22047244 84.77952756] ; [ 3.77952756 12.22047244],0
d2,1,0.00148,10.102738,[49 60] ; [14  2],[54.936 54.064] ; [8.064 7.936],0
s2,1,0.001518,10.056198,[37 73] ; [12  4],[42.77777778 67.22222222] ; [6.22222222 9.77777778],0
s3,1,0.002487,9.150349,[45 65] ; [13  3],[50.63492063 59.36507937] ; [7.36507937 8.63492063],0
a3,1,0.003082,8.758212,[61 50] ; [15  1],[66.42519685 44.57480315] ; [9.57480315 6.42519685],0
n5,1,0.003082,8.758212,[61 50] ; [15  1],[66.42519685 44.57480315] ; [9.57480315 6.42519685],0
s6,1,0.003999,8.284465,[53 55] ; [14  2],[58.35483871 49.64516129] ; [8.64516129 7.35483871],0
n6,1,0.006418,7.429044,[65 46] ; [15  1],[69.92125984 41.07874016] ; [10.07874016  5.92125984],0
v2,1,0.007197,7.223118,[41 67] ; [10  3],[45.52066116 62.47933884] ; [5.47933884 7.52066116],0
a4,1,0.012842,6.190798,[46 64] ; [12  4],[50.63492063 59.36507937] ; [7.36507937 8.63492063],0
p8,1,0.020558,5.363841,[30 79] ; [9 7],[34.008 74.992] ; [ 4.992 11.008],0
a5,1,0.021876,5.255594,[64 47] ; [14  2],[68.17322835 42.82677165] ; [9.82677165 6.17322835],0
p4,1,0.028023,4.826659,[44 67] ; [11  5],[48.07086614 62.92913386] ; [6.92913386 9.07086614],0
d3,1,0.031601,4.620024,[58 52] ; [13  3],[61.98412698 48.01587302] ; [9.01587302 6.98412698],0
r1,1,0.046453,3.965108,[69 42] ; [14  2],[72.54330709 38.45669291] ; [10.45669291  5.54330709],0
p3,1,0.060721,3.517583,[42 69] ; [10  6],[45.4488189 65.5511811] ; [6.5511811 9.4488189],0
a6,1,0.06114,3.506198,[55 55] ; [12  4],[58.49206349 51.50793651] ; [8.50793651 7.49206349],0
n4,1,0.091235,2.852443,[74 37] ; [14  2],[76.91338583 34.08661417] ; [11.08661417  4.91338583],0
d5,1,0.127757,2.319545,[76 34] ; [14  2],[78.57142857 31.42857143] ; [11.42857143  4.57142857],0
p6,1,0.139329,2.185352,[28 80] ; [7 9],[30.48387097 77.51612903] ; [ 4.51612903 11.48387097],0
v4,1,0.183407,1.769797,[88 22] ; [15  1],[89.92063492 20.07936508] ; [13.07936508  2.92063492],0
a1,1,0.229473,1.444125,[ 10 101] ; [ 3 13],[11.36220472 99.63779528] ; [ 1.63779528 14.36220472],0
p7,1,0.232606,1.424852,[48 62] ; [9 6],[50.16 59.84] ; [6.84 8.16],0
a7,1,0.24093,1.375142,[59 52] ; [11  5],[61.18110236 49.81889764] ; [8.81889764 7.18110236],0
p2,1,0.24093,1.375142,[59 52] ; [11  5],[61.18110236 49.81889764] ; [8.81889764 7.18110236],0
a8,1,0.295352,1.095065,[13 91] ; [ 3 10],[14.22222222 89.77777778] ; [ 1.77777778 11.22222222],0
n1,1,0.297147,1.086957,[22 24] ; [3 1],[23. 23.] ; [2. 2.],0
s4,1,0.357321,0.847288,[17 92] ; [ 1 14],[15.82258065 93.17741935] ; [ 2.17741935 12.82258065],0
s5,1,0.393609,0.727763,[20 86] ; [ 4 10],[21.2 84.8] ; [ 2.8 11.2],0
n3,1,0.630672,0.23115,[28 17] ; [2 2],[27.55102041 17.44897959] ; [2.44897959 1.55102041],0
n2,1,0.73538,0.114229,[27 19] ; [2 2],[26.68 19.32] ; [2.32 1.68],0
b4,1,0.861025,0.030649,[65 46] ; [9 7],[64.67716535 46.32283465] ; [9.32283465 6.67716535],0
p1,1,0.882013,0.022028,[  8 102] ; [ 1 15],[  7.85714286 102.14285714] ; [ 1.14285714 14.85714286],0
s1,1,0.889057,0.01946,[  8 103] ; [ 1 15],[  7.86614173 103.13385827] ; [ 1.13385827 14.86614173],0
b5,1,0.924655,0.008944,[75 36] ; [11  5],[75.16535433 35.83464567] ; [10.83464567  5.16535433],0
