Feature,DoF,P Value,Chi Square,Is Significant
p12,1,0.0,26.205677,1
s8,1,6e-06,20.375696,1
p5,1,1.8e-05,18.426118,1
b2,1,2.1e-05,18.060641,1
b3,1,2.1e-05,18.060641,1
v3,1,0.000418,12.449105,1
a2,1,0.001162,10.549304,0
s7,1,0.00152,10.053907,0
s3,1,0.002012,9.538181,0
v1,1,0.002026,9.526005,0
p4,1,0.00252,9.125973,0
p8,1,0.002751,8.965391,0
d1,1,0.002794,8.937604,0
p3,1,0.003033,8.787361,0
s2,1,0.004467,8.083396,0
s6,1,0.009945,6.64473,0
d2,1,0.012261,6.272681,0
a4,1,0.014557,5.969327,0
v2,1,0.021044,5.323182,0
u1,1,0.026203,4.942573,0
a5,1,0.027121,4.883066,0
p6,1,0.032093,4.593499,0
a1,1,0.033974,4.496034,0
a8,1,0.054117,3.70909,0
p7,1,0.087394,2.92174,0
p2,1,0.090923,2.857951,0
n4,1,0.09607,2.769603,0
d3,1,0.123085,2.377622,0
a6,1,0.180782,1.791183,0
r1,1,0.225204,1.4709,0
s4,1,0.248032,1.334353,0
d5,1,0.411203,0.675319,0
s5,1,0.600456,0.274309,0
a7,1,0.872057,0.025936,0
p1,1,0.908601,0.01318,0
b5,1,0.923636,0.009188,0
b4,1,0.929317,0.007868,0
b1,1,0.933086,0.00705,0
s1,1,0.972867,0.001157,0
