Feature,DoF,P Value,Chi Square,Is Significant
a8,1,0.004462,8.085396,0
b2,1,0.032088,4.593778,0
b3,1,0.032088,4.593778,0
a1,1,0.061387,3.499503,0
v3,1,0.082847,3.00814,0
a2,1,0.114533,2.490534,0
s8,1,0.130985,2.280786,0
s7,1,0.141693,2.159478,0
u1,1,0.141698,2.159421,0
d3,1,0.157904,1.994184,0
d2,1,0.176348,1.828132,0
b5,1,0.268015,1.226876,0
d1,1,0.323567,0.974473,0
s3,1,0.338506,0.916082,0
p5,1,0.35423,0.858245,0
v2,1,0.382846,0.761544,0
a4,1,0.466478,0.530306,0
d5,1,0.484146,0.489511,0
s2,1,0.512998,0.427947,0
p4,1,0.522804,0.408358,0
a7,1,0.527594,0.399023,0
a6,1,0.568753,0.324773,0
p8,1,0.585531,0.297377,0
p12,1,0.615429,0.252344,0
p3,1,0.644504,0.2129,0
r1,1,0.657178,0.196969,0
d4,1,0.666033,0.186277,0
p2,1,0.673918,0.177053,0
s5,1,0.72516,0.123602,0
b4,1,0.762787,0.091097,0
p6,1,0.77926,0.078559,0
n4,1,0.780077,0.077963,0
p7,1,0.825497,0.048611,0
p10,1,0.880674,0.022534,0
