Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,9.1e-05,15.313206,[550  79] ; [2 4],[546.78425197  82.21574803] ; [5.21574803 0.78425197],1
b1,1,0.012902,6.182546,[219 413] ; [5 1],[221.89341693 410.10658307] ; [2.10658307 3.89341693],0
p7,1,0.018902,5.510564,[424 191] ; [1 4],[421.57258065 193.42741935] ; [3.42741935 1.57258065],0
u1,1,0.04064,4.190981,[112 520] ; [3 3],[113.9184953 518.0815047] ; [1.0815047 4.9184953],0
v4,1,0.097901,2.739404,[602  23] ; [5 1],[601.22820919  23.77179081] ; [5.77179081 0.22820919],0
n1,1,0.143795,2.136865,[44 70] ; [3 1],[45.40677966 68.59322034] ; [1.59322034 2.40677966],0
p9,1,0.189568,1.720971,[600  31] ; [5 1],[599.30141287  31.69858713] ; [5.69858713 0.30141287],0
a4,1,0.274222,1.195503,[280 351] ; [4 2],[281.32496075 349.67503925] ; [2.67503925 3.32496075],0
a6,1,0.292747,1.106947,[440 190] ; [3 3],[438.82075472 191.17924528] ; [4.17924528 1.82075472],0
p3,1,0.297819,1.083935,[344 286] ; [2 4],[342.73584906 287.26415094] ; [3.26415094 2.73584906],0
v3,1,0.332576,0.938843,[251 355] ; [1 4],[249.93780687 356.06219313] ; [2.06219313 2.93780687],0
s7,1,0.449273,0.572486,[311 297] ; [4 2],[311.9218241 296.0781759] ; [3.0781759 2.9218241],0
s6,1,0.452003,0.565624,[427 191] ; [5 1],[427.84615385 190.15384615] ; [4.15384615 1.84615385],0
p4,1,0.453531,0.561813,[407 222] ; [3 3],[406.12598425 222.87401575] ; [3.87401575 2.12598425],0
s2,1,0.488537,0.479747,[328 297] ; [4 2],[328.84310618 296.15689382] ; [3.15689382 2.84310618],0
p1,1,0.542536,0.37086,[ 59 571] ; [1 5],[ 59.43396226 570.56603774] ; [0.56603774 5.43396226],0
p6,1,0.548431,0.360135,[237 386] ; [3 3],[237.71065183 385.28934817] ; [2.28934817 3.71065183],0
a2,1,0.568648,0.32495,[148 484] ; [2 4],[148.58934169 483.41065831] ; [1.41065831 4.58934169],0
b2,1,0.6181,0.248547,[157 236] ; [3 3],[157.59398496 235.40601504] ; [2.40601504 3.59398496],0
b3,1,0.6181,0.248547,[157 236] ; [3 3],[157.59398496 235.40601504] ; [2.40601504 3.59398496],0
v1,1,0.635702,0.224408,[348 262] ; [4 2],[348.57142857 261.42857143] ; [3.42857143 2.57142857],0
p8,1,0.641252,0.217108,[370 253] ; [3 3],[369.44197138 253.55802862] ; [3.55802862 2.44197138],0
s3,1,0.659537,0.194086,[358 262] ; [4 2],[358.53035144 261.46964856] ; [3.46964856 2.53035144],0
b4,1,0.672506,0.178685,[370 262] ; [3 3],[369.49216301 262.50783699] ; [3.50783699 2.49216301],0
b5,1,0.682052,0.167825,[369 263] ; [4 2],[369.49216301 262.50783699] ; [3.50783699 2.49216301],0
a5,1,0.691211,0.157777,[483 149] ; [5 1],[483.41065831 148.58934169] ; [4.58934169 1.41065831],0
v2,1,0.70879,0.139489,[356 246] ; [4 2],[356.44736842 245.55263158] ; [3.55263158 2.44736842],0
n6,1,0.712416,0.135875,[554  74] ; [5 1],[553.70977918  74.29022082] ; [5.29022082 0.70977918],0
u2,1,0.715101,0.133235,[107  64] ; [1 1],[106.75144509  64.24855491] ; [1.24855491 0.75144509],0
a7,1,0.72559,0.123199,[461 170] ; [4 2],[460.62009419 170.37990581] ; [4.37990581 1.62009419],0
a3,1,0.732598,0.11674,[460 171] ; [4 2],[459.62951334 171.37048666] ; [4.37048666 1.62951334],0
u3,1,0.790137,0.070826,[102  70] ; [1 1],[101.81609195  70.18390805] ; [1.18390805 0.81609195],0
n5,1,0.864884,0.028955,[506 122] ; [5 1],[506.16403785 121.83596215] ; [4.83596215 1.16403785],0
d3,1,0.884469,0.021114,[438 193] ; [4 2],[437.83673469 193.16326531] ; [4.16326531 1.83673469],0
s8,1,0.888679,0.019593,[296 332] ; [3 3],[296.170347 331.829653] ; [2.829653 3.170347],0
n3,1,0.953134,0.003454,[84 30] ; [3 1],[84.05084746 29.94915254] ; [2.94915254 1.05084746],0
n2,1,0.976173,0.000892,[87 28] ; [3 1],[86.97478992 28.02521008] ; [3.02521008 0.97478992],0
