Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,1.6e-05,18.600423,[12  1] ; [ 77 155],[4.72244898 8.27755102] ; [ 84.27755102 147.72244898],1
b3,1,1.6e-05,18.600423,[12  1] ; [ 77 155],[4.72244898 8.27755102] ; [ 84.27755102 147.72244898],1
p12,1,0.000258,13.349442,[4 9] ; [ 21 357],[ 0.83120205 12.16879795] ; [ 24.16879795 353.83120205],1
s8,1,0.000307,13.0245,[12  1] ; [159 221],[5.65648855 7.34351145] ; [165.34351145 214.65648855],1
v3,1,0.001068,10.706446,[8 1] ; [134 242],[3.31948052 5.68051948] ; [138.68051948 237.31948052],0
a2,1,0.001198,10.493888,[8 5] ; [ 87 298],[3.10301508 9.89698492] ; [ 91.89698492 293.10301508],0
p5,1,0.00196,9.586744,[5 7] ; [ 44 335],[ 1.50383632 10.49616368] ; [ 47.49616368 331.50383632],0
d1,1,0.004357,8.128724,[12  1] ; [201 184],[6.95728643 6.04271357] ; [206.04271357 178.95728643],0
s3,1,0.00609,7.523393,[12  1] ; [204 175],[7.16326531 5.83673469] ; [208.83673469 170.16326531],0
s7,1,0.007318,7.193131,[11  2] ; [167 190],[6.25405405 6.74594595] ; [171.74594595 185.25405405],0
s2,1,0.009472,6.731511,[11  2] ; [183 198],[6.40101523 6.59898477] ; [187.59898477 193.40101523],0
v1,1,0.011943,6.31931,[9 1] ; [188 190],[5.07731959 4.92268041] ; [191.92268041 186.07731959],0
d2,1,0.014431,5.984671,[11  2] ; [192 191],[6.66414141 6.33585859] ; [196.33585859 186.66414141],0
u1,1,0.020708,5.351203,[5 8] ; [ 57 328],[ 2.02512563 10.97487437] ; [ 59.97487437 325.02512563],0
s6,1,0.023283,5.147279,[12  1] ; [228 144],[8.1038961 4.8961039] ; [231.8961039 140.1038961],0
a4,1,0.032114,4.592391,[10  3] ; [179 204],[6.20454545 6.79545455] ; [182.79545455 200.20454545],0
p4,1,0.047016,3.94481,[11  2] ; [217 164],[7.52284264 5.47715736] ; [220.47715736 160.52284264],0
v2,1,0.048418,3.895424,[8 2] ; [179 191],[4.92105263 5.07894737] ; [182.07894737 187.92105263],0
a1,1,0.049344,3.863626,[ 3 10] ; [ 30 355],[ 1.07788945 11.92211055] ; [ 31.92211055 353.07788945],0
p3,1,0.074913,3.17194,[10  3] ; [197 183],[6.84732824 6.15267176] ; [200.15267176 179.84732824],0
d3,1,0.081785,3.029074,[11  2] ; [232 150],[7.99746835 5.00253165] ; [235.00253165 146.99746835],0
a5,1,0.098734,2.72588,[12  1] ; [275 110],[9.37437186 3.62562814] ; [277.62562814 107.37437186],0
p8,1,0.115883,2.472102,[9 4] ; [177 199],[6.2159383 6.7840617] ; [179.7840617 196.2159383],0
a8,1,0.122096,2.390226,[3 7] ; [ 47 313],[1.35135135 8.64864865] ; [ 48.64864865 311.35135135],0
p6,1,0.206813,1.593596,[7 6] ; [137 237],[4.8372093 8.1627907] ; [139.1627907 234.8372093],0
a6,1,0.220839,1.498911,[10  3] ; [230 153],[7.87878788 5.12121212] ; [232.12121212 150.87878788],0
r1,1,0.397283,0.716535,[11  2] ; [285  99],[9.69269521 3.30730479] ; [286.30730479  97.69269521],0
s4,1,0.404661,0.694433,[ 1 12] ; [ 62 318],[ 2.08396947 10.91603053] ; [ 60.91603053 319.08396947],0
p2,1,0.426394,0.632625,[11  2] ; [284  95],[9.78316327 3.21683673] ; [285.21683673  93.78316327],0
n4,1,0.442842,0.588907,[11  2] ; [290  95],[9.83165829 3.16834171] ; [291.16834171  93.83165829],0
d5,1,0.457229,0.55267,[11  2] ; [289  93],[9.87341772 3.12658228] ; [290.12658228  91.87341772],0
s1,1,0.585165,0.297959,[ 1 12] ; [ 17 363],[ 0.59541985 12.40458015] ; [ 17.40458015 362.59541985],0
a7,1,0.642998,0.214842,[9 4] ; [241 142],[8.20707071 4.79292929] ; [241.79292929 141.20707071],0
p7,1,0.648578,0.207698,[9 4] ; [237 139],[8.22107969 4.77892031] ; [237.77892031 138.22107969],0
b5,1,0.752674,0.099298,[8 5] ; [220 165],[7.44723618 5.55276382] ; [220.55276382 164.44723618],0
s5,1,0.758857,0.094238,[4 7] ; [118 251],[3.53157895 7.46842105] ; [118.46842105 250.53157895],0
b4,1,0.798756,0.065003,[7 6] ; [221 164],[7.44723618 5.55276382] ; [220.55276382 164.44723618],0
p1,1,0.902608,0.014974,[ 1 12] ; [ 33 348],[ 1.12182741 11.87817259] ; [ 32.87817259 348.12182741],0
