Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.196706,1.666667,[2 2] ; [13  3],[3. 1.] ; [12.  4.],0
b2,1,0.196706,1.666667,[2 2] ; [13  3],[3. 1.] ; [12.  4.],0
d3,1,0.196706,1.666667,[2 2] ; [13  3],[3. 1.] ; [12.  4.],0
b4,1,0.263552,1.25,[1 3] ; [9 7],[2. 2.] ; [8. 8.],0
a2,1,0.263552,1.25,[1 3] ; [9 7],[2. 2.] ; [8. 8.],0
a3,1,0.263552,1.25,[3 1] ; [15  1],[3.6 0.4] ; [14.4  1.6],0
p6,1,0.263552,1.25,[3 1] ; [7 9],[2. 2.] ; [8. 8.],0
p1,1,0.263552,1.25,[1 3] ; [ 1 15],[0.4 3.6] ; [ 1.6 14.4],0
d1,1,0.263552,1.25,[3 1] ; [15  1],[3.6 0.4] ; [14.4  1.6],0
v2,1,0.301409,1.067949,[2 2] ; [10  3],[2.82352941 1.17647059] ; [9.17647059 3.82352941],0
a4,1,0.329114,0.952381,[2 2] ; [12  4],[2.8 1.2] ; [11.2  4.8],0
a6,1,0.329114,0.952381,[2 2] ; [12  4],[2.8 1.2] ; [11.2  4.8],0
b5,1,0.481924,0.494505,[2 2] ; [11  5],[2.6 1.4] ; [10.4  5.6],0
b1,1,0.493563,0.46875,[3 1] ; [9 7],[2.4 1.6] ; [9.6 6.4],0
p8,1,0.493563,0.46875,[3 1] ; [9 7],[2.4 1.6] ; [9.6 6.4],0
u1,1,0.493563,0.46875,[1 3] ; [7 9],[1.6 2.4] ; [6.4 9.6],0
d2,1,0.531168,0.392157,[3 1] ; [14  2],[3.4 0.6] ; [13.6  2.4],0
p3,1,0.648077,0.208333,[2 2] ; [10  6],[2.4 1.6] ; [9.6 6.4],0
v1,1,0.659118,0.194597,[3 1] ; [11  2],[3.29411765 0.70588235] ; [10.70588235  2.29411765],0
a8,1,0.711531,0.136752,[1 2] ; [ 3 10],[0.75 2.25] ; [3.25 9.75],0
p7,1,0.718904,0.129545,[2 2] ; [9 6],[2.31578947 1.68421053] ; [8.68421053 6.31578947],0
s8,1,0.779855,0.078125,[3 1] ; [13  3],[3.2 0.8] ; [12.8  3.2],0
p2,1,0.80725,0.059524,[3 1] ; [11  5],[2.8 1.2] ; [11.2  4.8],0
a7,1,0.80725,0.059524,[3 1] ; [11  5],[2.8 1.2] ; [11.2  4.8],0
s5,1,0.888153,0.01978,[1 3] ; [ 4 10],[1.11111111 2.88888889] ; [ 3.88888889 10.11111111],0
