Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.000604,11.76418,[ 99 386] ; [9 7],[104.5508982 380.4491018] ; [ 3.4491018 12.5508982],1
d2,1,0.000775,11.299784,[216 265] ; [14  2],[222.59557344 258.40442656] ; [7.40442656 8.59557344],1
b2,1,0.000892,11.039296,[119 184] ; [13  3],[125.37931034 177.62068966] ; [6.62068966 9.37931034],1
b3,1,0.000892,11.039296,[119 184] ; [13  3],[125.37931034 177.62068966] ; [6.62068966 9.37931034],1
a1,1,0.001455,10.134766,[ 16 469] ; [ 3 13],[ 18.39321357 466.60678643] ; [ 0.60678643 15.39321357],0
s8,1,0.00206,9.495665,[204 277] ; [13  3],[210.01408451 270.98591549] ; [6.98591549 9.01408451],0
d1,1,0.00415,8.216891,[281 204] ; [15  1],[286.54690619 198.45309381] ; [9.45309381 6.54690619],0
u1,1,0.00571,7.639542,[ 82 403] ; [7 9],[ 86.15768463 398.84231537] ; [ 2.84231537 13.15768463],0
a4,1,0.006007,7.548148,[196 287] ; [12  4],[201.33066132 281.66933868] ; [6.66933868 9.33066132],0
p5,1,0.007407,7.171635,[ 52 426] ; [ 5 10],[ 55.26572008 422.73427992] ; [ 1.73427992 13.26572008],0
v3,1,0.015599,5.847535,[187 278] ; [9 3],[191.06918239 273.93081761] ; [4.93081761 7.06918239],0
v1,1,0.031041,4.65072,[256 214] ; [11  2],[259.8136646 210.1863354] ; [7.1863354 5.8136646],0
s3,1,0.032635,4.5648,[256 216] ; [13  3],[260.18032787 211.81967213] ; [8.81967213 7.18032787],0
s7,1,0.03268,4.562442,[223 243] ; [12  4],[227.19917012 238.80082988] ; [7.80082988 8.19917012],0
a3,1,0.032801,4.55613,[333 151] ; [15  1],[336.864 147.136] ; [11.136  4.864],0
p2,1,0.034811,4.454446,[418  62] ; [11  5],[415.16129032  64.83870968] ; [13.83870968  2.16129032],0
s2,1,0.03881,4.269146,[233 245] ; [12  4],[237.06477733 240.93522267] ; [7.93522267 8.06477733],0
p12,1,0.044384,4.041883,[ 46 433] ; [ 4 12],[ 48.38383838 430.61616162] ; [ 1.61616162 14.38383838],0
n1,1,0.045428,4.002695,[30 76] ; [3 1],[31.8 74.2] ; [1.2 2.8],0
n5,1,0.086476,2.938776,[358 119] ; [15  1],[360.89452333 116.10547667] ; [12.10547667  3.89452333],0
s6,1,0.090371,2.867744,[321 155] ; [14  2],[324.10569106 151.89430894] ; [10.89430894  5.10569106],0
a5,1,0.156039,2.012196,[345 139] ; [14  2],[347.512 136.488] ; [11.488  4.512],0
v2,1,0.198529,1.653161,[277 191] ; [10  3],[279.24324324 188.75675676] ; [7.75675676 5.24324324],0
p3,1,0.200416,1.639341,[223 259] ; [10  6],[225.51405622 256.48594378] ; [7.48594378 8.51405622],0
n2,1,0.206128,1.598417,[82 24] ; [2 2],[80.94545455 25.05454545] ; [3.05454545 0.94545455],0
n3,1,0.291998,1.110384,[79 28] ; [2 2],[78.08108108 28.91891892] ; [2.91891892 1.08108108],0
s4,1,0.306484,1.045767,[ 79 398] ; [ 1 14],[ 77.56097561 399.43902439] ; [ 2.43902439 12.56097561],0
n4,1,0.324365,0.971265,[372 111] ; [14  2],[373.62324649 109.37675351] ; [12.37675351  3.62324649],0
d3,1,0.339523,0.912233,[339 144] ; [13  3],[340.71342685 142.28657315] ; [11.28657315  4.71342685],0
a8,1,0.340606,0.908148,[ 60 376] ; [ 3 10],[ 61.17594655 374.82405345] ; [ 1.82405345 11.17594655],0
s1,1,0.361503,0.832663,[ 12 463] ; [ 1 15],[ 12.57637475 462.42362525] ; [ 0.42362525 15.57637475],0
p6,1,0.41378,0.667913,[161 314] ; [7 9],[162.52545825 312.47454175] ; [ 5.47454175 10.52545825],0
p4,1,0.434649,0.61037,[282 196] ; [11  5],[283.51012146 194.48987854] ; [9.48987854 6.51012146],0
r1,1,0.443783,0.58648,[385  98] ; [14  2],[386.20641283  96.79358717] ; [12.79358717  3.20641283],0
b5,1,0.522359,0.409233,[295 190] ; [11  5],[296.22754491 188.77245509] ; [9.77245509 6.22754491],0
d5,1,0.523892,0.406225,[393  91] ; [14  2],[393.976  90.024] ; [13.024  2.976],0
p10,1,0.540347,0.374898,[413  64] ; [13  3],[412.17444219  64.82555781] ; [13.82555781  2.17444219],0
n6,1,0.570971,0.32106,[427  51] ; [15  1],[427.68421053  50.31578947] ; [14.31578947  1.68421053],0
a7,1,0.602204,0.271684,[360 123] ; [11  5],[359.10420842 123.89579158] ; [11.89579158  4.10420842],0
v4,1,0.646658,0.21014,[461  19] ; [15  1],[460.64516129  19.35483871] ; [15.35483871  0.64516129],0
s5,1,0.662062,0.191028,[160 308] ; [ 4 10],[159.23651452 308.76348548] ; [4.76348548 9.23651452],0
a6,1,0.665931,0.186399,[338 145] ; [12  4],[338.77755511 144.22244489] ; [11.22244489  4.77755511],0
p1,1,0.707791,0.140493,[ 43 437] ; [ 1 15],[ 42.58064516 437.41935484] ; [ 1.41935484 14.58064516],0
b4,1,0.73779,0.112078,[293 192] ; [9 7],[292.35528942 192.64471058] ; [9.64471058 6.35528942],0
p7,1,0.807245,0.059527,[294 172] ; [9 6],[293.55093555 172.44906445] ; [9.44906445 5.55093555],0
p8,1,0.859537,0.031316,[256 218] ; [9 7],[256.34693878 217.65306122] ; [8.65306122 7.34693878],0
