Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,71.029656,[469 113] ; [122 115],[419.97802198 162.02197802] ; [171.02197802  65.97802198],1
p9,1,0.0,70.364496,[497  84] ; [137  97],[451.96809816 129.03190184] ; [182.03190184  51.96809816],1
r3,1,0.0,46.228945,[558  31] ; [192  50],[531.58844765  57.41155235] ; [218.41155235  23.58844765],1
n6,1,0.0,42.175042,[497  88] ; [156  85],[462.47578692 122.52421308] ; [190.52421308  50.47578692],1
p2,1,0.0,41.937945,[485 104] ; [149  94],[448.82932692 140.17067308] ; [185.17067308  57.82932692],1
r4,1,0.0,34.263134,[523  71] ; [175  70],[494.17401669  99.82598331] ; [203.82598331  41.17401669],1
p8,1,0.0,30.870871,[295 286] ; [ 71 169],[259.00852619 321.99147381] ; [106.99147381 133.00852619],1
v4,1,2e-06,23.125176,[553  35] ; [203  40],[534.93140794  53.06859206] ; [221.06859206  21.93140794],1
p7,1,0.000173,14.103962,[339 232] ; [107 131],[314.79110012 256.20889988] ; [131.20889988 106.79110012],1
v2,1,0.000239,13.497936,[326 244] ; [101 134],[302.34782609 267.65217391] ; [124.65217391 110.34782609],1
p4,1,0.000506,12.09451,[323 262] ; [101 140],[300.2905569 284.7094431] ; [123.7094431 117.2905569],1
n4,1,0.000698,11.49552,[434 156] ; [150  93],[413.63745498 176.36254502] ; [170.36254502  72.63745498],1
r2,1,0.00103,10.773487,[551  32] ; [211  29],[539.78857837  43.21142163] ; [222.21142163  17.78857837],0
n5,1,0.001273,10.381561,[417 167] ; [145  97],[397.34624697 186.65375303] ; [164.65375303  77.34624697],0
a6,1,0.002143,9.422658,[410 182] ; [142 102],[390.88995215 201.11004785] ; [161.11004785  82.88995215],0
p12,1,0.003099,8.748308,[ 47 540] ; [  6 236],[ 37.52834741 549.47165259] ; [ 15.47165259 226.52834741],0
r1,1,0.004151,8.216564,[461 129] ; [167  76],[444.80192077 145.19807923] ; [183.19807923  59.80192077],0
v1,1,0.005337,7.761563,[297 281] ; [ 99 144],[278.79171742 299.20828258] ; [117.20828258 125.79171742],0
a1,1,0.010037,6.628336,[ 18 576] ; [ 17 228],[ 24.7794994 569.2205006] ; [ 10.2205006 234.7794994],0
s1,1,0.018092,5.587254,[ 21 562] ; [ 18 224],[ 27.56 555.44] ; [ 11.44 230.56],0
s8,1,0.022857,5.179368,[234 356] ; [ 76 167],[219.56782713 370.43217287] ; [ 90.43217287 152.56782713],0
s6,1,0.026862,4.899655,[375 208] ; [134 105],[361.00608273 221.99391727] ; [147.99391727  91.00608273],0
a7,1,0.030642,4.672925,[440 151] ; [163  80],[427.3057554 163.6942446] ; [175.6942446  67.3057554],0
a5,1,0.036863,4.356751,[412 181] ; [152  93],[399.10739857 193.89260143] ; [164.89260143  80.10739857],0
