Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,30.724138,[20 96] ; [13  3],[29. 87.] ; [ 4. 12.],1
p12,1,2e-06,22.880883,[  1 117] ; [ 4 12],[  4.40298507 113.59701493] ; [ 0.59701493 15.40298507],1
d1,1,0.000192,13.911017,[52 66] ; [15  1],[59. 59.] ; [8. 8.],1
p5,1,0.000198,13.846154,[  6 111] ; [ 5 10],[  9.75 107.25] ; [ 1.25 13.75],1
v1,1,0.000311,13.0,[39 78] ; [11  2],[45. 72.] ; [5. 8.],1
s7,1,0.0004,12.530471,[32 76] ; [12  4],[38.32258065 69.67741935] ; [ 5.67741935 10.32258065],1
v3,1,0.000608,11.752313,[29 80] ; [9 3],[34.23140496 74.76859504] ; [3.76859504 8.23140496],1
b3,1,0.000677,11.550643,[25 47] ; [13  3],[31.09090909 40.90909091] ; [6.90909091 9.09090909],1
b2,1,0.000677,11.550643,[25 47] ; [13  3],[31.09090909 40.90909091] ; [6.90909091 9.09090909],1
s2,1,0.000742,11.381054,[37 80] ; [12  4],[43.10526316 73.89473684] ; [ 5.89473684 10.10526316],1
s6,1,0.001373,10.241379,[52 64] ; [14  2],[58. 58.] ; [8. 8.],0
d2,1,0.002124,9.43918,[54 62] ; [14  2],[59.75757576 56.24242424] ; [8.24242424 7.75757576],0
u1,1,0.002652,9.03237,[ 16 102] ; [7 9],[20.25373134 97.74626866] ; [ 2.74626866 13.25373134],0
v2,1,0.003159,8.713352,[40 75] ; [10  3],[44.921875 70.078125] ; [5.078125 7.921875],0
n6,1,0.003168,8.708012,[64 52] ; [15  1],[69.42424242 46.57575758] ; [9.57575758 6.42424242],0
a2,1,0.003459,8.548002,[26 92] ; [9 7],[30.82089552 87.17910448] ; [ 4.17910448 11.82089552],0
n5,1,0.0038,8.377197,[65 51] ; [15  1],[70.3030303 45.6969697] ; [9.6969697 6.3030303],0
s3,1,0.005662,7.654877,[51 64] ; [13  3],[56.18320611 58.81679389] ; [7.81679389 8.18320611],0
a3,1,0.007085,7.251252,[68 47] ; [15  1],[72.86259542 42.13740458] ; [10.13740458  5.86259542],0
p8,1,0.009653,6.697928,[29 87] ; [9 7],[33.39393939 82.60606061] ; [ 4.60606061 11.39393939],0
a4,1,0.011346,6.410345,[48 68] ; [12  4],[52.72727273 63.27272727] ; [7.27272727 8.72727273],0
p6,1,0.015527,5.855626,[20 94] ; [7 9],[23.67692308 90.32307692] ; [ 3.32307692 12.67692308],0
p4,1,0.017666,5.628927,[44 73] ; [11  5],[48.38345865 68.61654135] ; [6.61654135 9.38345865],0
r1,1,0.029666,4.728555,[69 47] ; [14  2],[72.93939394 43.06060606] ; [10.06060606  5.93939394],0
n4,1,0.029666,4.728555,[69 47] ; [14  2],[72.93939394 43.06060606] ; [10.06060606  5.93939394],0
a5,1,0.033166,4.537193,[71 47] ; [14  2],[74.85074627 43.14925373] ; [10.14925373  5.85074627],0
p3,1,0.034126,4.488363,[41 76] ; [10  6],[44.86466165 72.13533835] ; [6.13533835 9.86466165],0
d3,1,0.066068,3.378101,[67 50] ; [13  3],[70.37593985 46.62406015] ; [9.62406015 6.37593985],0
p7,1,0.071085,3.257784,[42 75] ; [9 6],[45.20454545 71.79545455] ; [5.79545455 9.20454545],0
v4,1,0.093404,2.814706,[87 29] ; [15  1],[89.63636364 26.36363636] ; [12.36363636  3.63636364],0
p2,1,0.12478,2.356267,[57 61] ; [11  5],[59.88059701 58.11940299] ; [8.11940299 7.88059701],0
d5,1,0.129214,2.301923,[81 36] ; [14  2],[83.57142857 33.42857143] ; [11.42857143  4.57142857],0
a6,1,0.139535,2.183081,[65 52] ; [12  4],[67.73684211 49.26315789] ; [9.26315789 6.73684211],0
a8,1,0.174731,1.841875,[11 96] ; [ 3 10],[12.48333333 94.51666667] ; [ 1.51666667 11.48333333],0
s5,1,0.192781,1.696239,[17 97] ; [ 4 10],[18.703125 95.296875] ; [ 2.296875 11.703125],0
a1,1,0.24729,1.338547,[ 11 107] ; [ 3 13],[ 12.32835821 105.67164179] ; [ 1.67164179 14.32835821],0
n1,1,0.25105,1.317453,[24 29] ; [3 1],[25.10526316 27.89473684] ; [1.89473684 2.10526316],0
s4,1,0.298568,1.080579,[20 97] ; [ 1 14],[18.61363636 98.38636364] ; [ 2.38636364 12.61363636],0
a7,1,0.53369,0.387361,[71 46] ; [11  5],[72.13533835 44.86466165] ; [9.86466165 6.13533835],0
b5,1,0.637929,0.221461,[74 44] ; [11  5],[74.85074627 43.14925373] ; [10.14925373  5.85074627],0
s1,1,0.679821,0.170327,[ 11 106] ; [ 1 15],[ 10.55639098 106.44360902] ; [ 1.44360902 14.55639098],0
p1,1,0.686331,0.163086,[ 11 107] ; [ 1 15],[ 10.56716418 107.43283582] ; [ 1.43283582 14.56716418],0
n3,1,0.849624,0.035948,[28 23] ; [2 2],[27.81818182 23.18181818] ; [2.18181818 1.81818182],0
b4,1,0.879417,0.023015,[64 54] ; [9 7],[64.28358209 53.71641791] ; [8.71641791 7.28358209],0
n2,1,0.886062,0.020532,[29 25] ; [2 2],[28.86206897 25.13793103] ; [2.13793103 1.86206897],0
b1,1,0.916729,0.010932,[68 50] ; [9 7],[67.80597015 50.19402985] ; [9.19402985 6.80597015],0
