Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.157299,2.0,[7 1] ; [2 2],[6. 2.] ; [3. 1.],0
b4,1,0.220671,1.5,[5 3] ; [1 3],[4. 4.] ; [2. 2.],0
p6,1,0.220671,1.5,[3 5] ; [3 1],[4. 4.] ; [2. 2.],0
a6,1,0.386476,0.75,[6 2] ; [2 2],[5.33333333 2.66666667] ; [2.66666667 1.33333333],0
p7,1,0.386476,0.75,[6 2] ; [2 2],[5.33333333 2.66666667] ; [2.66666667 1.33333333],0
b3,1,0.386476,0.75,[6 2] ; [2 2],[5.33333333 2.66666667] ; [2.66666667 1.33333333],0
b2,1,0.386476,0.75,[6 2] ; [2 2],[5.33333333 2.66666667] ; [2.66666667 1.33333333],0
b5,1,0.386476,0.75,[6 2] ; [2 2],[5.33333333 2.66666667] ; [2.66666667 1.33333333],0
a2,1,0.407626,0.685714,[4 4] ; [1 3],[3.33333333 4.66666667] ; [1.66666667 2.33333333],0
p8,1,0.407626,0.685714,[4 4] ; [3 1],[4.66666667 3.33333333] ; [2.33333333 1.66666667],0
a8,1,0.465209,0.533333,[3 2] ; [1 2],[2.5 2.5] ; [1.5 1.5],0
v2,1,0.477267,0.505102,[5 2] ; [2 2],[4.45454545 2.54545455] ; [2.54545455 1.45454545],0
d4,1,0.583882,0.3,[7 1] ; [3 1],[6.66666667 1.33333333] ; [3.33333333 0.66666667],0
p2,1,0.583882,0.3,[7 1] ; [3 1],[6.66666667 1.33333333] ; [3.33333333 0.66666667],0
u1,1,0.665006,0.1875,[3 5] ; [1 3],[2.66666667 5.33333333] ; [1.33333333 2.66666667],0
s5,1,0.665006,0.1875,[3 5] ; [1 3],[2.66666667 5.33333333] ; [1.33333333 2.66666667],0
a4,1,0.678845,0.171429,[5 3] ; [2 2],[4.66666667 3.33333333] ; [2.33333333 1.66666667],0
a7,1,1.0,0.0,[6 2] ; [3 1],[6. 2.] ; [3. 1.],0
d1,1,1.0,0.0,[6 2] ; [3 1],[6. 2.] ; [3. 1.],0
d2,1,1.0,0.0,[6 2] ; [3 1],[6. 2.] ; [3. 1.],0
s8,1,1.0,0.0,[6 2] ; [3 1],[6. 2.] ; [3. 1.],0
p3,1,1.0,0.0,[4 4] ; [2 2],[4. 4.] ; [2. 2.],0
