Feature,DoF,P Value,Chi Square,Is Significant
p2,1,0.001943,9.602703,0
u1,1,0.032071,4.594676,0
n1,1,0.051737,3.784252,0
p11,1,0.062536,3.468815,0
p7,1,0.074702,3.176567,0
a4,1,0.190093,1.716894,0
v4,1,0.273806,1.197581,0
s7,1,0.290448,1.117545,0
a6,1,0.309946,1.030905,0
s6,1,0.332901,0.937581,0
s2,1,0.350446,0.87184,0
p6,1,0.364168,0.823468,0
v3,1,0.395639,0.72154,0
a2,1,0.44861,0.574163,0
v1,1,0.456158,0.555306,0
a5,1,0.462786,0.539147,0
p1,1,0.489534,0.477551,0
s3,1,0.505204,0.443989,0
n5,1,0.519457,0.414972,0
b2,1,0.547182,0.362389,0
b3,1,0.547182,0.362389,0
s8,1,0.606657,0.265071,0
p3,1,0.626581,0.236726,0
v2,1,0.640729,0.21779,0
b4,1,0.658581,0.195252,0
a7,1,0.663925,0.18879,0
b5,1,0.787458,0.072691,0
p4,1,0.798351,0.065271,0
n3,1,0.822851,0.050122,0
d3,1,0.854967,0.03341,0
p9,1,0.878428,0.023398,0
n6,1,0.911891,0.012244,0
u2,1,0.942697,0.005167,0
p8,1,0.969884,0.001425,0
a3,1,0.976558,0.000863,0
u3,1,0.977087,0.000825,0
n2,1,0.987929,0.000229,0
