Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,4.2e-05,16.770881,[107  14] ; [74 38],[93.99570815 27.00429185] ; [87.00429185 24.99570815],1
s5,1,0.009723,6.685023,[48 66] ; [28 81],[38.85201794 75.14798206] ; [37.14798206 71.85201794],0
s7,1,0.011709,6.354424,[59 54] ; [39 71],[49.65919283 63.34080717] ; [48.34080717 61.65919283],0
s8,1,0.016243,5.776364,[56 66] ; [36 81],[46.9623431 75.0376569] ; [45.0376569 71.9623431],0
s6,1,0.026393,4.930068,[81 38] ; [62 53],[72.72222222 46.27777778] ; [70.27777778 44.72222222],0
s2,1,0.033075,4.541873,[70 52] ; [51 66],[61.76569038 60.23430962] ; [59.23430962 57.76569038],0
p2,1,0.045487,4.000487,[91 30] ; [74 43],[83.88655462 37.11344538] ; [81.11344538 35.88655462],0
u3,1,0.071861,3.24,[20 16] ; [16 29],[16. 20.] ; [20. 25.],0
p6,1,0.085218,2.962472,[46 76] ; [31 83],[39.80508475 82.19491525] ; [37.19491525 76.80508475],0
p7,1,0.11575,2.473907,[66 53] ; [51 62],[60.01293103 58.98706897] ; [56.98706897 56.01293103],0
n6,1,0.129896,2.29375,[92 28] ; [78 37],[86.80851064 33.19148936] ; [83.19148936 31.80851064],0
v4,1,0.16654,1.913816,[112  10] ; [100  16],[108.67226891  13.32773109] ; [103.32773109  12.67226891],0
p3,1,0.207781,1.586819,[47 74] ; [36 80],[42.37552743 78.62447257] ; [40.62447257 75.37552743],0
d2,1,0.217414,1.521361,[65 57] ; [53 64],[60.23430962 61.76569038] ; [57.76569038 59.23430962],0
p4,1,0.223176,1.48383,[59 62] ; [47 68],[54.34745763 66.65254237] ; [51.65254237 63.34745763],0
n5,1,0.266523,1.234557,[79 42] ; [67 48],[74.8559322 46.1440678] ; [71.1440678 43.8559322],0
p12,1,0.278548,1.174161,[  5 117] ; [  2 114],[  3.58823529 118.41176471] ; [  3.41176471 112.58823529],0
n4,1,0.283189,1.151722,[81 41] ; [68 46],[77.02542373 44.97457627] ; [71.97457627 42.02542373],0
