Feature,DoF,P Value,Chi Square,Is Significant
s8,1,2.1e-05,18.059965,1
p9,1,2.4e-05,17.833897,1
s2,1,9.3e-05,15.26759,1
p12,1,0.000111,14.943965,1
s7,1,0.000269,13.274074,1
s3,1,0.000807,11.225444,1
d2,1,0.002128,9.435805,0
u1,1,0.003259,8.656249,0
b3,1,0.004109,8.235082,0
b2,1,0.004109,8.235082,0
p8,1,0.005557,7.688752,0
a2,1,0.013471,6.106137,0
p5,1,0.013912,6.049289,0
n5,1,0.014198,6.013342,0
p11,1,0.015711,5.834901,0
p4,1,0.018783,5.521649,0
p6,1,0.019123,5.490196,0
s6,1,0.02416,5.083078,0
n6,1,0.024945,5.027668,0
a4,1,0.028267,4.811679,0
v1,1,0.034806,4.45467,0
r1,1,0.041733,4.145983,0
v2,1,0.048491,3.892881,0
p3,1,0.053426,3.730529,0
a3,1,0.0587,3.573739,0
n4,1,0.074993,3.170201,0
a5,1,0.084368,2.97869,0
d5,1,0.100635,2.695449,0
v3,1,0.173318,1.854012,0
p1,1,0.259982,1.268853,0
b4,1,0.261639,1.260062,0
a6,1,0.272627,1.20348,0
n1,1,0.297147,1.086957,0
v4,1,0.326522,0.962641,0
d3,1,0.35751,0.846622,0
a7,1,0.371868,0.797413,0
s4,1,0.502186,0.450314,0
b5,1,0.519171,0.415541,0
n3,1,0.630672,0.23115,0
p2,1,0.732461,0.116864,0
n2,1,0.73538,0.114229,0
a8,1,0.742282,0.108131,0
u3,1,0.777464,0.079877,0
s1,1,0.88684,0.020251,0
p7,1,0.907743,0.01343,0
u2,1,0.907778,0.013419,0
s5,1,0.930438,0.00762,0
a1,1,0.937893,0.006071,0
