Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,67.802319,1
p8,1,0.0,37.316178,1
p7,1,0.0,33.71725,1
p2,1,0.0,31.798782,1
n5,1,0.0,30.024161,1
p4,1,0.0,28.359959,1
p3,1,0.0,27.116081,1
n4,1,4e-06,21.092344,1
s8,1,7e-06,20.170353,1
n6,1,1.4e-05,18.916662,1
r3,1,1.6e-05,18.57262,1
r4,1,2.4e-05,17.821559,1
a5,1,0.000122,14.755682,1
p6,1,0.000271,13.263031,1
a3,1,0.000366,12.697657,1
v4,1,0.000604,11.762997,1
s7,1,0.001108,10.637403,0
v1,1,0.001244,10.423441,0
p5,1,0.002925,8.85344,0
u2,1,0.003212,8.682962,0
s3,1,0.004083,8.246588,0
r1,1,0.005274,7.78288,0
p12,1,0.005994,7.552129,0
s2,1,0.008654,6.892898,0
s6,1,0.010982,6.468263,0
b5,1,0.028811,4.778874,0
v2,1,0.030877,4.659776,0
u3,1,0.032143,4.590839,0
s1,1,0.054151,3.708054,0
d1,1,0.05803,3.592822,0
d4,1,0.061053,3.508544,0
s5,1,0.068683,3.314227,0
a4,1,0.075019,3.169646,0
a6,1,0.124488,2.359925,0
v3,1,0.130265,2.289345,0
s4,1,0.144115,2.133462,0
n3,1,0.148915,2.083333,0
n1,1,0.167411,1.905974,0
d5,1,0.181211,1.787667,0
r2,1,0.211156,1.563482,0
n2,1,0.250727,1.319246,0
d2,1,0.274479,1.194226,0
a2,1,0.314233,1.012802,0
a8,1,0.357255,0.847518,0
u1,1,0.386879,0.748727,0
b3,1,0.45739,0.552273,0
b2,1,0.45739,0.552273,0
a1,1,0.68042,0.169654,0
b4,1,0.725073,0.123684,0
p1,1,0.756564,0.096098,0
a7,1,0.916776,0.010919,0
d3,1,0.950499,0.003854,0
