Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.001327,10.304309,[11  1] ; [216 265],[5.52535497 6.47464503] ; [221.47464503 259.52535497],0
s2,1,0.003313,8.626569,[11  1] ; [233 245],[5.9755102 6.0244898] ; [238.0244898 239.9755102],0
p2,1,0.004129,8.226205,[7 5] ; [418  62],[10.36585366  1.63414634] ; [414.63414634  65.36585366],0
s8,1,0.004727,7.981094,[10  2] ; [204 277],[5.20892495 6.79107505] ; [208.79107505 272.20892495],0
p10,1,0.005498,7.707808,[7 5] ; [413  64],[10.30674847  1.69325153] ; [409.69325153  67.30674847],0
s3,1,0.010035,6.628616,[11  1] ; [256 216],[6.61983471 5.38016529] ; [260.38016529 211.61983471],0
a2,1,0.013126,6.152113,[6 6] ; [ 99 386],[2.53521127 9.46478873] ; [102.46478873 382.53521127],0
b2,1,0.013462,6.107358,[9 3] ; [119 184],[4.87619048 7.12380952] ; [123.12380952 179.87619048],0
b3,1,0.013462,6.107358,[9 3] ; [119 184],[4.87619048 7.12380952] ; [123.12380952 179.87619048],0
s7,1,0.015191,5.894162,[10  2] ; [223 243],[5.84937238 6.15062762] ; [227.15062762 238.84937238],0
a4,1,0.016796,5.71756,[9 3] ; [196 287],[4.96969697 7.03030303] ; [200.03030303 282.96969697],0
u1,1,0.025773,4.971166,[5 7] ; [ 82 403],[2.10060362 9.89939638] ; [ 84.89939638 400.10060362],0
n1,1,0.045428,4.002695,[3 1] ; [30 76],[1.2 2.8] ; [31.8 74.2],0
p6,1,0.078603,3.093545,[7 5] ; [161 314],[4.13963039 7.86036961] ; [163.86036961 311.13963039],0
p12,1,0.078818,3.089107,[3 9] ; [ 46 433],[ 1.19755601 10.80244399] ; [ 47.80244399 431.19755601],0
p5,1,0.125876,2.342637,[3 9] ; [ 52 426],[ 1.34693878 10.65306122] ; [ 53.65306122 424.34693878],0
p3,1,0.161784,1.957469,[8 4] ; [223 259],[5.61133603 6.38866397] ; [225.38866397 256.61133603],0
