Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,100.993027,[618 104] ; [60 68],[575.90117647 146.09882353] ; [102.09882353  25.90117647],1
p9,1,0.0,89.868261,[631  91] ; [66 60],[593.43632075 128.56367925] ; [103.56367925  22.43632075],1
r3,1,0.0,76.809487,[701  28] ; [98 33],[677.29186047  51.70813953] ; [121.70813953   9.29186047],1
p2,1,0.0,47.880628,[620 105] ; [78 52],[591.87134503 133.12865497] ; [106.12865497  23.87134503],1
r4,1,0.0,47.660709,[656  78] ; [88 44],[630.59584296 103.40415704] ; [113.40415704  18.59584296],1
p8,1,0.0,44.51233,[401 316] ; [31 98],[366.12765957 350.87234043] ; [65.87234043 63.12765957],1
n6,1,0.0,39.340574,[624 103] ; [82 48],[598.90548425 128.09451575] ; [107.09451575  22.90548425],1
v4,1,0.0,31.620398,[692  35] ; [107  24],[677.00815851  49.99184149] ; [121.99184149   9.00815851],1
p7,1,5e-06,20.994222,[469 240] ; [58 71],[445.87470167 263.12529833] ; [81.12529833 47.87470167],1
v2,1,3.7e-05,17.011015,[404 301] ; [49 81],[382.47305389 322.52694611] ; [70.52694611 59.47305389],1
a6,1,8.4e-05,15.463658,[498 233] ; [66 65],[478.28770302 252.71229698] ; [85.71229698 45.28770302],1
r2,1,0.000278,13.213709,[676  48] ; [110  21],[665.57192982  58.42807018] ; [120.42807018  10.57192982],1
n4,1,0.000491,12.14898,[574 158] ; [85 47],[558.31944444 173.68055556] ; [100.68055556  31.31944444],1
p4,1,0.000695,11.502314,[439 286] ; [58 72],[421.43274854 303.56725146] ; [75.56725146 54.43274854],1
n5,1,0.000959,10.904654,[554 172] ; [82 49],[538.78179697 187.21820303] ; [97.21820303 33.78179697],1
r1,1,0.001552,10.016323,[579 152] ; [88 44],[564.97914253 166.02085747] ; [102.02085747  29.97914253],0
v1,1,0.005197,7.809518,[386 327] ; [54 78],[371.26627219 341.73372781] ; [68.73372781 63.26627219],0
a5,1,0.006622,7.372784,[535 198] ; [81 51],[521.99768786 211.00231214] ; [94.00231214 37.99768786],0
a1,1,0.006742,7.340344,[ 31 703] ; [ 13 119],[ 37.29330254 696.70669746] ; [  6.70669746 125.29330254],0
s1,1,0.016391,5.760458,[ 20 701] ; [  9 121],[ 24.56991774 696.43008226] ; [  4.43008226 125.56991774],0
