Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,8.5e-05,15.444732,[134 219] ; [12  1],[140.81420765 212.18579235] ; [5.18579235 7.81420765],1
b3,1,8.5e-05,15.444732,[134 219] ; [12  1],[140.81420765 212.18579235] ; [5.18579235 7.81420765],1
a1,1,9.1e-05,15.306782,[ 18 576] ; [ 3 10],[ 20.55024712 573.44975288] ; [ 0.44975288 12.55024712],1
s8,1,0.000133,14.596585,[234 356] ; [12  1],[240.69651741 349.30348259] ; [5.30348259 7.69651741],1
a2,1,0.0004,12.532237,[123 471] ; [8 5],[128.19439868 465.80560132] ; [ 2.80560132 10.19439868],1
p5,1,0.000449,12.317261,[ 59 528] ; [5 7],[ 62.71786311 524.28213689] ; [ 1.28213689 10.71786311],1
v3,1,0.002164,9.405256,[219 349] ; [8 1],[223.4592721 344.5407279] ; [3.5407279 5.4592721],0
p12,1,0.003605,8.472799,[ 47 540] ; [4 9],[ 49.895 537.105] ; [ 1.105 11.895],0
d2,1,0.004132,8.224985,[263 327] ; [11  2],[268.09286899 321.90713101] ; [5.90713101 7.09286899],0
s7,1,0.004672,8.002197,[256 312] ; [11  2],[261.02581756 306.97418244] ; [5.97418244 7.02581756],0
s3,1,0.004952,7.896763,[307 272] ; [12  1],[311.99493243 267.00506757] ; [7.00506757 5.99493243],0
a4,1,0.007878,7.061057,[238 353] ; [10  3],[242.66225166 348.33774834] ; [5.33774834 7.66225166],0
s2,1,0.00813,7.004594,[279 308] ; [11  2],[283.71666667 303.28333333] ; [6.28333333 6.71666667],0
d1,1,0.010928,6.476925,[339 255] ; [12  1],[343.48270181 250.51729819] ; [7.51729819 5.48270181],0
v1,1,0.015374,5.873099,[297 281] ; [9 1],[300.79591837 277.20408163] ; [5.20408163 4.79591837],0
p3,1,0.015443,5.865168,[255 335] ; [10  3],[259.28689884 330.71310116] ; [5.71310116 7.28689884],0
p4,1,0.034727,4.458566,[323 262] ; [11  2],[326.73913043 258.26086957] ; [7.26086957 5.73913043],0
s6,1,0.036496,4.373795,[375 208] ; [12  1],[378.55872483 204.44127517] ; [8.44127517 4.55872483],0
u1,1,0.041412,4.159095,[100 494] ; [5 8],[102.75123558 491.24876442] ; [ 2.24876442 10.75123558],0
a5,1,0.075673,3.15546,[412 181] ; [12  1],[414.90429043 178.09570957] ; [9.09570957 3.90429043],0
p6,1,0.105975,2.613242,[189 392] ; [7 6],[191.71043771 389.28956229] ; [4.28956229 8.71043771],0
a8,1,0.109083,2.567458,[ 68 465] ; [3 7],[ 69.69244936 463.30755064] ; [1.30755064 8.69244936],0
v2,1,0.14798,2.092947,[326 244] ; [8 2],[328.24137931 241.75862069] ; [5.75862069 4.24137931],0
p8,1,0.187966,1.733488,[295 286] ; [9 4],[297.34680135 283.65319865] ; [6.65319865 6.34680135],0
d3,1,0.256735,1.286276,[415 177] ; [11  2],[416.84628099 175.15371901] ; [9.15371901 3.84628099],0
s4,1,0.34675,0.885316,[104 483] ; [ 1 12],[102.725 484.275] ; [ 2.275 10.725],0
n4,1,0.369878,0.804075,[434 156] ; [11  2],[435.40630182 154.59369818] ; [9.59369818 3.40630182],0
s1,1,0.439173,0.598444,[ 21 562] ; [ 1 12],[ 21.52013423 561.47986577] ; [ 0.47986577 12.52013423],0
p7,1,0.473717,0.513292,[339 232] ; [9 4],[340.25342466 230.74657534] ; [7.74657534 5.25342466],0
a6,1,0.552878,0.352187,[410 182] ; [10  3],[410.97520661 181.02479339] ; [9.02479339 3.97520661],0
r1,1,0.575196,0.314066,[461 129] ; [11  2],[461.82421227 128.17578773] ; [10.17578773  2.82421227],0
a7,1,0.669966,0.181642,[440 151] ; [9 4],[439.33609272 151.66390728] ; [9.66390728 3.33609272],0
d5,1,0.676085,0.174567,[474 119] ; [11  2],[474.59570957 118.40429043] ; [10.40429043  2.59570957],0
b4,1,0.712959,0.135339,[350 244] ; [7 6],[349.35420099 244.64579901] ; [7.64579901 5.35420099],0
s5,1,0.787258,0.072831,[185 384] ; [4 7],[185.41551724 383.58448276] ; [3.58448276 7.41551724],0
p2,1,0.831501,0.045274,[485 104] ; [11  2],[485.28903654 103.71096346] ; [10.71096346  2.28903654],0
p1,1,0.902351,0.015053,[ 51 538] ; [ 1 12],[ 50.87707641 538.12292359] ; [ 1.12292359 11.87707641],0
b5,1,0.984869,0.00036,[364 230] ; [8 5],[364.03294893 229.96705107] ; [7.96705107 5.03294893],0
