Feature,DoF,P Value,Chi Square,Is Significant
s8,1,0.0,26.782347,1
p12,1,1e-06,24.224994,1
p5,1,1.1e-05,19.253785,1
b3,1,0.000108,14.987461,1
b2,1,0.000108,14.987461,1
d1,1,0.000113,14.905231,1
s7,1,0.000211,13.734146,1
a2,1,0.000306,13.036195,1
s2,1,0.00041,12.487524,1
v1,1,0.000423,12.426304,1
v3,1,0.000506,12.093572,1
u1,1,0.000784,11.27886,1
s6,1,0.001138,10.58858,0
d2,1,0.001661,9.890901,0
n5,1,0.002136,9.428912,0
s3,1,0.003041,8.782888,0
a3,1,0.006189,7.494466,0
a4,1,0.00722,7.217502,0
v2,1,0.008666,6.890303,0
p3,1,0.010345,6.574541,0
n6,1,0.012678,6.213489,0
p4,1,0.014034,6.033884,0
a5,1,0.018381,5.559436,0
p8,1,0.021865,5.256523,0
n4,1,0.042047,4.133326,0
p6,1,0.05539,3.670291,0
d3,1,0.06055,3.522258,0
r1,1,0.070211,3.278071,0
d5,1,0.10092,2.69094,0
a1,1,0.10501,2.627757,0
n1,1,0.143818,2.136628,0
a6,1,0.176954,1.823021,0
p7,1,0.183543,1.768698,0
v4,1,0.21681,1.525358,0
a8,1,0.281958,1.157629,0
s4,1,0.365694,0.818243,0
s5,1,0.407695,0.685511,0
p2,1,0.480586,0.497532,0
a7,1,0.485009,0.48758,0
b1,1,0.544355,0.367528,0
n3,1,0.619247,0.246927,0
b5,1,0.620426,0.245269,0
n2,1,0.627589,0.235345,0
b4,1,0.80695,0.059713,0
s1,1,0.915761,0.011188,0
p1,1,0.919457,0.010225,0
