Feature,DoF,P Value,Chi Square,Is Significant
p3,1,1.8e-05,18.43047,1
a3,1,0.000722,11.432377,1
n5,1,0.001211,10.474138,0
a1,1,0.001378,10.234783,0
p7,1,0.002045,9.508999,0
s8,1,0.00215,9.417238,0
n1,1,0.00331,8.628293,0
p4,1,0.0052,7.808412,0
a4,1,0.005925,7.573009,0
p6,1,0.008011,7.031048,0
s7,1,0.009452,6.735284,0
d2,1,0.011342,6.410982,0
a5,1,0.014811,5.938802,0
s2,1,0.023482,5.132487,0
b5,1,0.027524,4.857634,0
s3,1,0.029593,4.732802,0
u2,1,0.031062,4.649519,0
u3,1,0.033147,4.538186,0
a7,1,0.033294,4.530581,0
p5,1,0.03974,4.228956,0
n4,1,0.041244,4.165972,0
d3,1,0.067489,3.34306,0
r2,1,0.073094,3.212129,0
p9,1,0.07409,3.19,0
a2,1,0.091624,2.845611,0
p8,1,0.128423,2.311466,0
r3,1,0.176137,1.829917,0
a6,1,0.184403,1.761775,0
n6,1,0.209134,1.57741,0
v2,1,0.219361,1.508544,0
s5,1,0.232514,1.425414,0
v1,1,0.32407,0.972451,0
s6,1,0.438894,0.599172,0
r4,1,0.487108,0.482909,0
p11,1,0.497224,0.460857,0
s4,1,0.518757,0.416364,0
b4,1,0.522069,0.409805,0
n3,1,0.553314,0.351413,0
v4,1,0.597843,0.278261,0
r1,1,0.666919,0.185228,0
u1,1,0.691584,0.157376,0
p2,1,0.719886,0.128602,0
p1,1,0.725697,0.1231,0
b2,1,0.731022,0.118175,0
b3,1,0.731022,0.118175,0
d4,1,0.740674,0.109535,0
n2,1,0.778708,0.078962,0
d1,1,0.781861,0.076671,0
d5,1,0.861471,0.030451,0
a8,1,0.899778,0.015861,0
p12,1,0.97393,0.001068,0
v3,1,0.991613,0.000111,0
s1,1,0.995278,3.5e-05,0
