Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.196706,1.666667,[13  3] ; [2 2],[12.  4.] ; [3. 1.],0
b2,1,0.196706,1.666667,[13  3] ; [2 2],[12.  4.] ; [3. 1.],0
d3,1,0.196706,1.666667,[13  3] ; [2 2],[12.  4.] ; [3. 1.],0
b4,1,0.263552,1.25,[9 7] ; [1 3],[8. 8.] ; [2. 2.],0
a2,1,0.263552,1.25,[9 7] ; [1 3],[8. 8.] ; [2. 2.],0
a3,1,0.263552,1.25,[15  1] ; [3 1],[14.4  1.6] ; [3.6 0.4],0
p6,1,0.263552,1.25,[7 9] ; [3 1],[8. 8.] ; [2. 2.],0
p1,1,0.263552,1.25,[ 1 15] ; [1 3],[ 1.6 14.4] ; [0.4 3.6],0
d1,1,0.263552,1.25,[15  1] ; [3 1],[14.4  1.6] ; [3.6 0.4],0
v2,1,0.301409,1.067949,[10  3] ; [2 2],[9.17647059 3.82352941] ; [2.82352941 1.17647059],0
a4,1,0.329114,0.952381,[12  4] ; [2 2],[11.2  4.8] ; [2.8 1.2],0
a6,1,0.329114,0.952381,[12  4] ; [2 2],[11.2  4.8] ; [2.8 1.2],0
b5,1,0.481924,0.494505,[11  5] ; [2 2],[10.4  5.6] ; [2.6 1.4],0
b1,1,0.493563,0.46875,[9 7] ; [3 1],[9.6 6.4] ; [2.4 1.6],0
p8,1,0.493563,0.46875,[9 7] ; [3 1],[9.6 6.4] ; [2.4 1.6],0
u1,1,0.493563,0.46875,[7 9] ; [1 3],[6.4 9.6] ; [1.6 2.4],0
d2,1,0.531168,0.392157,[14  2] ; [3 1],[13.6  2.4] ; [3.4 0.6],0
p3,1,0.648077,0.208333,[10  6] ; [2 2],[9.6 6.4] ; [2.4 1.6],0
v1,1,0.659118,0.194597,[11  2] ; [3 1],[10.70588235  2.29411765] ; [3.29411765 0.70588235],0
a8,1,0.711531,0.136752,[ 3 10] ; [1 2],[3.25 9.75] ; [0.75 2.25],0
p7,1,0.718904,0.129545,[9 6] ; [2 2],[8.68421053 6.31578947] ; [2.31578947 1.68421053],0
s8,1,0.779855,0.078125,[13  3] ; [3 1],[12.8  3.2] ; [3.2 0.8],0
p2,1,0.80725,0.059524,[11  5] ; [3 1],[11.2  4.8] ; [2.8 1.2],0
a7,1,0.80725,0.059524,[11  5] ; [3 1],[11.2  4.8] ; [2.8 1.2],0
s5,1,0.888153,0.01978,[ 4 10] ; [1 3],[ 3.88888889 10.11111111] ; [1.11111111 2.88888889],0
