Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.005357,7.75486,[97  9] ; [192  50],[88.02873563 17.97126437] ; [200.97126437  41.02873563],0
p9,1,0.007261,7.207136,[44 59] ; [137  97],[55.32047478 47.67952522] ; [125.67952522 108.32047478],0
b1,1,0.031383,4.631866,[43 64] ; [129 116],[52.28409091 54.71590909] ; [119.71590909 125.28409091],0
r4,1,0.050648,3.81987,[87 20] ; [175  70],[79.64204545 27.35795455] ; [182.35795455  62.64204545],0
s2,1,0.056903,3.625427,[35 70] ; [108 136],[43.02292264 61.97707736] ; [ 99.97707736 144.02292264],0
s4,1,0.059223,3.559008,[13 92] ; [ 51 193],[19.25501433 85.74498567] ; [ 44.74498567 199.25501433],0
p2,1,0.080664,3.051464,[76 31] ; [149  94],[68.78571429 38.21428571] ; [156.21428571  86.78571429],0
b4,1,0.100894,2.691356,[69 38] ; [135 110],[62.01136364 44.98863636] ; [141.98863636 103.01136364],0
p3,1,0.105701,2.617355,[29 78] ; [ 87 155],[35.56446991 71.43553009] ; [ 80.43553009 161.56446991],0
a2,1,0.125427,2.348211,[16 91] ; [ 54 191],[21.27840909 85.72159091] ; [ 48.72159091 196.27840909],0
n6,1,0.148391,2.088711,[77 29] ; [156  85],[71.17579251 34.82420749] ; [161.82420749  79.17579251],0
a7,1,0.169237,1.889693,[63 43] ; [163  80],[68.64183381 37.35816619] ; [157.35816619  85.64183381],0
s6,1,0.171706,1.867986,[51 55] ; [134 105],[56.84057971 49.15942029] ; [128.15942029 110.84057971],0
s7,1,0.172146,1.864156,[33 70] ; [ 89 134],[38.54601227 64.45398773] ; [ 83.45398773 139.54601227],0
n2,1,0.184214,1.763296,[28  9] ; [63 36],[24.75735294 12.24264706] ; [66.24264706 32.75735294],0
s1,1,0.20259,1.623606,[  4 101] ; [ 18 224],[ 6.65706052 98.34293948] ; [ 15.34293948 226.65706052],0
v4,1,0.203627,1.61617,[95 12] ; [203  40],[91.10285714 15.89714286] ; [206.89714286  36.10285714],0
p1,1,0.20966,1.573776,[  5 100] ; [ 21 223],[ 7.82234957 97.17765043] ; [ 18.17765043 225.82234957],0
n3,1,0.219058,1.510532,[28 10] ; [60 36],[24.95522388 13.04477612] ; [63.04477612 32.95522388],0
d5,1,0.226433,1.463126,[73 34] ; [181  62],[77.65142857 29.34857143] ; [176.34857143  66.65142857],0
s5,1,0.27961,1.168986,[24 79] ; [ 67 164],[28.06287425 74.93712575] ; [ 62.93712575 168.06287425],0
a8,1,0.280955,1.162465,[14 82] ; [ 23 199],[11.16981132 84.83018868] ; [ 25.83018868 196.16981132],0
p5,1,0.283339,1.151007,[  4 103] ; [ 16 225],[  6.14942529 100.85057471] ; [ 13.85057471 227.14942529],0
a5,1,0.292816,1.10663,[60 47] ; [152  93],[64.44318182 42.55681818] ; [147.55681818  97.44318182],0
d3,1,0.312677,1.019332,[62 45] ; [154  88],[66.2234957 40.7765043] ; [149.7765043  92.2234957],0
n5,1,0.318584,0.99475,[58 49] ; [145  97],[62.23782235 44.76217765] ; [140.76217765 101.23782235],0
n4,1,0.319622,0.990494,[72 35] ; [150  93],[67.86857143 39.13142857] ; [154.13142857  88.86857143],0
r1,1,0.335407,0.92791,[79 28] ; [167  76],[75.20571429 31.79428571] ; [170.79428571  72.20571429],0
s3,1,0.346368,0.88672,[45 60] ; [117 125],[49.02017291 55.97982709] ; [112.97982709 129.02017291],0
p8,1,0.384926,0.754909,[36 69] ; [ 71 169],[32.56521739 72.43478261] ; [ 74.43478261 165.56521739],0
n1,1,0.40733,0.686581,[12 25] ; [39 58],[14.08208955 22.91791045] ; [36.91791045 60.08208955],0
a1,1,0.419194,0.652573,[  5 102] ; [ 17 228],[  6.6875 100.3125] ; [ 15.3125 229.6875],0
a3,1,0.422307,0.643886,[64 43] ; [155  86],[67.3362069 39.6637931] ; [151.6637931  89.3362069],0
u3,1,0.454889,0.55844,[24 19] ; [43 45],[21.99236641 21.00763359] ; [45.00763359 42.99236641],0
v2,1,0.479461,0.50009,[49 55] ; [101 134],[46.01769912 57.98230088] ; [103.98230088 131.01769912],0
v3,1,0.48821,0.48047,[30 76] ; [ 75 159],[32.73529412 73.26470588] ; [ 72.26470588 161.73529412],0
p4,1,0.529376,0.39559,[41 66] ; [101 140],[43.66091954 63.33908046] ; [ 98.33908046 142.66091954],0
p7,1,0.53606,0.38289,[51 54] ; [107 131],[48.36734694 56.63265306] ; [109.63265306 128.36734694],0
p6,1,0.559028,0.341389,[31 74] ; [ 63 175],[28.7755102 76.2244898] ; [ 65.2244898 172.7755102],0
d1,1,0.59647,0.280352,[50 57] ; [122 123],[52.28409091 54.71590909] ; [119.71590909 125.28409091],0
u2,1,0.673296,0.177771,[20 22] ; [38 49],[18.88372093 23.11627907] ; [39.11627907 47.88372093],0
s8,1,0.705193,0.143126,[31 75] ; [ 76 167],[32.49856734 73.50143266] ; [ 74.50143266 168.49856734],0
a6,1,0.777089,0.080154,[64 43] ; [142 102],[62.7977208 44.2022792] ; [143.2022792 100.7977208],0
u1,1,0.792178,0.069423,[15 92] ; [ 37 208],[15.80681818 91.19318182] ; [ 36.19318182 208.80681818],0
b2,1,0.801187,0.063409,[22 50] ; [41 86],[22.79396985 49.20603015] ; [40.20603015 86.79396985],0
b3,1,0.801187,0.063409,[22 50] ; [41 86],[22.79396985 49.20603015] ; [40.20603015 86.79396985],0
a4,1,0.825118,0.048827,[44 63] ; [103 140],[44.94 62.06] ; [102.06 140.94],0
r2,1,0.839666,0.040933,[94 12] ; [211  29],[93.43930636 12.56069364] ; [211.56069364  28.43930636],0
p12,1,0.849482,0.036016,[  3 103] ; [  6 236],[  2.74137931 103.25862069] ; [  6.25862069 235.74137931],0
d2,1,0.859675,0.031254,[53 53] ; [119 124],[52.24068768 53.75931232] ; [119.75931232 123.24068768],0
v1,1,0.8972,0.016692,[42 63] ; [ 99 144],[42.54310345 62.45689655] ; [ 98.45689655 144.54310345],0
d4,1,0.941833,0.005324,[79 27] ; [182  61],[79.2722063 26.7277937] ; [181.7277937  61.2722063],0
b5,1,0.965777,0.001841,[67 40] ; [154  91],[67.17897727 39.82102273] ; [153.82102273  91.17897727],0
