Feature,DoF,P Value,Chi Square,Is Significant
p9,1,0.0,99.512827,1
p11,1,0.0,43.727169,1
n6,1,1e-06,24.988633,1
p2,1,5e-06,20.746393,1
r4,1,9e-06,19.707047,1
r3,1,1e-05,19.449495,1
v4,1,9.4e-05,15.252145,1
r2,1,0.000462,12.264641,1
a7,1,0.000546,11.952795,1
d3,1,0.003764,8.394424,1
v2,1,0.005145,7.827888,1
a6,1,0.006701,7.351474,1
p8,1,0.011501,6.386279,0
s6,1,0.019279,5.476069,0
a1,1,0.025323,5.001635,0
d5,1,0.029935,4.713044,0
n1,1,0.034891,4.450511,0
r1,1,0.035512,4.420376,0
d1,1,0.053442,3.730038,0
p12,1,0.085732,2.952743,0
n2,1,0.086198,2.943986,0
v1,1,0.087896,2.912484,0
d4,1,0.100279,2.701102,0
n5,1,0.122891,2.380088,0
v3,1,0.131494,2.274776,0
s5,1,0.133561,2.250621,0
p4,1,0.137214,2.208928,0
u4,1,0.151824,2.053824,0
p7,1,0.166941,1.910198,0
s1,1,0.197279,1.662407,0
s8,1,0.20501,1.606317,0
s2,1,0.208485,1.581914,0
d2,1,0.231813,1.429701,0
s7,1,0.276473,1.184345,0
a5,1,0.280336,1.165459,0
a4,1,0.294872,1.097244,0
b2,1,0.342321,0.901719,0
b3,1,0.342321,0.901719,0
n4,1,0.388345,0.744119,0
u3,1,0.408542,0.683039,0
u1,1,0.436862,0.60451,0
s3,1,0.48667,0.483879,0
s4,1,0.48993,0.47668,0
n3,1,0.512741,0.428469,0
b5,1,0.570557,0.321751,0
b4,1,0.638271,0.22101,0
p5,1,0.727828,0.121115,0
u2,1,0.804639,0.061181,0
a3,1,0.842654,0.039402,0
p6,1,0.864404,0.029163,0
a8,1,0.908228,0.013288,0
p3,1,0.90953,0.012912,0
a2,1,0.916275,0.011052,0
p1,1,0.977473,0.000797,0
