Feature,DoF,P Value,Chi Square,Is Significant
s8,1,6e-06,20.404858,1
s2,1,3.8e-05,16.954385,1
p12,1,9.4e-05,15.244746,1
s7,1,0.000401,12.52541,1
p9,1,0.000574,11.857572,1
p5,1,0.001992,9.557276,1
p3,1,0.002314,9.282276,1
s3,1,0.002876,8.884752,1
p6,1,0.003948,8.307534,1
b3,1,0.00653,7.397861,1
b2,1,0.00653,7.397861,1
d2,1,0.007546,7.138186,1
s6,1,0.009207,6.782297,1
p4,1,0.009242,6.775442,1
a2,1,0.011217,6.430622,0
p8,1,0.014291,6.001818,0
n5,1,0.015127,5.90159,0
a4,1,0.022885,5.177207,0
n4,1,0.029981,4.710397,0
u1,1,0.035923,4.400735,0
v1,1,0.040659,4.190158,0
n1,1,0.083825,2.989132,0
d5,1,0.092608,2.82844,0
n6,1,0.09338,2.815115,0
a5,1,0.096891,2.755981,0
v2,1,0.10362,2.648919,0
r1,1,0.118892,2.431855,0
v3,1,0.176539,1.82652,0
a3,1,0.178895,1.806783,0
p11,1,0.208096,1.58462,0
b4,1,0.230036,1.440642,0
p1,1,0.24446,1.354688,0
v4,1,0.446104,0.580533,0
n2,1,0.50216,0.450368,0
s4,1,0.575631,0.313352,0
n3,1,0.589639,0.290909,0
p2,1,0.650971,0.204678,0
a1,1,0.658749,0.195046,0
u3,1,0.662432,0.190582,0
p7,1,0.733895,0.115566,0
d3,1,0.765066,0.089302,0
a8,1,0.767726,0.087232,0
s1,1,0.786774,0.073171,0
u2,1,0.788975,0.071632,0
a6,1,0.903485,0.014704,0
s5,1,0.933492,0.006964,0
b5,1,0.976645,0.000857,0
a7,1,0.983383,0.000434,0
