Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a8,1,0.002009,9.541657,[3 2] ; [ 88 592],[0.66423358 4.33576642] ; [ 90.33576642 589.66423358],0
a1,1,0.005231,7.797683,[2 6] ; [ 32 708],[0.36363636 7.63636364] ; [ 33.63636364 706.36363636],0
b2,1,0.029172,4.757439,[6 2] ; [162 273],[3.03386005 4.96613995] ; [164.96613995 270.03386005],0
b3,1,0.029172,4.757439,[6 2] ; [162 273],[3.03386005 4.96613995] ; [164.96613995 270.03386005],0
a2,1,0.066097,3.377381,[4 4] ; [167 573],[1.82887701 6.17112299] ; [169.17112299 570.82887701],0
v3,1,0.091276,2.851731,[5 2] ; [287 431],[2.81931034 4.18068966] ; [289.18068966 428.81931034],0
s8,1,0.104246,2.639354,[6 2] ; [340 396],[3.72043011 4.27956989] ; [342.27956989 393.72043011],0
d2,1,0.115744,2.473989,[6 2] ; [347 390],[3.79060403 4.20939597] ; [349.20939597 387.79060403],0
u1,1,0.131067,2.279823,[3 5] ; [127 613],[1.39037433 6.60962567] ; [128.60962567 611.39037433],0
s7,1,0.172939,1.857278,[6 2] ; [359 348],[4.08391608 3.91608392] ; [360.91608392 346.08391608],0
p5,1,0.197875,1.657986,[2 5] ; [ 91 644],[0.87735849 6.12264151] ; [ 92.12264151 642.87735849],0
d3,1,0.263934,1.248005,[7 1] ; [510 227],[5.55167785 2.44832215] ; [511.44832215 225.55167785],0
a4,1,0.290392,1.117802,[5 3] ; [324 415],[3.52342704 4.47657296] ; [325.47657296 413.52342704],0
s3,1,0.293973,1.101338,[6 2] ; [412 317],[4.53731343 3.46268657] ; [413.46268657 315.53731343],0
b5,1,0.357498,0.846662,[6 2] ; [436 304],[4.72727273 3.27272727] ; [437.27272727 302.72727273],0
d1,1,0.36131,0.833336,[6 2] ; [437 303],[4.73796791 3.26203209] ; [438.26203209 301.73796791],0
p4,1,0.440679,0.594513,[6 2] ; [454 282],[4.94623656 3.05376344] ; [455.05376344 280.94623656],0
v2,1,0.456922,0.553424,[5 2] ; [408 302],[4.0320781 2.9679219] ; [408.9679219 301.0320781],0
s2,1,0.581727,0.30345,[5 3] ; [387 347],[4.22641509 3.77358491] ; [387.77358491 346.22641509],0
p7,1,0.618774,0.247594,[6 2] ; [480 240],[5.34065934 2.65934066] ; [480.65934066 239.34065934],0
n4,1,0.622384,0.242531,[6 1] ; [577 163],[5.46318608 1.53681392] ; [577.53681392 162.46318608],0
d5,1,0.665517,0.186891,[7 1] ; [601 136],[6.52885906 1.47114094] ; [601.47114094 135.52885906],0
a6,1,0.679262,0.170958,[6 2] ; [503 235],[5.45844504 2.54155496] ; [503.54155496 234.45844504],0
p12,1,0.703629,0.144724,[1 7] ; [ 64 673],[0.69798658 7.30201342] ; [ 64.30201342 672.69798658],0
d4,1,0.705277,0.143041,[7 1] ; [608 130],[6.59517426 1.40482574] ; [608.40482574 129.59517426],0
r1,1,0.708877,0.139401,[6 1] ; [590 147],[5.60752688 1.39247312] ; [590.39247312 146.60752688],0
p8,1,0.759784,0.093492,[4 4] ; [405 326],[4.42760487 3.57239513] ; [404.57239513 326.42760487],0
p11,1,0.762226,0.091542,[7 1] ; [618 122],[6.68449198 1.31550802] ; [618.31550802 121.68449198],0
b4,1,0.814002,0.05535,[5 3] ; [432 308],[4.67379679 3.32620321] ; [432.32620321 307.67379679],0
p2,1,0.870709,0.02649,[7 1] ; [629 107],[6.83870968 1.16129032] ; [629.16129032 106.83870968],0
a7,1,0.900854,0.015521,[6 2] ; [539 199],[5.84450402 2.15549598] ; [539.15549598 198.84450402],0
p3,1,0.930008,0.007715,[4 4] ; [380 357],[4.12348993 3.87651007] ; [379.87651007 357.12348993],0
s5,1,0.938659,0.005922,[3 5] ; [258 455],[2.89597781 5.10402219] ; [258.10402219 454.89597781],0
p6,1,0.994454,4.8e-05,[3 5] ; [275 456],[3.00947226 4.99052774] ; [274.99052774 456.00947226],0
